          ns  percent  samples  top
  ----------  -------  -------  ---
    58205990    4.99%     5702  IndexSetIterator::advance_and_next()
    29085700    2.49%     2855  .annobin__ZN12PhaseChaitin19interfere_with_liveEjP8IndexSet.start
    27329817    2.34%     2683  PhaseChaitin::Split(unsigned int, ResourceArea*)
    22327127    1.91%     2185  PhaseChaitin::elide_copy(Node*, int, Block*, Node_List&, Node_List&, bool)
    22086794    1.89%     2177  RegMask::Size() const
    21695725    1.86%     2090  PhaseChaitin::post_allocate_copy_removal()
    19900177    1.70%     1927  PhaseChaitin::gather_lrg_masks(bool)
    16433432    1.41%     1611  PhaseChaitin::build_ifg_physical(ResourceArea*)
    13563097    1.16%     1332  PhaseLive::compute(unsigned int)
    11922874    1.02%      945  OtherRegionsTable::occupied() const
     9900211    0.85%      978  PhaseIdealLoop::build_loop_late(VectorSet&, Node_List&, Node_Stack&)
     9879195    0.85%      588  java.util.concurrent.ThreadPoolExecutor.runWorker
     8387710    0.72%      814  PhaseIdealLoop::build_and_optimize()
     7969892    0.68%      754  PhaseIdealLoop::Dominators()
     7658801    0.66%      632  __tls_get_addr
     7645250    0.66%      744  IndexSet::alloc_block_containing(unsigned int)
     7418825    0.64%      694  _dl_update_slotinfo
     7389524    0.63%      730  PhaseAggressiveCoalesce::insert_copies(Matcher&)
     7214423    0.62%      708  PhaseLive::add_liveout(Block*, IndexSet*, VectorSet&)
     7159131    0.61%      702  RegMask::smear_to_sets(int)
     6979712    0.60%      695  PhaseChaitin::Select()
     6831961    0.59%      671  PhaseIFG::Compute_Effective_Degree()
     6672044    0.57%      618  __memset_avx2_unaligned_erms
     6378063    0.55%      625  PhaseIdealLoop::build_loop_late_post(Node*)
     6325393    0.54%      621  PhaseChaitin::add_input_to_liveout(Block*, Node*, IndexSet*, double, PhaseChaitin::Pressure&, PhaseChaitin::Pressure&)
     6206151    0.53%      604  PhaseChaitin::merge_multidefs()
     5946173    0.51%      543  IndexSet::initialize(unsigned int)
     5847861    0.50%      566  Matcher::xform(Node*, int)
     5668571    0.49%      520  Dict::Insert(void*, void*, bool)
     5338130    0.46%      523  PhaseIFG::remove_node(unsigned int)
     5301240    0.45%      368  itable stub
     4988081    0.43%      495  Compile::BuildOopMaps()
     4754231    0.41%      454  NodeHash::hash_find_insert(Node*)
     4702412    0.40%      466  PhaseIFG::SquareUp()
     4628441    0.40%      459  Arena::contains(void const*) const
     4463490    0.38%      429  PhaseIdealLoop::build_loop_tree()
     4407160    0.38%      305  I2C/C2I adapters
     4207261    0.36%      416  PhaseIFG::re_insert(unsigned int)
     4205832    0.36%      407  .annobin__ZN7Matcher11find_sharedEP4Node.start
     4204220    0.36%      214  [vdso]
     4195010    0.36%      405  Compile::identify_useful_nodes(Unique_Node_List&)
     4153180    0.36%      409  .annobin__Z15find_lowest_bitj.start
     4105612    0.35%      406  PhaseChaitin::remove_bound_register_from_interfering_live_ranges(LRG&, IndexSet*, unsigned int&)
     4101271    0.35%      398  PhaseCCP::analyze()
     4093621    0.35%      401  PhaseChaitin::Simplify()
     3987651    0.34%      379  Matcher::match_tree(Node const*)
     3985681    0.34%      385  RegMask::is_UP() const
     3961911    0.34%      389  PhaseCFG::global_code_motion()
     3891040    0.33%      221  JNU_GetStringPlatformChars
     3705182    0.32%      284  Interpreter
     3677724    0.32%      274  Monitor::ILock(Thread*)
     3652801    0.31%      308  SymbolTable::lookup_dynamic(int, char const*, int, unsigned int)
     3559611    0.30%      351  PhaseIdealLoop::split_if_with_blocks(VectorSet&, Node_Stack&, bool)
     3442010    0.29%      327  Node::clone() const
     3380110    0.29%      333  RegMask::clear_to_sets(int)
     3365731    0.29%      261  Monitor::unlock()
     3167720    0.27%      312  IndexSet::IndexSet(IndexSet*)
     3131210    0.27%      296  Type::cmp(Type const*, Type const*)
     3093830    0.27%      275  InstanceKlass::find_method_index(Array<Method*> const*, Symbol const*, Symbol const*, Klass::OverpassLookupMode, Klass::StaticLookupMode, Klass::PrivateLookupMode) [clone .constprop.0]
     3086120    0.26%      296  PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal(Node*, Node*, Node*)
     2983211    0.26%      293  Node::is_CFG() const
     2942210    0.25%      287  PhaseIterGVN::transform_old(Node*)
     2937351    0.25%      284  Node_Backward_Iterator::next()
     2876102    0.25%      278  DebugInformationRecorder::find_sharable_decode_offset(int)
     2861810    0.25%      256  ciObjectFactory::get_metadata(Metadata*)
     2806810    0.24%      274  PhaseCFG::schedule_local(Block*, GrowableArray<int>&, VectorSet&, long*)
     2692410    0.23%      202  org.eclipse.persistence.queries.ReadAllQuery.registerResultInUnitOfWork
     2666940    0.23%      261  PhaseIdealLoop::get_ctrl(Node*)
     2662880    0.23%      255  update_get_addr
     2613421    0.22%       90  ___pthread_mutex_unlock
     2608220    0.22%      252  Compile::remove_useless_nodes(Unique_Node_List&)
     2603240    0.22%      170  AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<1097844ul, G1BarrierSet>, (AccessInternal::BarrierType)2, 1097844ul>::oop_access_barrier(void*)
     2590740    0.22%      248  Unique_Node_List::remove(Node*)
     2439621    0.21%       84  __futex_abstimed_wait_common
     2419541    0.21%      231  Node::add_req(Node*)
