Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  12,918   99%  |              0  |    1,299  |
|  Run.runBenchmark()                                                                                                                                                   |  12,915   99%  |          < 0.1  |    1,298  |
|  CD.benchmark(int)                                                                                                                                                    |  12,907   99%  |              9  |    1,297  |
|  CD.innerBenchmarkLoop(int)                                                                                                                                           |  12,907   99%  |              0  |    1,297  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  12,907   99%  |              0  |    1,297  |
|  Run.measure(Benchmark)                                                                                                                                               |  12,907   99%  |              0  |    1,297  |
|  cd.CollisionDetector.handleNewFrame(Vector)                                                                                                                          |  12,597   97%  |          < 0.1  |    1,265  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |  11,041   85%  |             19  |    1,107  |
|  cd.CollisionDetector.reduceCollisionSet(Vector)                                                                                                                      |  10,682   82%  |              0  |    1,068  |
|  cd.CollisionDetector.drawMotionOnVoxelMap(RedBlackTree, Motion)                                                                                                      |   9,503   73%  |          < 0.1  |      950  |
|  cd.CollisionDetector.lambda$reduceCollisionSet$4(RedBlackTree, Motion)                                                                                               |   9,503   73%  |              0  |      950  |
|  cd.CollisionDetector$$Lambda$18.0x00000008000c8228.apply(Object)                                                                                                     |   9,503   73%  |              0  |      950  |
|  cd.CollisionDetector.recurse(RedBlackTree, RedBlackTree, Vector2D, Motion)                                                                                           |   9,483   73%  |            993  |      948  |
|  cd.CollisionDetector.putIntoMap(RedBlackTree, Vector2D, Motion)                                                                                                      |   4,183   32%  |             59  |      418  |
|  cd.RedBlackTree.put(Comparable, Object)                                                                                                                              |   3,987   31%  |            898  |      398  |
|  cd.CollisionDetector.isInVoxel(Vector2D, Motion)                                                                                                                     |   3,043   23%  |          3,043  |      305  |
|  cd.RedBlackTree.treeInsert(Comparable, Object)                                                                                                                       |   2,392   18%  |          1,648  |      237  |
|  cd.RedBlackTree.get(Comparable)                                                                                                                                      |   2,180   17%  |             43  |      219  |
|  cd.RedBlackTree.findNode(Comparable)                                                                                                                                 |   2,136   16%  |          1,273  |      215  |
|  cd.RedBlackTree.forEach(ForEachInterface)                                                                                                                            |   1,504   12%  |            483  |      152  |
|  cd.Vector2D.compareTo(Object)                                                                                                                                        |   1,475   11%  |            111  |      142  |
|  cd.Vector2D.compareTo(Vector2D)                                                                                                                                      |   1,363   11%  |            208  |      133  |
|  cd.CollisionDetector$$Lambda$12.0x00000008000c6e88.apply(Object)                                                                                                     |   1,196    9%  |              9  |      122  |
|  cd.CollisionDetector.lambda$handleNewFrame$0(RedBlackTree, Vector, Aircraft)                                                                                         |   1,186    9%  |            197  |      121  |
|  cd.Vector2D.compareNumbers(double, double)                                                                                                                           |   1,155    9%  |          1,155  |      116  |
|  cd.RedBlackTree.leftRotate(RedBlackTree$Node)                                                                                                                        |     504    4%  |            504  |       51  |
|  cd.RedBlackTree$Node.successor()                                                                                                                                     |     494    4%  |            180  |       50  |
|  cd.RedBlackTree.treeMinimum(RedBlackTree$Node)                                                                                                                       |     353    3%  |            353  |       36  |
|  cd.CollisionDetector.lambda$handleNewFrame$3(Vector, Vector)                                                                                                         |     332    3%  |             59  |       34  |
|  cd.CollisionDetector$$Lambda$21.0x00000008000c8678.apply(Object)                                                                                                     |     322    2%  |              0  |       33  |
|  cd.CollisionDetector$$Lambda$14.0x00000008000c7d38.apply(Object)                                                                                                     |     275    2%  |             22  |       29  |
|  cd.Simulator.simulate(double)                                                                                                                                        |     269    2%  |            203  |       29  |
|  cd.CollisionDetector.lambda$handleNewFrame$1(RedBlackTree, Vector, RedBlackTree$Entry)                                                                               |     253    2%  |             19  |       26  |
|  cd.Motion.findIntersection(Motion)                                                                                                                                   |     222    2%  |             39  |       23  |
|  cd.RedBlackTree.rightRotate(RedBlackTree$Node)                                                                                                                       |     211    2%  |            211  |       21  |
