Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  46,349   99%  |              0  |    4,678  |
|  Run.runBenchmark()                                                                                                                                                   |  46,314   99%  |          < 0.1  |    4,677  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  46,307   99%  |              0  |    4,676  |
|  Run.measure(Benchmark)                                                                                                                                               |  46,307   99%  |          < 0.1  |    4,676  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                       |  46,279   99%  |              0  |    4,673  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                   |  46,258   99%  |          < 0.1  |    4,672  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |  31,749   68%  |          1,940  |    3,189  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                   |  27,445   59%  |             19  |    2,794  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                  |  27,318   59%  |          4,530  |    2,781  |
|  som.Set.add(Object)                                                                                                                                                  |  18,860   41%  |              1  |    1,886  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                    |  18,734   40%  |              0  |    1,869  |
|  som.Set.hasSome(TestInterface)                                                                                                                                       |  18,490   40%  |             99  |    1,846  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                    |  18,391   40%  |          1,032  |    1,836  |
|  som.IdentitySet.contains(Object)                                                                                                                                     |  18,115   39%  |              0  |    1,808  |
|  havlak.LoopStructureGraph$$Lambda$84.0x00000008000cd340.apply(Object)                                                                                                |  17,993   39%  |            239  |    1,795  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                              |  17,890   39%  |            120  |    1,787  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                           |  17,770   38%  |              0  |    1,774  |
|  havlak.LoopStructureGraph.lambda$calculateNestingLevel$0(SimpleLoop)                                                                                                 |  17,754   38%  |             39  |    1,771  |
|  som.IdentitySet.lambda$contains$0(Object, Object)                                                                                                                    |  17,358   37%  |         17,358  |    1,734  |
|  som.IdentitySet$$Lambda$24.0x00000008000ccef0.test(Object)                                                                                                           |  17,358   37%  |              0  |    1,734  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                              |   8,532   18%  |              5  |      872  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                                               |   5,074   11%  |          < 0.1  |      512  |
|  havlak.HavlakLoopFinder.identifyEdges(int)                                                                                                                           |   4,970   11%  |              9  |      507  |
|  havlak.HavlakLoopFinder.processEdges(BasicBlock, int)                                                                                                                |   4,960   11%  |            345  |      506  |
|  havlak.HavlakLoopFinder$$Lambda$16.0x00000008000c5c70.apply(Object)                                                                                                  |   4,170    9%  |             39  |      424  |
|  havlak.HavlakLoopFinder.lambda$processEdges$1(int, BasicBlock)                                                                                                       |   4,130    9%  |          3,520  |      420  |
|  som.Set.forEach(ForEachInterface)                                                                                                                                    |   3,900    8%  |              9  |      393  |
|  havlak.HavlakLoopFinder.stepEProcessNonBackPreds(int, Vector, Vector, UnionFindNode)                                                                                 |   3,243    7%  |              0  |      328  |
|  havlak.HavlakLoopFinder$$Lambda$22.0x00000008000ccaa0.apply(Object)                                                                                                  |   3,200    7%  |             88  |      323  |
|  havlak.HavlakLoopFinder.doDFS(BasicBlock, int)                                                                                                                       |   3,145    7%  |          2,719  |      316  |
|  havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$4(int, Vector, Vector, Integer)                                                                              |   3,111    7%  |          2,241  |      314  |
|  havlak.HavlakLoopFinder.stepD(int, Vector)                                                                                                                           |   2,509    5%  |            336  |      255  |
|  som.Vector.append(Object)                                                                                                                                            |   2,354    5%  |          2,196  |      240  |
|  havlak.HavlakLoopFinder$$Lambda$14.0x00000008000c5a48.apply(Object)                                                                                                  |   1,708    4%  |             72  |      174  |
|  havlak.HavlakLoopFinder.lambda$initAllNodes$0(BasicBlock)                                                                                                            |   1,635    4%  |            947  |      167  |
|  som.Vector.<init>(int)                                                                                                                                               |   1,389    3%  |          1,310  |      140  |
|  havlak.HavlakLoopFinder.setLoopAttributes(int, Vector, SimpleLoop)                                                                                                   |   1,357    3%  |              0  |      141  |
|  havlak.HavlakLoopFinder$$Lambda$25.0x00000008000cd118.apply(Object)                                                                                                  |   1,357    3%  |            272  |      141  |
|  som.Set.<init>()                                                                                                                                                     |   1,306    3%  |             21  |      132  |
|  som.Set.<init>(int)                                                                                                                                                  |   1,284    3%  |            566  |      130  |
|  havlak.HavlakLoopFinder$$Lambda$19.0x00000008000cc428.apply(Object)                                                                                                  |   1,255    3%  |            780  |      125  |
|  som.Vector.<init>()                                                                                                                                                  |   1,135    2%  |            299  |      115  |
|  havlak.UnionFindNode.findSet()                                                                                                                                       |   1,102    2%  |            435  |      111  |
|  havlak.HavlakLoopFinder.lambda$setLoopAttributes$5(int, SimpleLoop, UnionFindNode)                                                                                   |   1,085    2%  |            151  |      113  |
|  havlak.LoopStructureGraph.createNewLoop(BasicBlock, boolean)                                                                                                         |   1,056    2%  |             43  |      106  |
|  som.Dictionary.atPut(Dictionary$CustomHash, Object)                                                                                                                  |   1,037    2%  |            260  |      106  |
|  som.Vector.removeAll()                                                                                                                                               |     999    2%  |            999  |      102  |
|  havlak.SimpleLoop.<init>(BasicBlock, boolean)                                                                                                                        |     962    2%  |             99  |       96  |
|  som.IdentitySet.<init>()                                                                                                                                             |     763    2%  |             50  |       76  |
|  havlak.LoopStructureGraph.calculateNestingLevelRec(SimpleLoop, int)                                                                                                  |     670    1%  |          < 0.1  |       67  |
|  havlak.LoopStructureGraph.lambda$calculateNestingLevelRec$1(int, SimpleLoop, SimpleLoop)                                                                             |     670    1%  |              0  |       67  |
|  havlak.LoopStructureGraph$$Lambda$85.0x00000008000cd568.apply(Object)                                                                                                |     670    1%  |            230  |       67  |
|  havlak.SimpleLoop.addNode(BasicBlock)                                                                                                                                |     529    1%  |              0  |       54  |
|  havlak.HavlakLoopFinder.lambda$stepD$6(int, Vector, Integer)                                                                                                         |     474    1%  |             97  |       47  |
|  som.Set.contains(Object)                                                                                                                                             |     459    1%  |          < 0.1  |       47  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object) Invokers$Holder                                                                                  |     419    1%  |             87  |       52  |
|  som.Dictionary.resize()                                                                                                                                              |     399    1%  |             19  |       42  |
|  som.Dictionary.transferEntries(Dictionary$Entry[])                                                                                                                   |     379    1%  |            379  |       40  |
|  som.Dictionary.removeAll()                                                                                                                                           |     356    1%  |            356  |       36  |
|  java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object) DirectMethodHandle$Holder                                                                |     330    1%  |            191  |       43  |
|  som.Dictionary.hash(Dictionary$CustomHash)                                                                                                                           |     314    1%  |            217  |       31  |
|  java.lang.Object.<init>() Object.java                                                                                                                                |     244    1%  |            244  |       26  |
|  java.lang.invoke.DirectMethodHandle.allocateInstance(Object) DirectMethodHandle.java                                                                                 |     182    0%  |            110  |       32  |
|  java.lang.invoke.LambdaForm$DMH.0x00000008000c9400.newInvokeSpecial(Object, Object, int, Object) LambdaForm$DMH                                                      |     182    0%  |             70  |       19  |
|  java.lang.invoke.LambdaForm$MH.0x00000008000c9c00.linkToTargetMethod(Object, int, Object, Object) LambdaForm$MH                                                      |     182    0%  |              0  |       19  |
|  havlak.UnionFindNode.union(UnionFindNode)                                                                                                                            |     179    0%  |            179  |       19  |
|  java.util.Arrays.copyOf(Object[], int) Arrays.java                                                                                                                   |     157    0%  |            157  |       16  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                             |     128    0%  |             10  |       13  |
|  som.IdentityDictionary.newEntry(Dictionary$CustomHash, Object, int)                                                                                                  |     110    0%  |             49  |       12  |
|  havlak.HavlakLoopFinder.<init>(ControlFlowGraph, LoopStructureGraph)                                                                                                 |     106    0%  |              0  |       11  |
|  havlak.UnionFindNode.<init>()                                                                                                                                        |     100    0%  |            100  |       10  |
|  havlak.BasicBlock.customHash()                                                                                                                                       |      97    0%  |             97  |       10  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                          |      89    0%  |          < 0.1  |        5  |
|  havlak.HavlakLoopFinder$$Lambda$19.0x00000008000cc428.<init>(HavlakLoopFinder, int, Vector)                                                                          |      79    0%  |             79  |        8  |
|  jdk.internal.misc.Unsafe.allocateInstance(Class) Unsafe.java (native)                                                                                                |      72    0%  |             72  |       19  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                             |      66    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                    |      66    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                            |      66    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                      |      66    0%  |              0  |        6  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                         |      66    0%  |              0  |        6  |
|  som.IdentityDictionary$IdEntry.<init>(int, Object, Object, Dictionary$Entry)                                                                                         |      60    0%  |              9  |        7  |
|  java.lang.ClassLoader.defineClass(String, byte[], int, int, ProtectionDomain) ClassLoader.java                                                                       |      55    0%  |              0  |        2  |
|  java.lang.ClassLoader.defineClass1(ClassLoader, String, byte[], int, int, ProtectionDomain, String) ClassLoader.java (native)                                        |      55    0%  |             35  |        2  |
|  java.security.SecureClassLoader.defineClass(String, byte[], int, int, CodeSource) SecureClassLoader.java                                                             |      55    0%  |              0  |        2  |
|  jdk.internal.loader.BuiltinClassLoader.defineClass(String, Resource) BuiltinClassLoader.java                                                                         |      55    0%  |              0  |        2  |
|  som.Dictionary$Entry.<init>(int, Object, Object, Dictionary$Entry)                                                                                                   |      50    0%  |             50  |        6  |
