Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                   Method                                                                                   |   Time (ms)    |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                    |  24,021   99%  |              0  |    2,395  |
|  Run.runBenchmark()                                                                                                                                                        |  24,001   99%  |              0  |    2,394  |
|  Run.doRuns(Benchmark)                                                                                                                                                     |  23,981   99%  |              0  |    2,390  |
|  Run.measure(Benchmark)                                                                                                                                                    |  23,981   99%  |          < 0.1  |    2,390  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                         |  23,916   99%  |              0  |    2,384  |
|  Json.benchmark()                                                                                                                                                          |  23,906   99%  |              0  |    2,383  |
|  json.JsonPureStringParser.parse()                                                                                                                                         |  23,906   99%  |              0  |    2,383  |
|  json.JsonPureStringParser.readObject()                                                                                                                                    |  23,906   99%  |            152  |    2,383  |
|  json.JsonPureStringParser.readValue()                                                                                                                                     |  23,906   99%  |          1,113  |    2,383  |
|  json.JsonPureStringParser.readArray()                                                                                                                                     |  23,877   99%  |            216  |    2,380  |
|  json.JsonPureStringParser.read()                                                                                                                                          |  13,525   56%  |          4,492  |    1,353  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                            |  10,143   42%  |            926  |    1,013  |
|  java.lang.String.substring(int, int) String.java                                                                                                                          |   7,732   32%  |          2,157  |      778  |
|  json.JsonPureStringParser.readString()                                                                                                                                    |   6,731   28%  |            210  |      676  |
|  java.lang.String.equals(Object) String.java                                                                                                                               |   5,252   22%  |          5,252  |      520  |
|  java.lang.StringLatin1.newString(byte[], int, int) StringLatin1.java                                                                                                      |   4,646   19%  |          1,944  |      464  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                                |   3,984   17%  |            455  |      391  |
|  json.JsonPureStringParser.readNumber()                                                                                                                                    |   3,761   16%  |            255  |      379  |
|  json.JsonPureStringParser.readName()                                                                                                                                      |   3,713   15%  |             18  |      368  |
|  json.JsonPureStringParser.readDigit()                                                                                                                                     |   2,527   10%  |            227  |      255  |
|  json.JsonPureStringParser.skipWhiteSpace()                                                                                                                                |   2,512   10%  |            190  |      251  |
|  json.JsonPureStringParser.isWhiteSpace()                                                                                                                                  |   2,321   10%  |            485  |      233  |
|  java.lang.String.<init>(byte[], byte) String.java                                                                                                                         |   1,506    6%  |          1,349  |      149  |
|  json.JsonPureStringParser.readNull()                                                                                                                                      |   1,393    6%  |             28  |      138  |
|  json.JsonPureStringParser.isDigit()                                                                                                                                       |   1,260    5%  |            479  |      126  |
|  java.util.Arrays.copyOfRange(byte[], int, int) Arrays.java                                                                                                                |   1,196    5%  |          1,196  |      121  |
|  json.JsonArray.<init>()                                                                                                                                                   |     919    4%  |            475  |       92  |
|  json.JsonPureStringParser.readRequiredChar(String)                                                                                                                        |     799    3%  |             19  |       79  |
|  java.lang.String.length() String.java                                                                                                                                     |     700    3%  |            600  |       71  |
|  som.Vector.<init>()                                                                                                                                                       |     481    2%  |            129  |       49  |
|  som.Vector.<init>(int)                                                                                                                                                    |     352    1%  |            332  |       36  |
|  json.JsonPureStringParser.endCapture()                                                                                                                                    |     326    1%  |            131  |       33  |
|  java.lang.String.isLatin1() String.java                                                                                                                                   |     310    1%  |            310  |       33  |
|  som.Vector.append(Object)                                                                                                                                                 |     270    1%  |            270  |       27  |
|  json.JsonArray.add(JsonValue)                                                                                                                                             |     230    1%  |              0  |       23  |
|  java.lang.Object.<init>() Object.java                                                                                                                                     |     186    1%  |            186  |       18  |
|  java.lang.String.coder() String.java                                                                                                                                      |      99    0%  |             99  |       10  |
|  json.JsonObject.<init>()                                                                                                                                                  |      87    0%  |              0  |        9  |
|  java.lang.String.checkBoundsBeginEnd(int, int, int) String.java                                                                                                           |      87    0%  |             87  |        9  |
|  json.JsonObject.add(String, JsonValue)                                                                                                                                    |      69    0%  |          < 0.1  |        7  |
|  Run.printResult(long)                                                                                                                                                     |      65    0%  |              9  |        6  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                               |      63    0%  |          < 0.1  |        3  |
|  json.JsonPureStringParser.readTrue()                                                                                                                                      |      60    0%  |          < 0.1  |        6  |
|  json.JsonPureStringParser.startCapture()                                                                                                                                  |      49    0%  |             49  |        5  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                  |      41    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                         |      41    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                 |      41    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                           |      41    0%  |              0  |        5  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                              |      41    0%  |              0  |        5  |
