Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)   |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  8,468   99%  |              0  |      857  |
|  Run.runBenchmark()                                                                                                                                                   |  8,460   99%  |          < 0.1  |      856  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  8,443   99%  |              0  |      852  |
|  Run.measure(Benchmark)                                                                                                                                               |  8,443   99%  |              0  |      852  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                    |  8,434   99%  |              9  |      851  |
|  Towers.benchmark()                                                                                                                                                   |  8,424   99%  |              9  |      850  |
|  Towers.moveDisks(int, int, int)                                                                                                                                      |  8,404   99%  |            577  |      848  |
|  Towers.moveTopDisk(int, int)                                                                                                                                         |  7,846   92%  |            526  |      790  |
|  Towers.pushDisk(Towers$TowersDisk, int)                                                                                                                              |  4,166   49%  |          3,157  |      420  |
|  Towers.popDiskFrom(int)                                                                                                                                              |  3,153   37%  |          2,439  |      316  |
|  Towers$TowersDisk.setNext(Towers$TowersDisk)                                                                                                                         |  1,662   20%  |          1,662  |      166  |
|  Towers$TowersDisk.getSize()                                                                                                                                          |     39    0%  |             39  |        4  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                             |     35    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                    |     35    0%  |          < 0.1  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                            |     35    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                      |     35    0%  |              0  |        6  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                         |     35    0%  |              0  |        6  |
|  jdk.internal.loader.URLClassPath.getResource(String, boolean) URLClassPath.java                                                                                      |     29    0%  |              0  |        5  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                     |     27    0%  |              0  |        5  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                    |     27    0%  |              0  |        5  |
|  sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String) LauncherHelper.java                                                                               |     27    0%  |              0  |        5  |
|  sun.launcher.LauncherHelper.loadMainClass(int, String) LauncherHelper.java                                                                                           |     27    0%  |              0  |        5  |
|  java.security.AccessController.doPrivileged(PrivilegedExceptionAction, AccessControlContext) AccessController.java                                                   |     21    0%  |              0  |        4  |
|  java.security.AccessController.executePrivileged(PrivilegedExceptionAction, AccessControlContext, Class) AccessController.java                                       |     21    0%  |              0  |        4  |
|  java.util.jar.JarFile.<init>(File, boolean, int, Runtime$Version) JarFile.java                                                                                       |     21    0%  |              0  |        4  |
|  java.util.zip.ZipFile.<init>(File, int) ZipFile.java                                                                                                                 |     21    0%  |              0  |        4  |
