Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                       Method                                                                        |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                             |  12,967   99%  |              0  |    1,277  |
|  Run.runBenchmark()                                                                                                                                 |  12,946   99%  |          < 0.1  |    1,276  |
|  Run.doRuns(Benchmark)                                                                                                                              |  12,938   99%  |              0  |    1,275  |
|  Run.measure(Benchmark)                                                                                                                             |  12,938   99%  |              0  |    1,275  |
|  CD.benchmark(int)                                                                                                                                  |  12,908   99%  |              9  |    1,272  |
|  CD.innerBenchmarkLoop(int)                                                                                                                         |  12,908   99%  |              0  |    1,272  |
|  cd.CollisionDetector.handleNewFrame(Vector)                                                                                                        |  12,713   98%  |          < 0.1  |    1,253  |
|  som.Vector.forEach(ForEachInterface)                                                                                                               |  11,257   87%  |             16  |    1,121  |
|  cd.CollisionDetector.reduceCollisionSet(Vector)                                                                                                    |  10,430   80%  |          < 0.1  |    1,026  |
|  cd.CollisionDetector$$Lambda$15.0x00000008000cc000.apply(Object)                                                                                   |   9,287   72%  |             29  |      925  |
|  cd.CollisionDetector.drawMotionOnVoxelMap(RedBlackTree, Motion)                                                                                    |   9,257   71%  |             19  |      922  |
|  cd.CollisionDetector.lambda$reduceCollisionSet$4(RedBlackTree, Motion)                                                                             |   9,257   71%  |              0  |      922  |
|  cd.CollisionDetector.recurse(RedBlackTree, RedBlackTree, Vector2D, Motion)                                                                         |   9,227   71%  |          1,046  |      919  |
|  cd.RedBlackTree.put(Comparable, Object)                                                                                                            |   4,683   36%  |            974  |      477  |
|  cd.CollisionDetector.putIntoMap(RedBlackTree, Vector2D, Motion)                                                                                    |   4,031   31%  |             51  |      412  |
|  cd.RedBlackTree.treeInsert(Comparable, Object)                                                                                                     |   3,044   23%  |          2,211  |      309  |
|  cd.CollisionDetector.isInVoxel(Vector2D, Motion)                                                                                                   |   2,714   21%  |          2,714  |      268  |
|  cd.RedBlackTree.get(Comparable)                                                                                                                    |   1,732   13%  |              9  |      174  |
|  cd.RedBlackTree.findNode(Comparable)                                                                                                               |   1,722   13%  |            953  |      173  |
|  cd.CollisionDetector.lambda$handleNewFrame$0(RedBlackTree, Vector, Aircraft)                                                                       |   1,685   13%  |            216  |      167  |
|  cd.CollisionDetector$$Lambda$8.0x00000008000c6e88.apply(Object)                                                                                    |   1,685   13%  |              0  |      167  |
|  cd.Vector2D.compareTo(Object)                                                                                                                      |   1,522   12%  |            168  |      154  |
|  cd.RedBlackTree.forEach(ForEachInterface)                                                                                                          |   1,367   11%  |            367  |      123  |
|  cd.Vector2D.compareTo(Vector2D)                                                                                                                    |   1,353   10%  |             96  |      137  |
|  cd.Vector2D.compareNumbers(double, double)                                                                                                         |   1,257   10%  |          1,257  |      127  |
|  cd.RedBlackTree$Node.successor()                                                                                                                   |     601    5%  |            306  |       45  |
|  cd.RedBlackTree.leftRotate(RedBlackTree$Node)                                                                                                      |     475    4%  |            475  |       48  |
|  cd.RedBlackTree.treeMinimum(RedBlackTree$Node)                                                                                                     |     324    2%  |            324  |       33  |
|  cd.Vector2D.plus(Vector2D)                                                                                                                         |     305    2%  |            210  |       22  |
