Method list (CPU)

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                     Method                                                                                      |   Time (ms)    |  Own Time (ms)  |  Samples  |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                         |  23,600   99%  |              0  |    2,372  |
|  Run.runBenchmark()                                                                                                                                                             |  23,600   99%  |          < 0.1  |    2,372  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                              |  23,591   99%  |              0  |    2,371  |
|  Run.doRuns(Benchmark)                                                                                                                                                          |  23,591   99%  |              0  |    2,371  |
|  Run.measure(Benchmark)                                                                                                                                                         |  23,591   99%  |              0  |    2,371  |
|  Json.benchmark()                                                                                                                                                               |  23,564   99%  |          < 0.1  |    2,368  |
|  json.JsonPureStringParser.readValue()                                                                                                                                          |  23,562   99%  |            442  |    2,368  |
|  json.JsonPureStringParser.parse()                                                                                                                                              |  23,552   99%  |              0  |    2,367  |
|  json.JsonPureStringParser.readObject()                                                                                                                                         |  23,552   99%  |             76  |    2,367  |
|  json.JsonPureStringParser.readArray()                                                                                                                                          |  23,490   99%  |            307  |    2,361  |
|  json.JsonPureStringParser.read()                                                                                                                                               |  13,766   58%  |          4,579  |    1,384  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                                 |   9,321   39%  |            950  |      939  |
|  java.lang.String.substring(int, int) String.java                                                                                                                               |   7,731   33%  |          2,344  |      776  |
|  json.JsonPureStringParser.readString()                                                                                                                                         |   6,092   26%  |            236  |      614  |
|  java.lang.String.equals(Object) String.java                                                                                                                                    |   5,769   24%  |          5,769  |      581  |
|  java.lang.StringLatin1.newString(byte[], int, int) StringLatin1.java                                                                                                           |   4,308   18%  |          1,575  |      430  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                                     |   4,120   17%  |            518  |      416  |
|  json.JsonPureStringParser.readNumber()                                                                                                                                         |   3,951   17%  |            140  |      388  |
|  json.JsonPureStringParser.readName()                                                                                                                                           |   3,648   15%  |              9  |      368  |
|  json.JsonPureStringParser.readDigit()                                                                                                                                          |   2,571   11%  |            204  |      255  |
|  json.JsonPureStringParser.skipWhiteSpace()                                                                                                                                     |   2,552   11%  |            179  |      258  |
|  json.JsonPureStringParser.isWhiteSpace()                                                                                                                                       |   2,373   10%  |            387  |      240  |
|  java.lang.String.<init>(byte[], byte) String.java                                                                                                                              |   1,926    8%  |          1,717  |      195  |
|  json.JsonPureStringParser.readNull()                                                                                                                                           |   1,329    6%  |             29  |      135  |
|  java.lang.String.length() String.java                                                                                                                                          |   1,010    4%  |            895  |      102  |
|  java.util.Arrays.copyOfRange(byte[], int, int) Arrays.java                                                                                                                     |     807    3%  |            807  |       81  |
|  json.JsonPureStringParser.readRequiredChar(String)                                                                                                                             |     783    3%  |              0  |       80  |
|  json.JsonArray.<init>()                                                                                                                                                        |     743    3%  |            431  |       76  |
|  json.JsonPureStringParser.isDigit()                                                                                                                                            |     713    3%  |            177  |       72  |
|  som.Vector.<init>()                                                                                                                                                            |     415    2%  |            141  |       43  |
|  som.Vector.append(Object)                                                                                                                                                      |     307    1%  |            307  |       30  |
|  som.Vector.<init>(int)                                                                                                                                                         |     274    1%  |            274  |       28  |
|  json.JsonPureStringParser.endCapture()                                                                                                                                         |     235    1%  |             69  |       24  |
|  java.lang.String.checkBoundsBeginEnd(int, int, int) String.java                                                                                                                |     233    1%  |            233  |       23  |
|  json.JsonArray.add(JsonValue)                                                                                                                                                  |     231    1%  |              0  |       22  |
|  java.lang.Object.<init>() Object.java                                                                                                                                          |     228    1%  |            228  |       23  |
|  java.lang.String.isLatin1() String.java                                                                                                                                        |     210    1%  |            210  |       21  |
|  json.JsonObject.add(String, JsonValue)                                                                                                                                         |     156    1%  |              9  |       16  |
|  json.JsonObject.<init>()                                                                                                                                                       |     145    1%  |             10  |       15  |
|  java.lang.String.coder() String.java                                                                                                                                           |     115    0%  |            115  |       12  |
|  json.JsonPureStringParser.readTrue()                                                                                                                                           |      89    0%  |              9  |        9  |
|  json.JsonObject$HashIndexTable.add(String, int)                                                                                                                                |      49    0%  |              0  |        5  |
|  json.JsonObject$HashIndexTable.hashSlotFor(String)                                                                                                                             |      49    0%  |             19  |        5  |
|  java.lang.String.hashCode() String.java                                                                                                                                        |      39    0%  |             29  |        4  |
|  json.JsonString.<init>(String)                                                                                                                                                 |      39    0%  |             39  |        4  |
|  json.JsonPureStringParser.startCapture()                                                                                                                                       |      39    0%  |             39  |        4  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                       |      34    0%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.defineClass(String, Resource) BuiltinClassLoader.java                                                                                   |      34    0%  |              0  |        2  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                              |      34    0%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                      |      34    0%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                |      34    0%  |              0  |        3  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                   |      34    0%  |              0  |        3  |
|  json.JsonObject$HashIndexTable.stringHash(String)                                                                                                                              |      29    0%  |              0  |        3  |
|  Json.verifyResult(Object)                                                                                                                                                      |      26    0%  |              0  |        3  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                               |      22    0%  |              0  |        2  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                              |      22    0%  |              0  |        2  |
|  java.security.BasicPermission.newPermissionCollection() BasicPermission.java                                                                                                   |      22    0%  |             22  |        1  |
|  java.security.Permissions.add(Permission) Permissions.java                                                                                                                     |      22    0%  |              0  |        1  |
|  java.security.Permissions.createPermissionCollection(Permission, boolean) Permissions.java                                                                                     |      22    0%  |              0  |        1  |
|  java.security.Permissions.getPermissionCollection(Permission, boolean) Permissions.java                                                                                        |      22    0%  |              0  |        1  |
|  java.security.SecureClassLoader.defineClass(String, byte[], int, int, CodeSource) SecureClassLoader.java                                                                       |      22    0%  |              0  |        1  |
|  java.security.SecureClassLoader.getProtectionDomain(CodeSource) SecureClassLoader.java                                                                                         |      22    0%  |              0  |        1  |
|  java.security.SecureClassLoader$1.apply(SecureClassLoader$CodeSourceKey) SecureClassLoader.java                                                                                |      22    0%  |              0  |        1  |
|  java.security.SecureClassLoader$1.apply(Object) SecureClassLoader.java                                                                                                         |      22    0%  |              0  |        1  |
|  java.util.concurrent.ConcurrentHashMap.computeIfAbsent(Object, Function) ConcurrentHashMap.java                                                                                |      22    0%  |              0  |        1  |
