Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                                                 Method                                                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                                                |  23,347   99%  |          < 0.1  |    2,344  |
|  Run.runBenchmark()                                                                                                                                                                                                                    |  23,343   99%  |              0  |    2,343  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                                                 |  23,333   99%  |              0  |    2,341  |
|  Run.measure(Benchmark)                                                                                                                                                                                                                |  23,333   99%  |          < 0.1  |    2,341  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                                                                     |  23,303   99%  |              8  |    2,339  |
|  Json.benchmark()                                                                                                                                                                                                                      |  23,274   99%  |          < 0.1  |    2,336  |
|  json.JsonPureStringParser.parse()                                                                                                                                                                                                     |  23,252   99%  |              0  |    2,335  |
|  json.JsonPureStringParser.readObject()                                                                                                                                                                                                |  23,252   99%  |            110  |    2,335  |
|  json.JsonPureStringParser.readValue()                                                                                                                                                                                                 |  23,252   99%  |            778  |    2,335  |
|  json.JsonPureStringParser.readArray()                                                                                                                                                                                                 |  23,232   99%  |            131  |    2,333  |
|  json.JsonPureStringParser.read()                                                                                                                                                                                                      |  13,836   59%  |          4,888  |    1,387  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                                                                                        |   9,406   40%  |            884  |      940  |
|  java.lang.String.substring(int, int) String.java                                                                                                                                                                                      |   7,597   32%  |          2,199  |      764  |
|  json.JsonPureStringParser.readString()                                                                                                                                                                                                |   6,079   26%  |            173  |      611  |
|  java.lang.String.equals(Object) String.java                                                                                                                                                                                           |   5,512   24%  |          5,512  |      551  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                                                                                            |   4,404   19%  |            365  |      441  |
|  java.lang.StringLatin1.newString(byte[], int, int) StringLatin1.java                                                                                                                                                                  |   4,236   18%  |          1,601  |      429  |
