Method list (CPU)

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                         Method                                                                          |   Time (ms)   |  Own Time (ms)  |  Samples  |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                 |  4,748   99%  |              0  |      478  |
|  Run.runBenchmark()                                                                                                                                     |  4,748   99%  |          < 0.1  |      478  |
|  Run.doRuns(Benchmark)                                                                                                                                  |  4,731   99%  |              0  |      476  |
|  Run.measure(Benchmark)                                                                                                                                 |  4,731   99%  |              0  |      476  |
|  DeltaBlue.innerBenchmarkLoop(int)                                                                                                                      |  4,709   98%  |          < 0.1  |      474  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                   |  3,400   71%  |          2,261  |      343  |
|  deltablue.Planner.chainTest(int)                                                                                                                       |  3,107   65%  |          < 0.1  |      310  |
|  deltablue.Plan.execute()                                                                                                                               |  2,362   49%  |              0  |      236  |
|  deltablue.Planner.projectionTest(int)                                                                                                                  |  1,602   33%  |              6  |      164  |
|  deltablue.Planner.change(Variable, int)                                                                                                                |  1,312   27%  |          < 0.1  |      136  |
|  deltablue.AbstractConstraint.addConstraint(Planner)                                                                                                    |    989   21%  |             18  |      103  |
|  deltablue.AbstractConstraint.satisfy(int, Planner)                                                                                                     |    939   20%  |             63  |       98  |
|  deltablue.Planner.incrementalAdd(AbstractConstraint)                                                                                                   |    939   20%  |              0  |       98  |
|  deltablue.UnaryConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                      |    767   16%  |              0  |       81  |
|  deltablue.Planner.addPropagate(AbstractConstraint, int)                                                                                                |    760   16%  |            265  |       80  |
|  deltablue.AbstractConstraint.destroyConstraint(Planner)                                                                                                |    749   16%  |          < 0.1  |       78  |
|  deltablue.Planner.incrementalRemove(AbstractConstraint)                                                                                                |    729   15%  |          < 0.1  |       76  |
|  deltablue.Plan$$Lambda$22.0x00000008000ccd88.apply(Object)                                                                                             |    552   12%  |            136  |       57  |
|  deltablue.Planner.removePropagateFrom(Variable)                                                                                                        |    456   10%  |              9  |       48  |
|  deltablue.StayConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                       |    436    9%  |              0  |       46  |
|  deltablue.Planner.addConstraintsConsumingTo(Variable, Vector)                                                                                          |    434    9%  |          < 0.1  |       46  |
|  deltablue.Plan.lambda$execute$0(AbstractConstraint)                                                                                                    |    416    9%  |            126  |       43  |
|  som.Vector.append(Object)                                                                                                                              |    339    7%  |            310  |       34  |
|  deltablue.EditConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                       |    330    7%  |              0  |       35  |
|  deltablue.Planner.makePlan(Vector)                                                                                                                     |    324    7%  |             40  |       30  |
|  deltablue.Planner.extractPlanFromConstraints(Vector)                                                                                                   |    320    7%  |              0  |       29  |
|  deltablue.Planner.constraintsConsuming(Variable, ForEachInterface)                                                                                     |    269    6%  |          < 0.1  |       28  |
|  deltablue.EqualityConstraint.<init>(Variable, Variable, Strength$Sym, Planner)                                                                         |    263    5%  |          < 0.1  |       28  |
|  deltablue.EqualityConstraint.execute()                                                                                                                 |    226    5%  |            222  |       24  |
|  deltablue.Variable.addConstraint(AbstractConstraint)                                                                                                   |    219    5%  |              0  |       22  |
|  deltablue.Planner.lambda$incrementalRemove$0(AbstractConstraint)                                                                                       |    197    4%  |              0  |       20  |
|  deltablue.Planner$$Lambda$32.0x00000008000cdae0.apply(Object)                                                                                          |    197    4%  |              0  |       20  |
|  deltablue.Planner.lambda$addConstraintsConsumingTo$2(AbstractConstraint, Vector, AbstractConstraint)                                                   |    189    4%  |             64  |       18  |
|  deltablue.Planner$$Lambda$15.0x00000008000cc000.apply(Object)                                                                                          |    189    4%  |              0  |       18  |
|  deltablue.UnaryConstraint.addToGraph()                                                                                                                 |    181    4%  |              0  |       18  |
|  deltablue.BinaryConstraint.<init>(Variable, Variable, Strength$Sym, Planner)                                                                           |    153    3%  |            148  |       16  |
|  deltablue.BinaryConstraint.isSatisfied()                                                                                                               |    137    3%  |            137  |       14  |
|  deltablue.Planner$$Lambda$26.0x00000008000cd620.apply(Object)                                                                                          |    135    3%  |             49  |       14  |
|  deltablue.Variable.<init>()                                                                                                                            |    113    2%  |             67  |        9  |
|  deltablue.ScaleConstraint.<init>(Variable, Variable, Variable, Variable, Strength$Sym, Planner)                                                        |    112    2%  |          < 0.1  |       10  |
|  deltablue.UnaryConstraint.removeFromGraph()                                                                                                            |     95    2%  |              0  |       10  |
|  deltablue.Variable.removeConstraint(AbstractConstraint)                                                                                                |     95    2%  |              0  |       10  |
|  som.Vector.remove(Object)                                                                                                                              |     95    2%  |             19  |       10  |
|  deltablue.ScaleConstraint.recalculate()                                                                                                                |     89    2%  |             50  |        8  |
|  deltablue.Planner.lambda$constraintsConsuming$3(AbstractConstraint, ForEachInterface, AbstractConstraint)                                              |     85    2%  |             19  |        9  |
|  deltablue.ScaleConstraint.execute()                                                                                                                    |     76    2%  |             56  |        8  |
|  deltablue.Variable.value(int)                                                                                                                          |     71    1%  |              0  |        7  |
|  java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, int) DirectMethodHandle$Holder                                                     |     64    1%  |             64  |        6  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(int, Object) Invokers$Holder                                                                       |     64    1%  |              0  |        6  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                               |     62    1%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                      |     62    1%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                              |     62    1%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                        |     62    1%  |              0  |        5  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                           |     62    1%  |              0  |        5  |
|  deltablue.Planner.lambda$removePropagateFrom$4(Vector, AbstractConstraint)                                                                             |     60    1%  |             10  |        6  |
|  deltablue.Planner$$Lambda$24.0x00000008000cd1d0.apply(Object)                                                                                          |     60    1%  |              0  |        6  |
|  som.Vector.<init>(int)                                                                                                                                 |     56    1%  |             56  |        7  |
|  deltablue.Planner.lambda$removePropagateFrom$5(Vector, AbstractConstraint)                                                                             |     55    1%  |              9  |        6  |
|  deltablue.Planner$$Lambda$25.0x00000008000cd3f8.apply(Object)                                                                                          |     55    1%  |              0  |        6  |
|  deltablue.BinaryConstraint.getOutput()                                                                                                                 |     49    1%  |             49  |        5  |
|  java.util.Arrays.setAll(Object[], IntFunction) Arrays.java                                                                                             |     44    1%  |              3  |        3  |
|  deltablue.BinaryConstraint.recalculate()                                                                                                               |     43    1%  |             29  |        5  |
|  som.Vector.with(Object)                                                                                                                                |     42    1%  |              0  |        5  |
|  deltablue.Planner.lambda$chainTest$7(int)                                                                                                              |     41    1%  |              0  |        2  |
|  deltablue.Planner$$Lambda$8.0x00000008000c66a0.apply(int)                                                                                              |     41    1%  |              0  |        2  |
|  deltablue.AbstractConstraint.inputsKnown(int)                                                                                                          |     39    1%  |             39  |        4  |
|  deltablue.BinaryConstraint.chooseMethod(int)                                                                                                           |     38    1%  |             38  |        4  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object) Invokers$Holder                                                                    |     37    1%  |             10  |        4  |
|  som.Vector$$Lambda$23.0x00000008000ccfa8.apply(Object)                                                                                                 |     35    1%  |             25  |        4  |
|  jdk.internal.loader.BuiltinClassLoader.defineClass(String, Resource) BuiltinClassLoader.java                                                           |     31    1%  |              0  |        1  |
|  jdk.internal.loader.Resource.getBytes() Resource.java                                                                                                  |     31    1%  |             31  |        1  |
|  jdk.internal.loader.URLClassPath$JarLoader$2.getBytes() URLClassPath.java                                                                              |     31    1%  |              0  |        1  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                       |     31    1%  |              0  |        4  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                      |     31    1%  |              0  |        4  |
|  java.security.AccessController.doPrivileged(PrivilegedExceptionAction, AccessControlContext) AccessController.java                                     |     31    1%  |              0  |        4  |
|  java.security.AccessController.executePrivileged(PrivilegedExceptionAction, AccessControlContext, Class) AccessController.java                         |     31    1%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath.getLoader(int) URLClassPath.java                                                                                      |     31    1%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath.getLoader(URL) URLClassPath.java                                                                                      |     31    1%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath.getResource(String, boolean) URLClassPath.java                                                                        |     31    1%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                             |     31    1%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                             |     31    1%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath$JarLoader.<init>(URL, URLStreamHandler, HashMap, AccessControlContext) URLClassPath.java                              |     31    1%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath$JarLoader.ensureOpen() URLClassPath.java                                                                              |     31    1%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                   |     31    1%  |          < 0.1  |        4  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                   |     31    1%  |              0  |        4  |
|  sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String) LauncherHelper.java                                                                 |     31    1%  |              0  |        4  |
|  sun.launcher.LauncherHelper.loadMainClass(int, String) LauncherHelper.java                                                                             |     31    1%  |              0  |        4  |
|  som.Vector.removeFirst()                                                                                                                               |     29    1%  |             29  |        3  |
|  java.util.Arrays.copyOf(Object[], int) Arrays.java                                                                                                     |     29    1%  |             19  |        3  |
|  deltablue.ScaleConstraint.addToGraph()                                                                                                                 |     27    1%  |              9  |        3  |
|  java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object) DirectMethodHandle$Holder                                                  |     26    1%  |              9  |        3  |
|  java.util.jar.JarFile.<init>(File, boolean, int, Runtime$Version) JarFile.java                                                                         |     25    1%  |              0  |        2  |
|  java.util.zip.ZipFile.<init>(File, int) ZipFile.java                                                                                                   |     25    1%  |              0  |        2  |
|  java.util.zip.ZipFile.<init>(File, int, Charset) ZipFile.java                                                                                          |     25    1%  |              0  |        2  |
|  java.util.zip.ZipFile$CleanableResource.<init>(ZipFile, ZipCoder, File, int) ZipFile.java                                                              |     25    1%  |              0  |        2  |
|  java.util.zip.ZipFile$Source.<init>(ZipFile$Source$Key, boolean, ZipCoder) ZipFile.java                                                                |     25    1%  |              0  |        2  |
|  java.util.zip.ZipFile$Source.get(File, boolean, ZipCoder) ZipFile.java                                                                                 |     25    1%  |              0  |        2  |
|  jdk.internal.loader.URLClassPath$JarLoader.getJarFile(URL) URLClassPath.java                                                                           |     25    1%  |              0  |        3  |
|  deltablue.Variable.getValue()                                                                                                                          |     23    0%  |             23  |        3  |
|  com.yourkit.probes.builtin.Files.<clinit>() a                                                                                                          |     23    0%  |              0  |        1  |
|  com.yourkit.probes.builtin.Files$RandomAccessFile_open_Probe.onEnter() a                                                                               |     23    0%  |              0  |        1  |
|  com.yourkit.probes.Table.ensureCreated() a                                                                                                             |     23    0%  |             23  |        1  |
|  com.yourkit.probes.Table.getIndex() a                                                                                                                  |     23    0%  |              0  |        1  |
|  com.yourkit.probes.TableLongBytes.<init>(ResourceRegistry, String, long) a                                                                             |     23    0%  |              0  |        1  |
|  java.io.RandomAccessFile.<init>(File, String) RandomAccessFile.java                                                                                    |     23    0%  |              0  |        1  |
|  java.io.RandomAccessFile.<init>(File, String, boolean) RandomAccessFile.java                                                                           |     23    0%  |              0  |        1  |
|  java.io.RandomAccessFile.open(String, int) RandomAccessFile.java                                                                                       |     23    0%  |              0  |        1  |
|  java.lang.invoke.DirectMethodHandle.allocateInstance(Object) DirectMethodHandle.java                                                                   |     22    0%  |              0  |        3  |
|  jdk.internal.misc.Unsafe.allocateInstance(Class) Unsafe.java (native)                                                                                  |     22    0%  |             22  |        3  |
|  java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object, Object) DirectMethodHandle$Holder                                          |     22    0%  |              9  |        3  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object, Object) Invokers$Holder                                                            |     22    0%  |              0  |        3  |
|  com.yourkit.probes.builtin.Files.writeOnEnter(FileOutputStream, int) a                                                                                 |     22    0%  |              0  |        2  |
|  com.yourkit.probes.builtin.Files$FileOutputStream_write_arrayRange_Probe.onEnter(FileOutputStream, int) a                                              |     22    0%  |              0  |        2  |
|  com.yourkit.probes.Table.createRow(int) a                                                                                                              |     22    0%  |              0  |        2  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                         |     22    0%  |              0  |        2  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                   |     22    0%  |              0  |        2  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                 |     22    0%  |              0  |        2  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                       |     22    0%  |              0  |        2  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                   |     22    0%  |              0  |        2  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                           |     22    0%  |              0  |        2  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                   |     22    0%  |              0  |        2  |
|  Run.printResult(long)                                                                                                                                  |     22    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                              |     22    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                          |     22    0%  |              0  |        2  |
