Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)   |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  8,985   99%  |              0  |      889  |
|  Run.runBenchmark()                                                                                                                                                   |  8,985   99%  |          < 0.1  |      889  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  8,979   99%  |              0  |      888  |
|  Run.measure(Benchmark)                                                                                                                                               |  8,979   99%  |              0  |      888  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                    |  8,929   99%  |              0  |      883  |
|  Permute.benchmark()                                                                                                                                                  |  8,929   99%  |              9  |      883  |
|  Permute.permute(int)                                                                                                                                                 |  8,919   99%  |          5,195  |      882  |
|  Permute.swap(int, int)                                                                                                                                               |  3,724   41%  |          3,724  |      374  |
|  Run.printResult(long)                                                                                                                                                |     49    1%  |              4  |        5  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                       |     26    0%  |              0  |        3  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                    |     26    0%  |              0  |        3  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                |     26    0%  |              0  |        3  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                    |     26    0%  |              0  |        3  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                              |     26    0%  |              0  |        3  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, int, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                                    |     26    0%  |              0  |        3  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java                            |     26    0%  |              0  |        3  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, List) StringConcatFactory.java                                                                 |     26    0%  |              0  |        3  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java                    |     26    0%  |              0  |        3  |
