Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                                      Method                                                                                                      |   Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                          |  18,439   99%  |              0  |    1,865  |
|  Run.runBenchmark()                                                                                                                                                                                              |  18,429   99%  |              0  |    1,864  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                           |  18,406   99%  |              0  |    1,862  |
|  Run.measure(Benchmark)                                                                                                                                                                                          |  18,406   99%  |          < 0.1  |    1,862  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                                               |  18,378   99%  |              0  |    1,859  |
|  Storage.benchmark()                                                                                                                                                                                             |  18,378   99%  |              9  |    1,859  |
|  Storage.buildTreeDepth(int, Random)                                                                                                                                                                             |  18,368   99%  |          6,733  |    1,858  |
|  java.util.Arrays.setAll(Object[], IntFunction) Arrays.java                                                                                                                                                      |  18,358   99%  |          7,873  |    1,857  |
|  Storage.lambda$buildTreeDepth$0(int, Random, int)                                                                                                                                                               |  18,358   99%  |            671  |    1,857  |
|  Storage$$Lambda$12.0x00000008000c2a98.apply(int)                                                                                                                                                                |  18,358   99%  |             70  |    1,857  |
|  som.Random.next()                                                                                                                                                                                               |   2,708   15%  |          2,708  |      275  |
|  java.lang.invoke.LambdaForm$DMH.0x00000008000c5400.newInvokeSpecial(Object, Object, int, Object) LambdaForm$DMH                                                                                                 |     310    2%  |            260  |       31  |
|  java.lang.invoke.LambdaForm$MH.0x00000008000c5c00.linkToTargetMethod(Object, int, Object, Object) LambdaForm$MH                                                                                                 |     310    2%  |              0  |       31  |
|  java.lang.invoke.DirectMethodHandle.allocateInstance(Object) DirectMethodHandle.java                                                                                                                            |      49    0%  |             49  |        5  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                                                            |      35    0%  |              0  |        3  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                                                            |      35    0%  |          < 0.1  |        3  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                                        |      27    0%  |              0  |        4  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                                               |      27    0%  |              0  |        4  |
