Method list (CPU)

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                                 Method                                                                                                 |   Time (ms)   |  Own Time (ms)  |  Samples  |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                |  3,935   99%  |          < 0.1  |      410  |
|  Run.runBenchmark()                                                                                                                                                                                    |  3,925   99%  |          < 0.1  |      409  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                 |  3,910   98%  |              0  |      407  |
|  Run.measure(Benchmark)                                                                                                                                                                                |  3,910   98%  |          < 0.1  |      407  |
|  DeltaBlue.innerBenchmarkLoop(int)                                                                                                                                                                     |  3,899   98%  |          < 0.1  |      406  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                                                  |  2,561   64%  |          1,708  |      257  |
|  deltablue.Planner.chainTest(int)                                                                                                                                                                      |  2,164   54%  |              4  |      222  |
|  deltablue.Planner.projectionTest(int)                                                                                                                                                                 |  1,729   43%  |             28  |      183  |
|  deltablue.Plan.execute()                                                                                                                                                                              |  1,660   42%  |              0  |      165  |
|  deltablue.Planner.change(Variable, int)                                                                                                                                                               |  1,373   34%  |          < 0.1  |      141  |
|  deltablue.Planner.incrementalAdd(AbstractConstraint)                                                                                                                                                  |    898   23%  |             24  |      101  |
|  deltablue.AbstractConstraint.satisfy(int, Planner)                                                                                                                                                    |    874   22%  |            132  |       97  |
|  deltablue.AbstractConstraint.addConstraint(Planner)                                                                                                                                                   |    785   20%  |              0  |       89  |
|  deltablue.Planner.addPropagate(AbstractConstraint, int)                                                                                                                                               |    668   17%  |            218  |       72  |
|  deltablue.AbstractConstraint.destroyConstraint(Planner)                                                                                                                                               |    627   16%  |              0  |       66  |
|  deltablue.UnaryConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                                                     |    598   15%  |             19  |       65  |
|  deltablue.Planner.incrementalRemove(AbstractConstraint)                                                                                                                                               |    597   15%  |          < 0.1  |       63  |
|  deltablue.Plan$$Lambda$27.0x00000008000ccd88.apply(Object)                                                                                                                                            |    459   12%  |            225  |       45  |
|  deltablue.Planner.addConstraintsConsumingTo(Variable, Vector)                                                                                                                                         |    363    9%  |             12  |       39  |
|  deltablue.Planner.removePropagateFrom(Variable)                                                                                                                                                       |    352    9%  |          < 0.1  |       37  |
|  som.Vector.<init>(int)                                                                                                                                                                                |    348    9%  |            348  |       34  |
|  deltablue.EditConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                                                      |    347    9%  |              0  |       37  |
|  deltablue.Planner.extractPlanFromConstraints(Vector)                                                                                                                                                  |    337    8%  |              0  |       35  |
|  deltablue.Planner.makePlan(Vector)                                                                                                                                                                    |    337    8%  |             29  |       35  |
|  deltablue.Planner.lambda$chainTest$7(int)                                                                                                                                                             |    266    7%  |              0  |       26  |
|  deltablue.Planner$$Lambda$12.0x00000008000c66a0.apply(int)                                                                                                                                            |    266    7%  |              0  |       26  |
|  deltablue.Variable.<init>()                                                                                                                                                                           |    266    7%  |              5  |       26  |
|  java.util.Arrays.setAll(Object[], IntFunction) Arrays.java                                                                                                                                            |    266    7%  |              0  |       26  |
|  deltablue.StayConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                                                      |    261    7%  |              9  |       29  |
|  deltablue.Planner.constraintsConsuming(Variable, ForEachInterface)                                                                                                                                    |    249    6%  |              0  |       25  |
|  deltablue.Plan.lambda$execute$0(AbstractConstraint)                                                                                                                                                   |    233    6%  |             25  |       24  |
|  deltablue.EqualityConstraint.<init>(Variable, Variable, Strength$Sym, Planner)                                                                                                                        |    170    4%  |              0  |       19  |
|  deltablue.ScaleConstraint.<init>(Variable, Variable, Variable, Variable, Strength$Sym, Planner)                                                                                                       |    170    4%  |             10  |       21  |
|  deltablue.Planner.lambda$incrementalRemove$0(AbstractConstraint)                                                                                                                                      |    152    4%  |              0  |       16  |
|  deltablue.Planner$$Lambda$38.0x00000008000cdae0.apply(Object)                                                                                                                                         |    152    4%  |              0  |       16  |
|  som.Vector.append(Object)                                                                                                                                                                             |    123    3%  |             98  |       13  |
|  deltablue.UnaryConstraint.removeFromGraph()                                                                                                                                                           |    122    3%  |              0  |       13  |
|  deltablue.Variable.removeConstraint(AbstractConstraint)                                                                                                                                               |    122    3%  |              0  |       13  |
|  som.Vector.remove(Object)                                                                                                                                                                             |    122    3%  |              0  |       13  |
|  deltablue.EqualityConstraint.execute()                                                                                                                                                                |    122    3%  |            122  |       12  |
|  deltablue.AbstractConstraint.<init>(Strength$Sym)                                                                                                                                                     |    108    3%  |             39  |       11  |
|  deltablue.AbstractConstraint.inputsKnown(int)                                                                                                                                                         |    108    3%  |             43  |       10  |
|  deltablue.BinaryConstraint.<init>(Variable, Variable, Strength$Sym, Planner)                                                                                                                          |    102    3%  |             13  |       11  |
|  deltablue.ScaleConstraint.recalculate()                                                                                                                                                               |     97    2%  |             68  |       10  |
|  deltablue.ScaleConstraint.execute()                                                                                                                                                                   |     94    2%  |             94  |       10  |
|  deltablue.Planner$$Lambda$32.0x00000008000cd620.apply(Object)                                                                                                                                         |     89    2%  |              9  |        9  |
|  deltablue.Planner.lambda$addConstraintsConsumingTo$2(AbstractConstraint, Vector, AbstractConstraint)                                                                                                  |     82    2%  |             33  |        9  |
|  deltablue.Planner$$Lambda$19.0x00000008000cc000.apply(Object)                                                                                                                                         |     82    2%  |              0  |        9  |
|  deltablue.Planner.lambda$constraintsConsuming$3(AbstractConstraint, ForEachInterface, AbstractConstraint)                                                                                             |     79    2%  |             19  |        8  |
|  deltablue.Strength.of(Strength$Sym)                                                                                                                                                                   |     69    2%  |              9  |        7  |
|  som.Vector.with(Object)                                                                                                                                                                               |     69    2%  |              9  |        7  |
|  deltablue.BinaryConstraint.inputsHasOne(TestInterface)                                                                                                                                                |     65    2%  |             65  |        6  |
|  deltablue.BinaryConstraint.getOutput()                                                                                                                                                                |     64    2%  |             64  |        7  |
|  som.Vector$$Lambda$29.0x00000008000ccfa8.apply(Object)                                                                                                                                                |     60    2%  |             40  |        6  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                                                              |     59    1%  |             29  |        6  |
|  deltablue.Planner.lambda$removePropagateFrom$5(Vector, AbstractConstraint)                                                                                                                            |     50    1%  |          < 0.1  |        5  |
|  deltablue.Planner$$Lambda$31.0x00000008000cd3f8.apply(Object)                                                                                                                                         |     50    1%  |              0  |        5  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                              |     44    1%  |              0  |        6  |
