Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                                  Method                                                                                                  |   Time (ms)    |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                  |  23,713   99%  |              0  |    2,391  |
|  Run.runBenchmark()                                                                                                                                                                                      |  23,699   99%  |          < 0.1  |    2,390  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                   |  23,675   99%  |              0  |    2,386  |
|  Run.measure(Benchmark)                                                                                                                                                                                  |  23,675   99%  |          < 0.1  |    2,386  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                                       |  23,645   99%  |          < 0.1  |    2,383  |
|  Json.benchmark()                                                                                                                                                                                        |  23,636   99%  |              0  |    2,382  |
|  json.JsonPureStringParser.parse()                                                                                                                                                                       |  23,636   99%  |              0  |    2,382  |
|  json.JsonPureStringParser.readValue()                                                                                                                                                                   |  23,636   99%  |            369  |    2,382  |
|  json.JsonPureStringParser.readObject()                                                                                                                                                                  |  23,619   99%  |            118  |    2,381  |
|  json.JsonPureStringParser.readArray()                                                                                                                                                                   |  23,589   99%  |            158  |    2,378  |
|  json.JsonPureStringParser.read()                                                                                                                                                                        |  13,769   58%  |          5,146  |    1,381  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                                                          |   9,782   41%  |            922  |      984  |
|  java.lang.String.substring(int, int) String.java                                                                                                                                                        |   7,424   31%  |          2,437  |      741  |
|  json.JsonPureStringParser.readString()                                                                                                                                                                  |   6,824   29%  |            242  |      686  |
|  java.lang.String.equals(Object) String.java                                                                                                                                                             |   5,496   23%  |          5,486  |      560  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                                                              |   4,326   18%  |            451  |      429  |
|  json.JsonPureStringParser.readNumber()                                                                                                                                                                  |   4,167   18%  |            282  |      418  |
|  java.lang.StringLatin1.newString(byte[], int, int) StringLatin1.java                                                                                                                                    |   3,712   16%  |          1,583  |      369  |
|  json.JsonPureStringParser.readName()                                                                                                                                                                    |   3,307   14%  |             38  |      334  |
