Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)   |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  4,847   99%  |              0  |      476  |
|  Run.runBenchmark()                                                                                                                                                   |  4,847   99%  |              0  |      476  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  4,838   98%  |              0  |      475  |
|  Run.measure(Benchmark)                                                                                                                                               |  4,838   98%  |              0  |      475  |
|  DeltaBlue.innerBenchmarkLoop(int)                                                                                                                                    |  4,799   98%  |          < 0.1  |      471  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |  3,277   67%  |          2,122  |      322  |
|  deltablue.Planner.chainTest(int)                                                                                                                                     |  3,036   62%  |          < 0.1  |      296  |
|  deltablue.Plan.execute()                                                                                                                                             |  2,191   45%  |              0  |      222  |
|  deltablue.Planner.projectionTest(int)                                                                                                                                |  1,741   35%  |              9  |      174  |
|  deltablue.Planner.incrementalAdd(AbstractConstraint)                                                                                                                 |  1,325   27%  |             30  |      125  |
|  deltablue.AbstractConstraint.satisfy(int, Planner)                                                                                                                   |  1,295   26%  |            209  |      122  |
|  deltablue.Planner.change(Variable, int)                                                                                                                              |  1,294   26%  |          < 0.1  |      128  |
|  deltablue.AbstractConstraint.addConstraint(Planner)                                                                                                                  |  1,188   24%  |              9  |      112  |
|  deltablue.UnaryConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                    |    776   16%  |          < 0.1  |       70  |
|  deltablue.AbstractConstraint.destroyConstraint(Planner)                                                                                                              |    751   15%  |              0  |       69  |
|  deltablue.Planner.incrementalRemove(AbstractConstraint)                                                                                                              |    721   15%  |          < 0.1  |       66  |
|  deltablue.Planner.addPropagate(AbstractConstraint, int)                                                                                                              |    721   15%  |            254  |       66  |
|  deltablue.Plan$$Lambda$22.0x00000008000ccd88.apply(Object)                                                                                                           |    691   14%  |            133  |       72  |
|  deltablue.Plan.lambda$execute$0(AbstractConstraint)                                                                                                                  |    557   11%  |            171  |       57  |
|  deltablue.Planner.addConstraintsConsumingTo(Variable, Vector)                                                                                                        |    516   11%  |             13  |       48  |
|  deltablue.Planner.removePropagateFrom(Variable)                                                                                                                      |    473   10%  |             22  |       43  |
