Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  46,031   99%  |              0  |    4,641  |
|  Run.runBenchmark()                                                                                                                                                   |  46,011   99%  |          < 0.1  |    4,640  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  45,996   99%  |              0  |    4,638  |
|  Run.measure(Benchmark)                                                                                                                                               |  45,996   99%  |          < 0.1  |    4,638  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                       |  45,945   99%  |          < 0.1  |    4,633  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                   |  45,941   99%  |              9  |    4,632  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |  30,497   66%  |          1,413  |    3,066  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                   |  27,252   59%  |             44  |    2,767  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                  |  27,075   59%  |          4,709  |    2,748  |
|  som.Set.add(Object)                                                                                                                                                  |  18,816   41%  |          < 0.1  |    1,880  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                    |  18,588   40%  |          < 0.1  |    1,855  |
|  som.Set.hasSome(TestInterface)                                                                                                                                       |  18,531   40%  |            120  |    1,851  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                    |  18,426   40%  |            958  |    1,841  |
|  som.IdentitySet.contains(Object)                                                                                                                                     |  18,135   39%  |          < 0.1  |    1,811  |
|  havlak.LoopStructureGraph$$Lambda$87.0x00000008000cd340.apply(Object)                                                                                                |  18,002   39%  |            279  |    1,797  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                              |  17,838   39%  |            110  |    1,781  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                           |  17,727   38%  |              0  |    1,770  |
|  havlak.LoopStructureGraph.lambda$calculateNestingLevel$0(SimpleLoop)                                                                                                 |  17,723   38%  |             39  |    1,769  |
|  som.IdentitySet.lambda$contains$0(Object, Object)                                                                                                                    |  17,462   38%  |         17,462  |    1,743  |
|  som.IdentitySet$$Lambda$24.0x00000008000ccef0.test(Object)                                                                                                           |  17,462   38%  |              0  |    1,743  |
|  havlak.LoopTesterApp.addDummyLoops(int)                                                                                                                              |   8,591   19%  |              9  |      875  |
|  havlak.HavlakLoopFinder.initAllNodes()                                                                                                                               |   4,979   11%  |          < 0.1  |      512  |
|  havlak.HavlakLoopFinder.identifyEdges(int)                                                                                                                           |   4,864   11%  |              0  |      490  |
|  havlak.HavlakLoopFinder.processEdges(BasicBlock, int)                                                                                                                |   4,864   11%  |            385  |      490  |
|  havlak.HavlakLoopFinder$$Lambda$16.0x00000008000c5c70.apply(Object)                                                                                                  |   4,103    9%  |             81  |      416  |
|  havlak.HavlakLoopFinder.lambda$processEdges$1(int, BasicBlock)                                                                                                       |   4,021    9%  |          3,387  |      407  |
|  som.Set.forEach(ForEachInterface)                                                                                                                                    |   3,622    8%  |              9  |      359  |
|  havlak.HavlakLoopFinder.stepEProcessNonBackPreds(int, Vector, Vector, UnionFindNode)                                                                                 |   3,114    7%  |              0  |      311  |
|  havlak.HavlakLoopFinder.doDFS(BasicBlock, int)                                                                                                                       |   3,078    7%  |          2,719  |      312  |
|  havlak.HavlakLoopFinder$$Lambda$22.0x00000008000ccaa0.apply(Object)                                                                                                  |   3,068    7%  |             69  |      304  |
