Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                             Method                                                                                             |   Time (ms)   |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                        |  6,314   99%  |              0  |      636  |
|  Run.runBenchmark()                                                                                                                                                                            |  6,306   99%  |          < 0.1  |      634  |
|  Run.doRuns(Benchmark)                                                                                                                                                                         |  6,283   99%  |              0  |      632  |
|  Run.measure(Benchmark)                                                                                                                                                                        |  6,283   99%  |          < 0.1  |      632  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                             |  6,253   99%  |             11  |      629  |
|  Queens.benchmark()                                                                                                                                                                            |  6,241   98%  |              0  |      627  |
|  Queens.queens()                                                                                                                                                                               |  6,241   98%  |             64  |      627  |
|  Queens.placeQueen(int)                                                                                                                                                                        |  6,127   97%  |            895  |      616  |
|  Queens.getRowColumn(int, int)                                                                                                                                                                 |  3,686   58%  |          3,686  |      370  |
|  Queens.setRowColumn(int, int, boolean)                                                                                                                                                        |  1,544   24%  |          1,544  |      157  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                                          |     35    1%  |              0  |        3  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                                          |     35    1%  |              0  |        3  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                      |     32    1%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                             |     32    1%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                                     |     32    1%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                               |     32    1%  |              0  |        5  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                                  |     32    1%  |              0  |        5  |
|  java.util.Arrays.fill(boolean[], boolean) Arrays.java                                                                                                                                         |     29    0%  |             29  |        3  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                                              |     24    0%  |              0  |        4  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                                             |     24    0%  |              0  |        4  |
|  java.security.AccessController.doPrivileged(PrivilegedExceptionAction, AccessControlContext) AccessController.java                                                                            |     24    0%  |              0  |        4  |
