Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                   Method                                                                                   |   Time (ms)    |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                    |  27,232   99%  |              0  |    2,737  |
|  Run.runBenchmark()                                                                                                                                                        |  27,232   99%  |              0  |    2,736  |
|  Run.doRuns(Benchmark)                                                                                                                                                     |  27,207   99%  |              0  |    2,733  |
|  Run.measure(Benchmark)                                                                                                                                                    |  27,207   99%  |          < 0.1  |    2,733  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                         |  27,177   99%  |              9  |    2,730  |
|  Richards.benchmark()                                                                                                                                                      |  27,078   99%  |          7,342  |    2,720  |
|  richards.Scheduler.start()                                                                                                                                                |  19,345   71%  |          < 0.1  |    1,944  |
|  richards.Scheduler.schedule()                                                                                                                                             |  18,690   69%  |            589  |    1,879  |
|  richards.TaskControlBlock.runTask()                                                                                                                                       |  17,116   63%  |         10,293  |    1,717  |
|  richards.Scheduler$$Lambda$14.0x00000008000c7978.apply(Packet, RBObject)                                                                                                  |   3,355   12%  |            904  |      335  |
|  richards.Scheduler.lambda$createHandler$1(Packet, RBObject)                                                                                                               |   2,451    9%  |            141  |      244  |
|  richards.Scheduler$$Lambda$15.0x00000008000c7ba0.apply(Packet, RBObject)                                                                                                  |   1,996    7%  |          1,077  |      201  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                                          |   1,631    6%  |            533  |      162  |
|  richards.RBObject.append(Packet, Packet)                                                                                                                                  |   1,199    4%  |            958  |      121  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                                               |     954    4%  |            954  |       98  |
|  richards.Scheduler$$Lambda$12.0x00000008000c7528.apply(Packet, RBObject)                                                                                                  |     953    3%  |            428  |       95  |
|  richards.Scheduler.lambda$createDevice$0(Packet, RBObject)                                                                                                                |     918    3%  |            388  |       93  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                                    |     822    3%  |             64  |       83  |
|  richards.Scheduler$$Lambda$13.0x00000008000c7750.apply(Packet, RBObject)                                                                                                  |     595    2%  |            243  |       62  |
|  richards.Scheduler.lambda$createIdler$2(Packet, RBObject)                                                                                                                 |     524    2%  |            129  |       53  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                                              |     458    2%  |            448  |       46  |
|  richards.Packet.<init>(Packet, int, int)                                                                                                                                  |     446    2%  |            446  |       44  |
|  richards.Scheduler.createPacket(Packet, int, int)                                                                                                                         |     446    2%  |              0  |       44  |
|  richards.Scheduler.<init>()                                                                                                                                               |     385    1%  |            385  |       39  |
|  richards.Scheduler.lambda$createWorker$3(Packet, RBObject)                                                                                                                |     352    1%  |            186  |       37  |
|  richards.Scheduler.findTask(int)                                                                                                                                          |     335    1%  |            335  |       34  |
|  richards.Scheduler.release(int)                                                                                                                                           |     334    1%  |             29  |       34  |
|  richards.Packet.setLink(Packet)                                                                                                                                           |     271    1%  |            271  |       27  |
|  richards.DeviceTaskDataRecord.getPending()                                                                                                                                |     200    1%  |            200  |       20  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                                                |     169    1%  |            169  |       17  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                                        |     161    1%  |             69  |       16  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                                          |     128    0%  |            128  |       13  |
|  richards.Scheduler.createIdler(int, int, Packet, TaskState)                                                                                                               |      70    0%  |              0  |        7  |
|  richards.Scheduler.createTask(int, int, Packet, TaskState, ProcessFunction, RBObject)                                                                                     |      70    0%  |             70  |        7  |
|  richards.TaskState.createWaitingWithPacket()                                                                                                                              |      69    0%  |             69  |        7  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                                               |      59    0%  |             59  |        6  |
|  richards.TaskControlBlock.getPriority()                                                                                                                                   |      59    0%  |             59  |        6  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object) Invokers$Holder                                                                                       |      49    0%  |             49  |        5  |
|  richards.Scheduler.createHandler(int, int, Packet, TaskState)                                                                                                             |      49    0%  |              0  |        5  |
|  richards.HandlerTaskDataRecord.workIn(Packet)                                                                                                                             |      29    0%  |             29  |        3  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                            |      25    0%  |              0  |        3  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                         |      25    0%  |              0  |        3  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                     |      25    0%  |              0  |        3  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                         |      25    0%  |              0  |        3  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                                   |      25    0%  |              0  |        3  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, int, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                                         |      25    0%  |              0  |        3  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java                                 |      25    0%  |              0  |        3  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, List) StringConcatFactory.java                                                                      |      25    0%  |          < 0.1  |        3  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java                         |      25    0%  |              0  |        3  |
|  com.yourkit.probes.builtin.Files.writeOnEnter(FileOutputStream, int) a                                                                                                    |      19    0%  |              0  |        2  |
|  com.yourkit.probes.builtin.Files$FileOutputStream_write_arrayRange_Probe.onEnter(FileOutputStream, int) a                                                                 |      19    0%  |              0  |        2  |
|  com.yourkit.probes.Table.createRow(int) a                                                                                                                                 |      19    0%  |              0  |        2  |
|  com.yourkit.probes.Table.createRow() a                                                                                                                                    |      19    0%  |              9  |        2  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                                            |      19    0%  |              0  |        2  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                                      |      19    0%  |              0  |        2  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                                    |      19    0%  |              0  |        2  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                                          |      19    0%  |              0  |        2  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                      |      19    0%  |              0  |        2  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                                              |      19    0%  |              0  |        2  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                      |      19    0%  |              0  |        2  |
|  Run.printResult(long)                                                                                                                                                     |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                                                 |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                                             |      19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.writeBytes() StreamEncoder.java                                                                                                                  |      19    0%  |              0  |        2  |
|  richards.TaskControlBlock.getLink()                                                                                                                                       |      19    0%  |             19  |        2  |
|  richards.RBObject.<init>()                                                                                                                                                |      17    0%  |             17  |        2  |
|  richards.TaskState.<init>()                                                                                                                                               |      17    0%  |              0  |        2  |
|  richards.TaskState.createRunning()                                                                                                                                        |      17    0%  |              0  |        2  |
|  java.lang.invoke.BoundMethodHandle.<init>(MethodType, LambdaForm) BoundMethodHandle.java                                                                                  |      16    0%  |              0  |        2  |
|  java.lang.invoke.InvokerBytecodeGenerator.generateCustomizedCode(LambdaForm, MethodType) InvokerBytecodeGenerator.java                                                    |      16    0%  |              0  |        2  |
|  java.lang.invoke.LambdaForm.compileToBytecode() LambdaForm.java                                                                                                           |      16    0%  |              0  |        2  |
|  java.lang.invoke.LambdaForm.prepare() LambdaForm.java                                                                                                                     |      16    0%  |              0  |        2  |
|  java.lang.invoke.MethodHandle.<init>(MethodType, LambdaForm) MethodHandle.java                                                                                            |      16    0%  |              0  |        2  |
|  richards.WorkerTaskDataRecord.getCount()                                                                                                                                  |      11    0%  |             11  |        2  |
|  richards.TaskState.isWaitingWithPacket()                                                                                                                                  |      10    0%  |             10  |        1  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java                                       |      10    0%  |              0  |        2  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java       |      10    0%  |              0  |        2  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                               |      10    0%  |              0  |        2  |
