Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                           Method                                                                           |   Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                    |  27,375   99%  |              0  |    2,731  |
|  Run.runBenchmark()                                                                                                                                        |  27,375   99%  |          < 0.1  |    2,731  |
|  Run.doRuns(Benchmark)                                                                                                                                     |  27,369   99%  |              0  |    2,730  |
|  Run.measure(Benchmark)                                                                                                                                    |  27,369   99%  |              0  |    2,730  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                         |  27,354   99%  |          < 0.1  |    2,729  |
|  Richards.benchmark()                                                                                                                                      |  27,302   99%  |          7,445  |    2,724  |
|  richards.Scheduler.start()                                                                                                                                |  19,525   71%  |          < 0.1  |    1,946  |
|  richards.Scheduler.schedule()                                                                                                                             |  18,884   69%  |            676  |    1,880  |
|  richards.TaskControlBlock.runTask()                                                                                                                       |  17,352   63%  |         10,604  |    1,730  |
|  richards.Scheduler$$Lambda$9.0x00000008000c7978.apply(Packet, RBObject)                                                                                   |   3,216   12%  |            977  |      320  |
|  richards.Scheduler.lambda$createHandler$1(Packet, RBObject)                                                                                               |   2,239    8%  |            285  |      224  |
|  richards.Scheduler$$Lambda$10.0x00000008000c7ba0.apply(Packet, RBObject)                                                                                  |   2,037    7%  |          1,092  |      202  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                          |   1,500    5%  |            472  |      152  |
|  richards.RBObject.append(Packet, Packet)                                                                                                                  |   1,111    4%  |            760  |      113  |
|  richards.Scheduler$$Lambda$7.0x00000008000c7528.apply(Packet, RBObject)                                                                                   |     960    4%  |            389  |       96  |
|  richards.Scheduler.lambda$createDevice$0(Packet, RBObject)                                                                                                |     945    3%  |            406  |       94  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                               |     837    3%  |            837  |       79  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                    |     615    2%  |              9  |       62  |
