Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                             Method                                                                                             |   Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                        |  13,228   99%  |              0  |    1,334  |
|  Run.runBenchmark()                                                                                                                                                                            |  13,228   99%  |          < 0.1  |    1,333  |
|  Run.doRuns(Benchmark)                                                                                                                                                                         |  13,195   99%  |              0  |    1,329  |
|  Run.measure(Benchmark)                                                                                                                                                                        |  13,195   99%  |          < 0.1  |    1,329  |
|  CD.benchmark(int)                                                                                                                                                                             |  13,138   99%  |              9  |    1,322  |
|  CD.innerBenchmarkLoop(int)                                                                                                                                                                    |  13,138   99%  |              0  |    1,322  |
|  cd.CollisionDetector.handleNewFrame(Vector)                                                                                                                                                   |  12,870   97%  |          < 0.1  |    1,300  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                                          |  11,545   87%  |             28  |    1,170  |
|  cd.CollisionDetector.reduceCollisionSet(Vector)                                                                                                                                               |  10,915   82%  |              0  |    1,105  |
|  cd.CollisionDetector.lambda$reduceCollisionSet$4(RedBlackTree, Motion)                                                                                                                        |   9,911   75%  |             47  |    1,005  |
|  cd.CollisionDetector$$Lambda$16.0x00000008000cc000.apply(Object)                                                                                                                              |   9,901   74%  |             27  |    1,006  |
|  cd.CollisionDetector.drawMotionOnVoxelMap(RedBlackTree, Motion)                                                                                                                               |   9,864   74%  |             20  |    1,003  |
|  cd.CollisionDetector.recurse(RedBlackTree, RedBlackTree, Vector2D, Motion)                                                                                                                    |   9,843   74%  |          1,152  |    1,001  |
|  cd.RedBlackTree.put(Comparable, Object)                                                                                                                                                       |   4,374   33%  |            878  |      441  |
|  cd.CollisionDetector.putIntoMap(RedBlackTree, Vector2D, Motion)                                                                                                                               |   4,247   32%  |            110  |      430  |
|  cd.CollisionDetector.isInVoxel(Vector2D, Motion)                                                                                                                                              |   3,010   23%  |          3,010  |      311  |
|  cd.RedBlackTree.treeInsert(Comparable, Object)                                                                                                                                                |   2,693   20%  |          1,912  |      272  |
|  cd.RedBlackTree.get(Comparable)                                                                                                                                                               |   1,974   15%  |             16  |      198  |
|  cd.RedBlackTree.findNode(Comparable)                                                                                                                                                          |   1,957   15%  |            995  |      197  |
|  cd.Vector2D.compareTo(Object)                                                                                                                                                                 |   1,642   12%  |             91  |      165  |
|  cd.Vector2D.compareTo(Vector2D)                                                                                                                                                               |   1,551   12%  |            188  |      156  |
|  cd.Vector2D.compareNumbers(double, double)                                                                                                                                                    |   1,362   10%  |          1,362  |      138  |
|  cd.RedBlackTree.forEach(ForEachInterface)                                                                                                                                                     |   1,248    9%  |            385  |      125  |
|  cd.CollisionDetector.lambda$handleNewFrame$0(RedBlackTree, Vector, Aircraft)                                                                                                                  |   1,163    9%  |            128  |      116  |
|  cd.CollisionDetector$$Lambda$12.0x00000008000c6e88.apply(Object)                                                                                                                              |   1,163    9%  |              0  |      116  |
|  cd.RedBlackTree.leftRotate(RedBlackTree$Node)                                                                                                                                                 |     571    4%  |            571  |       59  |
|  cd.CollisionDetector.lambda$handleNewFrame$3(Vector, Vector)                                                                                                                                  |     451    3%  |             74  |       45  |
|  cd.CollisionDetector$$Lambda$21.0x00000008000cc450.apply(Object)                                                                                                                              |     451    3%  |              0  |       45  |
|  cd.RedBlackTree$Node.successor()                                                                                                                                                              |     439    3%  |            205  |       44  |
|  cd.Motion.findIntersection(Motion)                                                                                                                                                            |     336    3%  |             71  |       34  |
|  cd.RedBlackTree.rightRotate(RedBlackTree$Node)                                                                                                                                                |     270    2%  |            270  |       27  |
|  cd.Simulator.simulate(double)                                                                                                                                                                 |     258    2%  |            151  |       21  |
|  cd.Vector3D.minus(Vector3D)                                                                                                                                                                   |     255    2%  |            175  |       25  |
|  cd.RedBlackTree.treeMinimum(RedBlackTree$Node)                                                                                                                                                |     253    2%  |            253  |       25  |
|  cd.CollisionDetector.lambda$handleNewFrame$1(RedBlackTree, Vector, RedBlackTree$Entry)                                                                                                        |     241    2%  |              0  |       24  |
|  cd.CollisionDetector$$Lambda$13.0x00000008000c7d38.apply(Object)                                                                                                                              |     241    2%  |              0  |       24  |
|  cd.Motion.delta()                                                                                                                                                                             |     205    2%  |              9  |       20  |
|  cd.Vector2D.minus(Vector2D)                                                                                                                                                                   |     172    1%  |            142  |       18  |
|  cd.CollisionDetector.lambda$reduceCollisionSet$5(Vector, RedBlackTree$Entry)                                                                                                                  |     162    1%  |            142  |       17  |
|  cd.CollisionDetector$$Lambda$20.0x00000008000cc228.apply(Object)                                                                                                                              |     162    1%  |              0  |       17  |
|  cd.Vector2D.plus(Vector2D)                                                                                                                                                                    |     160    1%  |             90  |       16  |
|  cd.Vector3D.<init>(double, double, double)                                                                                                                                                    |     116    1%  |             96  |        9  |
|  som.Vector.append(Object)                                                                                                                                                                     |     114    1%  |            114  |       12  |
|  cd.Vector2D.<init>(double, double)                                                                                                                                                            |      99    1%  |             69  |       10  |
|  som.Vector.<init>()                                                                                                                                                                           |      99    1%  |              0  |       10  |
|  som.Vector.<init>(int)                                                                                                                                                                        |      99    1%  |             99  |       10  |
|  cd.CallSign.compareTo(Object)                                                                                                                                                                 |      80    1%  |              9  |        8  |
|  cd.CallSign.compareTo(CallSign)                                                                                                                                                               |      70    1%  |             70  |        7  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                                          |      60    0%  |              0  |        7  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                                          |      60    0%  |          < 0.1  |        7  |
|  Run.printResult(long)                                                                                                                                                                         |      56    0%  |              0  |        7  |
|  java.lang.Object.<init>() Object.java                                                                                                                                                         |      49    0%  |             49  |        5  |
|  com.sun.management.internal.GarbageCollectorExtImpl.getGcInfoBuilder() GarbageCollectorExtImpl.java                                                                                           |      39    0%  |             39  |        1  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object, Object, Object) Invokers$Holder                                                                                           |      38    0%  |             38  |        4  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                                                                |      37    0%  |              0  |        4  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                                                          |      37    0%  |              0  |        4  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                                                        |      37    0%  |          < 0.1  |        4  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                                                              |      37    0%  |              0  |        4  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                                                                  |      37    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                                                                     |      37    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                                                                 |      37    0%  |              0  |        4  |
|  sun.nio.cs.StreamEncoder.writeBytes() StreamEncoder.java                                                                                                                                      |      37    0%  |              0  |        4  |
|  som.Vector.at(int)                                                                                                                                                                            |      29    0%  |             29  |        3  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                                                |      28    0%  |              0  |        4  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                                             |      28    0%  |              0  |        4  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                                         |      28    0%  |              0  |        4  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                                             |      28    0%  |              0  |        4  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                                                       |      28    0%  |              0  |        4  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, int, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                                                             |      28    0%  |              0  |        5  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java                                                     |      28    0%  |              0  |        5  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, List) StringConcatFactory.java                                                                                          |      28    0%  |          < 0.1  |        4  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java                                             |      28    0%  |              0  |        4  |
|  java.lang.invoke.MethodHandles.argumentsWithCombiner(boolean, MethodHandle, int, MethodHandle, int[]) MethodHandles.java                                                                      |      28    0%  |              0  |        4  |
|  java.io.BufferedWriter.flushBuffer() BufferedWriter.java                                                                                                                                      |      23    0%  |              0  |        3  |
|  java.io.OutputStreamWriter.write(char[], int, int) OutputStreamWriter.java                                                                                                                    |      23    0%  |              0  |        3  |
|  sun.nio.cs.StreamEncoder.implWrite(char[], int, int) StreamEncoder.java                                                                                                                       |      23    0%  |              3  |        3  |
|  sun.nio.cs.StreamEncoder.write(char[], int, int) StreamEncoder.java                                                                                                                           |      23    0%  |              0  |        3  |
|  java.lang.invoke.LambdaFormEditor.foldArgumentsForm(int, boolean, MethodType, int[]) LambdaFormEditor.java                                                                                    |      20    0%  |              0  |        2  |
|  java.lang.invoke.LambdaFormEditor.makeArgumentCombinationForm(int, MethodType, int[], boolean, boolean) LambdaFormEditor.java                                                                 |      20    0%  |              0  |        2  |
|  java.lang.invoke.MethodHandles.foldArgumentsWithCombiner(MethodHandle, int, MethodHandle, int[]) MethodHandles.java                                                                           |      20    0%  |              0  |        3  |
|  cd.RedBlackTree$Node.<init>(Object, Object)                                                                                                                                                   |      19    0%  |             19  |        2  |
|  java.nio.CharBuffer.wrap(char[], int, int) CharBuffer.java                                                                                                                                    |      19    0%  |              9  |        2  |
|  com.yourkit.probes.builtin.Files.writeOnEnter(FileOutputStream, int) a                                                                                                                        |      19    0%  |              0  |        2  |
|  com.yourkit.probes.builtin.Files$FileOutputStream_write_arrayRange_Probe.onEnter(FileOutputStream, int) a                                                                                     |      19    0%  |              0  |        2  |
