Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  23,359   99%  |              0  |    2,351  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  23,344   99%  |              0  |    2,350  |
|  Run.measure(Benchmark)                                                                                                                                               |  23,344   99%  |              0  |    2,350  |
|  Run.runBenchmark()                                                                                                                                                   |  23,344   99%  |              0  |    2,350  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                    |  23,314   99%  |              0  |    2,347  |
|  Json.benchmark()                                                                                                                                                     |  23,314   99%  |          < 0.1  |    2,347  |
|  json.JsonPureStringParser.parse()                                                                                                                                    |  23,293   99%  |              0  |    2,346  |
|  json.JsonPureStringParser.readValue()                                                                                                                                |  23,293   99%  |            968  |    2,346  |
|  json.JsonPureStringParser.readObject()                                                                                                                               |  23,277   99%  |            109  |    2,345  |
|  json.JsonPureStringParser.readArray()                                                                                                                                |  23,247   99%  |            281  |    2,342  |
|  json.JsonPureStringParser.read()                                                                                                                                     |  13,201   56%  |          4,662  |    1,331  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                       |   9,307   40%  |            808  |      936  |
|  java.lang.String.substring(int, int) String.java                                                                                                                     |   7,544   32%  |          2,209  |      762  |
|  json.JsonPureStringParser.readString()                                                                                                                               |   6,180   26%  |            124  |      622  |
|  java.lang.String.equals(Object) String.java                                                                                                                          |   5,173   22%  |          5,173  |      522  |
|  java.lang.StringLatin1.newString(byte[], int, int) StringLatin1.java                                                                                                 |   4,488   19%  |          1,847  |      453  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                           |   4,232   18%  |            401  |      430  |
|  json.JsonPureStringParser.readNumber()                                                                                                                               |   3,853   16%  |            258  |      389  |
|  json.JsonPureStringParser.readName()                                                                                                                                 |   3,367   14%  |             29  |      338  |
|  json.JsonPureStringParser.readDigit()                                                                                                                                |   2,692   11%  |            316  |      271  |
|  json.JsonPureStringParser.skipWhiteSpace()                                                                                                                           |   2,683   11%  |             74  |      271  |
|  json.JsonPureStringParser.isWhiteSpace()                                                                                                                             |   2,608   11%  |            481  |      263  |
|  java.lang.String.<init>(byte[], byte) String.java                                                                                                                    |   1,545    7%  |          1,233  |      156  |
|  json.JsonPureStringParser.isDigit()                                                                                                                                  |   1,408    6%  |            454  |      141  |
|  json.JsonPureStringParser.readNull()                                                                                                                                 |   1,347    6%  |             29  |      136  |
|  java.util.Arrays.copyOfRange(byte[], int, int) Arrays.java                                                                                                           |   1,095    5%  |          1,095  |      111  |
|  json.JsonPureStringParser.readRequiredChar(String)                                                                                                                   |     914    4%  |              9  |       93  |
|  json.JsonArray.<init>()                                                                                                                                              |     741    3%  |            354  |       75  |
|  java.lang.String.length() String.java                                                                                                                                |     660    3%  |            524  |       66  |
|  som.Vector.<init>()                                                                                                                                                  |     391    2%  |            101  |       40  |
|  java.lang.Object.<init>() Object.java                                                                                                                                |     371    2%  |            371  |       38  |
|  java.lang.String.isLatin1() String.java                                                                                                                              |     316    1%  |            316  |       32  |
|  som.Vector.append(Object)                                                                                                                                            |     296    1%  |            286  |       30  |
|  som.Vector.<init>(int)                                                                                                                                               |     290    1%  |            270  |       29  |
|  json.JsonArray.add(JsonValue)                                                                                                                                        |     239    1%  |              0  |       24  |
|  json.JsonPureStringParser.endCapture()                                                                                                                               |     212    1%  |            109  |       21  |
|  json.JsonObject.add(String, JsonValue)                                                                                                                               |     164    1%  |             19  |       17  |
|  java.lang.String.coder() String.java                                                                                                                                 |     136    1%  |            136  |       14  |
|  java.lang.String.checkBoundsBeginEnd(int, int, int) String.java                                                                                                      |      89    0%  |             89  |        9  |
|  json.JsonPureStringParser.readTrue()                                                                                                                                 |      85    0%  |              0  |        9  |
|  json.JsonObject.<init>()                                                                                                                                             |      79    0%  |          < 0.1  |        8  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                          |      72    0%  |          < 0.1  |        4  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                             |      68    0%  |              0  |        8  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                    |      68    0%  |              0  |        8  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                            |      68    0%  |              0  |        8  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                      |      68    0%  |              0  |        8  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                         |      68    0%  |              0  |        8  |
|  json.JsonObject$HashIndexTable.add(String, int)                                                                                                                      |      67    0%  |             29  |        7  |
|  json.JsonValue.<init>()                                                                                                                                              |      66    0%  |             26  |        5  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java                                  |      59    0%  |              0  |        3  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java  |      59    0%  |              0  |        3  |
|  com.sun.management.internal.GcInfoCompositeData.toCompositeData(GcInfo) GcInfoCompositeData.java                                                                     |      59    0%  |              0  |        3  |
|  jdk.internal.loader.URLClassPath.getResource(String, boolean) URLClassPath.java                                                                                      |      53    0%  |              0  |        7  |
|  com.sun.management.internal.GcInfoCompositeData.getCompositeData() GcInfoCompositeData.java                                                                          |      51    0%  |              0  |        2  |
|  sun.management.MappedMXBeanType$CompositeDataMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java                                                                 |      51    0%  |              0  |        2  |
|  sun.management.MappedMXBeanType$MapMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java                                                                           |      51    0%  |              0  |        2  |
|  sun.management.MemoryUsageCompositeData.getCompositeData() MemoryUsageCompositeData.java                                                                             |      51    0%  |          < 0.1  |        2  |
|  sun.management.MemoryUsageCompositeData.toCompositeData(MemoryUsage) MemoryUsageCompositeData.java                                                                   |      51    0%  |              0  |        2  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                    |      39    0%  |              7  |        7  |
|  json.JsonObject$HashIndexTable.hashSlotFor(String)                                                                                                                   |      37    0%  |             19  |        4  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                     |      32    0%  |              0  |        6  |
|  java.security.AccessController.doPrivileged(PrivilegedExceptionAction, AccessControlContext) AccessController.java                                                   |      32    0%  |              0  |        6  |
|  java.security.AccessController.executePrivileged(PrivilegedExceptionAction, AccessControlContext, Class) AccessController.java                                       |      32    0%  |              0  |        6  |
|  jdk.internal.loader.URLClassPath.getLoader(int) URLClassPath.java                                                                                                    |      32    0%  |              0  |        6  |
|  jdk.internal.loader.URLClassPath.getLoader(URL) URLClassPath.java                                                                                                    |      32    0%  |              0  |        6  |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                                           |      32    0%  |              0  |        6  |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                                           |      32    0%  |              0  |        6  |
|  jdk.internal.loader.URLClassPath$JarLoader.<init>(URL, URLStreamHandler, HashMap, AccessControlContext) URLClassPath.java                                            |      32    0%  |              0  |        5  |
|  jdk.internal.loader.URLClassPath$JarLoader.ensureOpen() URLClassPath.java                                                                                            |      32    0%  |              0  |        5  |
|  jdk.internal.loader.URLClassPath$JarLoader.getJarFile(URL) URLClassPath.java                                                                                         |      32    0%  |              2  |        5  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                                 |      32    0%  |              0  |        5  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                                 |      32    0%  |              0  |        5  |
|  sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String) LauncherHelper.java                                                                               |      32    0%  |              0  |        6  |
|  sun.launcher.LauncherHelper.loadMainClass(int, String) LauncherHelper.java                                                                                           |      32    0%  |              0  |        6  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                                       |      29    0%  |              0  |        3  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                                 |      29    0%  |              0  |        3  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                               |      29    0%  |              9  |        3  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                                     |      29    0%  |              0  |        3  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                 |      29    0%  |              0  |        3  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                                         |      29    0%  |              0  |        3  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                 |      29    0%  |              0  |        3  |
|  Run.printResult(long)                                                                                                                                                |      29    0%  |              0  |        3  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                                            |      29    0%  |              0  |        3  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                                        |      29    0%  |              0  |        3  |
|  sun.nio.cs.StreamEncoder.writeBytes() StreamEncoder.java                                                                                                             |      29    0%  |              0  |        3  |
|  java.util.jar.JarFile.<init>(File, boolean, int, Runtime$Version) JarFile.java                                                                                       |      29    0%  |              0  |        4  |
|  java.util.zip.ZipFile.<init>(File, int) ZipFile.java                                                                                                                 |      29    0%  |              0  |        4  |
|  java.util.zip.ZipFile.<init>(File, int, Charset) ZipFile.java                                                                                                        |      29    0%  |              2  |        4  |
|  java.util.zip.ZipFile$CleanableResource.<init>(ZipFile, ZipCoder, File, int) ZipFile.java                                                                            |      27    0%  |              0  |        3  |
|  java.util.zip.ZipFile$Source.get(File, boolean, ZipCoder) ZipFile.java                                                                                               |      27    0%  |          < 0.1  |        3  |
|  java.lang.Long.valueOf(long) Long.java                                                                                                                               |      25    0%  |             25  |        1  |
|  java.util.TreeMap.keySet() TreeMap.java                                                                                                                              |      25    0%  |              0  |        1  |
|  java.util.TreeMap.navigableKeySet() TreeMap.java                                                                                                                     |      25    0%  |             25  |        1  |
|  javax.management.openmbean.CompositeDataSupport.<init>(SortedMap, CompositeType) CompositeDataSupport.java                                                           |      25    0%  |              0  |        1  |
|  javax.management.openmbean.CompositeDataSupport.<init>(CompositeType, String[], Object[]) CompositeDataSupport.java                                                  |      25    0%  |              0  |        1  |
|  java.lang.String.regionMatches(boolean, int, String, int, int) String.java                                                                                           |      21    0%  |              0  |        1  |
|  java.lang.StringLatin1.regionMatchesCI(byte[], int, byte[], int, int) StringLatin1.java                                                                              |      21    0%  |             21  |        1  |
|  java.net.URL.<init>(URL, String, URLStreamHandler) URL.java                                                                                                          |      21    0%  |              0  |        1  |
|  java.net.URL.<init>(URL, String) URL.java                                                                                                                            |      21    0%  |              0  |        1  |
|  jdk.internal.loader.URLClassPath$JarLoader.checkResource(String, boolean, JarEntry) URLClassPath.java                                                                |      21    0%  |              0  |        1  |
|  jdk.internal.loader.URLClassPath$JarLoader.getResource(String, boolean) URLClassPath.java                                                                            |      21    0%  |              0  |        1  |
