Method list (CPU)

+---------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                   Method                                                                    |   Time (ms)   |  Own Time (ms)  |  Samples  |
+---------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                     |  7,034   99%  |              0  |      707  |
|  Run.doRuns(Benchmark)                                                                                                                      |  7,034   99%  |              0  |      707  |
|  Run.measure(Benchmark)                                                                                                                     |  7,034   99%  |              0  |      707  |
|  Run.runBenchmark()                                                                                                                         |  7,034   99%  |              0  |      707  |
|  NBody.innerBenchmarkLoop(int)                                                                                                              |  7,015   99%  |              4  |      705  |
|  nbody.NBodySystem.advance(double)                                                                                                          |  7,010   99%  |          3,078  |      704  |
|  nbody.Body.setVX(double)                                                                                                                   |  1,987   28%  |          1,987  |      195  |
|  nbody.Body.setVZ(double)                                                                                                                   |    681   10%  |            681  |       68  |
|  nbody.Body.getZ()                                                                                                                          |    394    6%  |            394  |       38  |
|  nbody.Body.setVY(double)                                                                                                                   |    334    5%  |            334  |       33  |
|  nbody.Body.getY()                                                                                                                          |    188    3%  |            188  |       19  |
|  nbody.Body.setY(double)                                                                                                                    |     79    1%  |             79  |        9  |
|  nbody.Body.getMass()                                                                                                                       |     78    1%  |             78  |        8  |
|  nbody.Body.getX()                                                                                                                          |     56    1%  |             56  |        4  |
|  nbody.Body.setX(double)                                                                                                                    |     52    1%  |             52  |        6  |
|  nbody.Body.setZ(double)                                                                                                                    |     44    1%  |             44  |        5  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                           |     22    0%  |              0  |        2  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                          |     22    0%  |              0  |        2  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                   |     22    0%  |              0  |        2  |
|  java.security.AccessController.doPrivileged(PrivilegedExceptionAction, AccessControlContext) AccessController.java                         |     22    0%  |              0  |        2  |
|  java.security.AccessController.executePrivileged(PrivilegedExceptionAction, AccessControlContext, Class) AccessController.java             |     22    0%  |              0  |        2  |
|  java.util.jar.JarFile.checkForSpecialAttributes() JarFile.java                                                                             |     22    0%  |              0  |        1  |
|  java.util.jar.JarFile.getBytes(ZipEntry) JarFile.java                                                                                      |     22    0%  |              0  |        1  |
|  java.util.jar.JarFile.getEntry(String) JarFile.java                                                                                        |     22    0%  |              0  |        1  |
|  java.util.jar.JarFile.getJarEntry(String) JarFile.java                                                                                     |     22    0%  |              0  |        1  |
|  java.util.jar.JarFile.isMultiRelease() JarFile.java                                                                                        |     22    0%  |              0  |        1  |
|  java.util.zip.ZipFile.getInputStream(ZipEntry) ZipFile.java                                                                                |     22    0%  |              0  |        1  |
|  java.util.zip.ZipFile$CleanableResource.getInflater() ZipFile.java                                                                         |     22    0%  |             22  |        1  |
