Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                                                 Method                                                                                                                 |   Time (ms)   |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                                                |  6,198   99%  |              0  |      620  |
|  Run.runBenchmark()                                                                                                                                                                                                                    |  6,193   99%  |              0  |      619  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                                                 |  6,177   99%  |              0  |      617  |
|  Run.measure(Benchmark)                                                                                                                                                                                                                |  6,177   99%  |              0  |      617  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                                                                     |  6,158   99%  |              0  |      616  |
|  Queens.benchmark()                                                                                                                                                                                                                    |  6,158   99%  |              9  |      616  |
|  Queens.queens()                                                                                                                                                                                                                       |  6,148   98%  |             50  |      615  |
|  Queens.placeQueen(int)                                                                                                                                                                                                                |  6,048   97%  |            857  |      605  |
|  Queens.getRowColumn(int, int)                                                                                                                                                                                                         |  3,668   59%  |          3,668  |      370  |
|  Queens.setRowColumn(int, int, boolean)                                                                                                                                                                                                |  1,522   24%  |          1,522  |      150  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                                                              |     40    1%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                                                                     |     40    1%  |          < 0.1  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                                                                             |     40    1%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                                                                       |     40    1%  |              0  |        5  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                                                                          |     40    1%  |              0  |        5  |
|  java.util.Arrays.fill(boolean[], boolean) Arrays.java                                                                                                                                                                                 |     39    1%  |             39  |        4  |
