Method list (CPU)

+--------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                         Method                                                                         |   Time (ms)    |  Own Time (ms)  |  Samples  |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                |  23,418   99%  |          < 0.1  |    2,372  |
|  Run.runBenchmark()                                                                                                                                    |  23,406   99%  |          < 0.1  |    2,370  |
|  Run.doRuns(Benchmark)                                                                                                                                 |  23,392   99%  |              0  |    2,366  |
|  Run.measure(Benchmark)                                                                                                                                |  23,392   99%  |          < 0.1  |    2,366  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                     |  23,367   99%  |              9  |    2,363  |
|  Json.benchmark()                                                                                                                                      |  23,357   99%  |              9  |    2,362  |
|  json.JsonPureStringParser.parse()                                                                                                                     |  23,347   99%  |              0  |    2,361  |
|  json.JsonPureStringParser.readValue()                                                                                                                 |  23,347   99%  |            763  |    2,361  |
|  json.JsonPureStringParser.readObject()                                                                                                                |  23,327   99%  |             99  |    2,359  |
|  json.JsonPureStringParser.readArray()                                                                                                                 |  23,288   99%  |            312  |    2,356  |
|  json.JsonPureStringParser.read()                                                                                                                      |  13,599   58%  |          5,211  |    1,362  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                        |   9,593   41%  |            797  |      969  |
|  java.lang.String.substring(int, int) String.java                                                                                                      |   7,240   31%  |          2,357  |      723  |
|  json.JsonPureStringParser.readString()                                                                                                                |   6,579   28%  |            160  |      668  |
|  java.lang.String.equals(Object) String.java                                                                                                           |   5,369   23%  |          5,369  |      549  |
|  json.JsonPureStringParser.readChar(String)                                                                                                            |   3,981   17%  |            439  |      407  |
|  java.lang.StringLatin1.newString(byte[], int, int) StringLatin1.java                                                                                  |   3,823   16%  |          1,466  |      389  |
|  json.JsonPureStringParser.readNumber()                                                                                                                |   3,718   16%  |            358  |      373  |
|  json.JsonPureStringParser.readName()                                                                                                                  |   3,296   14%  |             20  |      331  |
|  json.JsonPureStringParser.skipWhiteSpace()                                                                                                            |   2,380   10%  |            171  |      245  |
|  json.JsonPureStringParser.readDigit()                                                                                                                 |   2,224    9%  |            196  |      222  |
|  json.JsonPureStringParser.isWhiteSpace()                                                                                                              |   2,208    9%  |            345  |      227  |
|  java.lang.String.<init>(byte[], byte) String.java                                                                                                     |   1,682    7%  |          1,510  |      171  |
|  json.JsonPureStringParser.readNull()                                                                                                                  |   1,169    5%  |             29  |      118  |
|  java.lang.String.length() String.java                                                                                                                 |     804    3%  |            610  |       82  |
|  json.JsonArray.<init>()                                                                                                                               |     755    3%  |            462  |       79  |
|  java.util.Arrays.copyOfRange(byte[], int, int) Arrays.java                                                                                            |     673    3%  |            673  |       68  |
|  json.JsonPureStringParser.readRequiredChar(String)                                                                                                    |     643    3%  |              0  |       66  |
|  json.JsonPureStringParser.isDigit()                                                                                                                   |     609    3%  |            142  |       62  |
|  java.lang.String.checkBoundsBeginEnd(int, int, int) String.java                                                                                       |     374    2%  |            374  |       35  |
|  som.Vector.<init>()                                                                                                                                   |     343    1%  |            119  |       35  |
|  som.Vector.append(Object)                                                                                                                             |     304    1%  |            294  |       32  |
|  json.JsonArray.add(JsonValue)                                                                                                                         |     264    1%  |              0  |       28  |
|  som.Vector.<init>(int)                                                                                                                                |     223    1%  |            213  |       23  |
|  java.lang.Object.<init>() Object.java                                                                                                                 |     217    1%  |            217  |       23  |
|  java.lang.String.isLatin1() String.java                                                                                                               |     194    1%  |            194  |       20  |
|  java.lang.String.coder() String.java                                                                                                                  |     194    1%  |            194  |       20  |
|  json.JsonPureStringParser.endCapture()                                                                                                                |     188    1%  |            127  |       20  |
|  json.JsonObject.add(String, JsonValue)                                                                                                                |     109    0%  |              9  |       12  |
|  json.JsonObject.<init>()                                                                                                                              |     105    0%  |              9  |       11  |
|  json.JsonObject$HashIndexTable.add(String, int)                                                                                                       |      59    0%  |              5  |        7  |
|  json.JsonObject$HashIndexTable.hashSlotFor(String)                                                                                                    |      53    0%  |             23  |        6  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                              |      46    0%  |              0  |        8  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                     |      46    0%  |              0  |        8  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                             |      46    0%  |              0  |        8  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                       |      46    0%  |              0  |        8  |
