Method list (CPU)

+--------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                         Method                                                                         |   Time (ms)   |  Own Time (ms)  |  Samples  |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                |  3,870   99%  |          < 0.1  |      391  |
|  Run.runBenchmark()                                                                                                                                    |  3,859   99%  |              0  |      390  |
|  DeltaBlue.innerBenchmarkLoop(int)                                                                                                                     |  3,852   99%  |              0  |      389  |
|  Run.doRuns(Benchmark)                                                                                                                                 |  3,852   99%  |              0  |      389  |
|  Run.measure(Benchmark)                                                                                                                                |  3,852   99%  |              0  |      389  |
|  deltablue.Planner.chainTest(int)                                                                                                                      |  2,073   53%  |          < 0.1  |      207  |
|  deltablue.Planner.projectionTest(int)                                                                                                                 |  1,779   45%  |          < 0.1  |      182  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                  |  1,715   44%  |            939  |      170  |
|  deltablue.AbstractConstraint.addConstraint(Planner)                                                                                                   |  1,615   41%  |          < 0.1  |      164  |
|  deltablue.Planner.change(Variable, int)                                                                                                               |  1,417   36%  |          < 0.1  |      144  |
|  deltablue.Planner.incrementalAdd(AbstractConstraint)                                                                                                  |  1,231   31%  |            126  |      125  |
|  deltablue.UnaryConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                     |  1,177   30%  |              0  |      121  |
|  deltablue.AbstractConstraint.satisfy(int, Planner)                                                                                                    |  1,104   28%  |            228  |      112  |
|  deltablue.Plan.execute()                                                                                                                              |    854   22%  |              0  |       80  |
|  deltablue.StayConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                      |    848   22%  |              0  |       88  |
|  deltablue.Planner.addPropagate(AbstractConstraint, int)                                                                                               |    761   19%  |            378  |       77  |
|  deltablue.AbstractConstraint.destroyConstraint(Planner)                                                                                               |    711   18%  |          < 0.1  |       75  |
|  deltablue.Planner.incrementalRemove(AbstractConstraint)                                                                                               |    646   17%  |          < 0.1  |       69  |
|  deltablue.EqualityConstraint.<init>(Variable, Variable, Strength$Sym, Planner)                                                                        |    592   15%  |              0  |       58  |
|  deltablue.Variable.addConstraint(AbstractConstraint)                                                                                                  |    518   13%  |            426  |       54  |
|  deltablue.Planner.removePropagateFrom(Variable)                                                                                                       |    485   12%  |             22  |       51  |
|  deltablue.UnaryConstraint.addToGraph()                                                                                                                |    466   12%  |              0  |       48  |
|  deltablue.Plan$$Lambda$22.0x00000008000ccd88.apply(Object)                                                                                            |    367    9%  |            220  |       34  |
|  deltablue.EditConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                      |    337    9%  |              8  |       34  |
|  deltablue.Planner.addConstraintsConsumingTo(Variable, Vector)                                                                                         |    314    8%  |              7  |       33  |
|  deltablue.BinaryConstraint.<init>(Variable, Variable, Strength$Sym, Planner)                                                                          |    276    7%  |             57  |       28  |
|  deltablue.Planner.constraintsConsuming(Variable, ForEachInterface)                                                                                    |    235    6%  |              0  |       24  |
|  deltablue.Planner.extractPlanFromConstraints(Vector)                                                                                                  |    219    6%  |              0  |       24  |
|  deltablue.Planner.makePlan(Vector)                                                                                                                    |    219    6%  |             19  |       24  |
|  deltablue.AbstractConstraint.<init>(Strength$Sym)                                                                                                     |    219    6%  |            199  |       22  |
|  som.Vector.append(Object)                                                                                                                             |    150    4%  |            150  |       16  |
|  deltablue.Plan.lambda$execute$0(AbstractConstraint)                                                                                                   |    146    4%  |             85  |       12  |
|  deltablue.Planner.lambda$incrementalRemove$0(AbstractConstraint)                                                                                      |    134    3%  |              0  |       15  |
|  deltablue.Planner$$Lambda$33.0x00000008000cdae0.apply(Object)                                                                                         |    134    3%  |              0  |       15  |
|  deltablue.Planner$$Lambda$30.0x00000008000cd620.apply(Object)                                                                                         |    132    3%  |              9  |       13  |
|  deltablue.ScaleConstraint.<init>(Variable, Variable, Variable, Variable, Strength$Sym, Planner)                                                       |    130    3%  |              7  |       14  |
|  deltablue.Variable.<init>()                                                                                                                           |    128    3%  |             80  |       13  |
|  deltablue.Planner.lambda$constraintsConsuming$3(AbstractConstraint, ForEachInterface, AbstractConstraint)                                             |    122    3%  |             43  |       12  |
|  som.Vector.<init>(int)                                                                                                                                |    117    3%  |            117  |       11  |
|  deltablue.Variable.value(int)                                                                                                                         |    100    3%  |              9  |       10  |
|  deltablue.UnaryConstraint.removeFromGraph()                                                                                                           |     91    2%  |              0  |        9  |
|  deltablue.Variable.removeConstraint(AbstractConstraint)                                                                                               |     91    2%  |              0  |        9  |
|  som.Vector.remove(Object)                                                                                                                             |     91    2%  |              0  |        9  |
|  deltablue.BinaryConstraint.chooseMethod(int)                                                                                                          |     83    2%  |             33  |        8  |
|  deltablue.BinaryConstraint.isSatisfied()                                                                                                              |     79    2%  |             79  |        8  |
|  deltablue.Planner.lambda$removePropagateFrom$5(Vector, AbstractConstraint)                                                                            |     78    2%  |              9  |        8  |
|  deltablue.Planner$$Lambda$29.0x00000008000cd3f8.apply(Object)                                                                                         |     78    2%  |              0  |        8  |
|  deltablue.AbstractConstraint.inputsKnown(int)                                                                                                         |     72    2%  |             56  |        8  |
|  deltablue.BinaryConstraint.getOutput()                                                                                                                |     72    2%  |             72  |        5  |
|  deltablue.Planner.lambda$addConstraintsConsumingTo$2(AbstractConstraint, Vector, AbstractConstraint)                                                  |     68    2%  |              9  |        7  |
|  deltablue.Planner$$Lambda$19.0x00000008000cc000.apply(Object)                                                                                         |     68    2%  |              0  |        7  |
|  deltablue.ScaleConstraint.execute()                                                                                                                   |     60    2%  |             60  |        5  |
|  deltablue.ScaleConstraint.recalculate()                                                                                                               |     59    2%  |             29  |        6  |
