Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                   Method                                                                                   |   Time (ms)    |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                    |  23,370   99%  |              0  |    2,370  |
|  Run.runBenchmark()                                                                                                                                                        |  23,370   99%  |          < 0.1  |    2,370  |
|  Run.doRuns(Benchmark)                                                                                                                                                     |  23,362   99%  |              0  |    2,369  |
|  Run.measure(Benchmark)                                                                                                                                                    |  23,362   99%  |          < 0.1  |    2,369  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                         |  23,282   99%  |              9  |    2,364  |
|  Json.benchmark()                                                                                                                                                          |  23,262   99%  |              0  |    2,362  |
|  json.JsonPureStringParser.parse()                                                                                                                                         |  23,262   99%  |          < 0.1  |    2,362  |
|  json.JsonPureStringParser.readObject()                                                                                                                                    |  23,257   99%  |             95  |    2,361  |
|  json.JsonPureStringParser.readValue()                                                                                                                                     |  23,257   99%  |            913  |    2,361  |
|  json.JsonPureStringParser.readArray()                                                                                                                                     |  23,227   99%  |            306  |    2,358  |
|  json.JsonPureStringParser.read()                                                                                                                                          |  13,459   57%  |          4,597  |    1,360  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                            |   8,990   38%  |            683  |      915  |
|  java.lang.String.substring(int, int) String.java                                                                                                                          |   7,558   32%  |          2,147  |      767  |
|  json.JsonPureStringParser.readString()                                                                                                                                    |   6,329   27%  |            201  |      645  |
|  java.lang.String.equals(Object) String.java                                                                                                                               |   5,189   22%  |          5,145  |      523  |
|  java.lang.StringLatin1.newString(byte[], int, int) StringLatin1.java                                                                                                      |   4,631   20%  |          1,735  |      469  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                                |   4,006   17%  |            306  |      406  |
|  json.JsonPureStringParser.readNumber()                                                                                                                                    |   3,923   17%  |            187  |      392  |
|  json.JsonPureStringParser.readName()                                                                                                                                      |   2,969   13%  |              9  |      302  |
|  json.JsonPureStringParser.skipWhiteSpace()                                                                                                                                |   2,806   12%  |            124  |      284  |
|  json.JsonPureStringParser.isWhiteSpace()                                                                                                                                  |   2,682   11%  |            649  |      270  |
|  json.JsonPureStringParser.readDigit()                                                                                                                                     |   2,669   11%  |            251  |      267  |
|  java.lang.String.<init>(byte[], byte) String.java                                                                                                                         |   1,583    7%  |          1,332  |      161  |
|  json.JsonPureStringParser.isDigit()                                                                                                                                       |   1,411    6%  |            468  |      142  |
|  java.util.Arrays.copyOfRange(byte[], int, int) Arrays.java                                                                                                                |   1,312    6%  |          1,312  |      134  |
|  json.JsonPureStringParser.readNull()                                                                                                                                      |   1,254    5%  |             10  |      129  |
|  json.JsonArray.<init>()                                                                                                                                                   |     760    3%  |            343  |       78  |
|  java.lang.String.length() String.java                                                                                                                                     |     750    3%  |            557  |       77  |
