Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                                                 Method                                                                                                                 |   Time (ms)   |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                                                |  7,086   99%  |              0  |      711  |
|  Run.runBenchmark()                                                                                                                                                                                                                    |  7,083   99%  |          < 0.1  |      710  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                                                 |  7,061   99%  |              0  |      708  |
|  Run.measure(Benchmark)                                                                                                                                                                                                                |  7,061   99%  |          < 0.1  |      708  |
|  NBody.innerBenchmarkLoop(int)                                                                                                                                                                                                         |  7,042   99%  |              9  |      706  |
|  nbody.NBodySystem.advance(double)                                                                                                                                                                                                     |  7,021   99%  |          3,214  |      704  |
|  nbody.Body.setVX(double)                                                                                                                                                                                                              |  1,884   26%  |          1,884  |      189  |
|  nbody.Body.setVZ(double)                                                                                                                                                                                                              |    683   10%  |            683  |       70  |
|  nbody.Body.setVY(double)                                                                                                                                                                                                              |    411    6%  |            411  |       42  |
|  nbody.Body.getZ()                                                                                                                                                                                                                     |    369    5%  |            369  |       37  |
|  nbody.Body.getY()                                                                                                                                                                                                                     |    180    3%  |            180  |       18  |
|  nbody.Body.setY(double)                                                                                                                                                                                                               |     78    1%  |             78  |        8  |
|  nbody.Body.setX(double)                                                                                                                                                                                                               |     69    1%  |             69  |        7  |
|  nbody.Body.getX()                                                                                                                                                                                                                     |     59    1%  |             59  |        6  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                                                              |     51    1%  |              0  |        7  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                                                                     |     51    1%  |          < 0.1  |        7  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                                                                             |     51    1%  |              0  |        7  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                                                                       |     51    1%  |              0  |        7  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                                                                          |     51    1%  |              0  |        7  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                                                                                      |     37    1%  |              0  |        5  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                                                                                     |     37    1%  |              0  |        5  |
|  sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String) LauncherHelper.java                                                                                                                                                |     37    1%  |              0  |        5  |
|  sun.launcher.LauncherHelper.loadMainClass(int, String) LauncherHelper.java                                                                                                                                                            |     37    1%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.defineClass(String, Resource) BuiltinClassLoader.java                                                                                                                                          |     32    0%  |              0  |        3  |
|  nbody.Body.setZ(double)                                                                                                                                                                                                               |     29    0%  |             29  |        3  |
|  java.security.SecureClassLoader.defineClass(String, byte[], int, int, CodeSource) SecureClassLoader.java                                                                                                                              |     22    0%  |              0  |        2  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                                                                                        |     21    0%  |              0  |        2  |
|  java.lang.invoke.BoundMethodHandle.<init>(MethodType, LambdaForm) BoundMethodHandle.java                                                                                                                                              |     21    0%  |              0  |        2  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                                                                                     |     21    0%  |              0  |        2  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                                                                                 |     21    0%  |              0  |        2  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                                                                                     |     21    0%  |              0  |        2  |
|  java.lang.invoke.InvokerBytecodeGenerator.addMethod() InvokerBytecodeGenerator.java                                                                                                                                                   |     21    0%  |              0  |        2  |
|  java.lang.invoke.InvokerBytecodeGenerator.emitImplicitConversion(LambdaForm$BasicType, Class, Object) InvokerBytecodeGenerator.java                                                                                                   |     21    0%  |              0  |        2  |
|  java.lang.invoke.InvokerBytecodeGenerator.emitPushArgument(Class, Object) InvokerBytecodeGenerator.java                                                                                                                               |     21    0%  |              0  |        2  |
|  java.lang.invoke.InvokerBytecodeGenerator.emitPushArguments(LambdaForm$Name, int) InvokerBytecodeGenerator.java                                                                                                                       |     21    0%  |              0  |        2  |
|  java.lang.invoke.InvokerBytecodeGenerator.emitReferenceCast(Class, Object) InvokerBytecodeGenerator.java                                                                                                                              |     21    0%  |             21  |        2  |
|  java.lang.invoke.InvokerBytecodeGenerator.emitStaticInvoke(MemberName, LambdaForm$Name) InvokerBytecodeGenerator.java                                                                                                                 |     21    0%  |              0  |        2  |
|  java.lang.invoke.InvokerBytecodeGenerator.generateCustomizedCode(LambdaForm, MethodType) InvokerBytecodeGenerator.java                                                                                                                |     21    0%  |              0  |        2  |
|  java.lang.invoke.InvokerBytecodeGenerator.generateCustomizedCodeBytes() InvokerBytecodeGenerator.java                                                                                                                                 |     21    0%  |              0  |        2  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                                                                                               |     21    0%  |              0  |        2  |
|  java.lang.invoke.LambdaForm.compileToBytecode() LambdaForm.java                                                                                                                                                                       |     21    0%  |              0  |        2  |
|  java.lang.invoke.LambdaForm.prepare() LambdaForm.java                                                                                                                                                                                 |     21    0%  |              0  |        2  |
