Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                                                 Method                                                                                                                 |   Time (ms)   |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                                                |  8,945   99%  |          < 0.1  |      908  |
|  Run.runBenchmark()                                                                                                                                                                                                                    |  8,933   99%  |              0  |      907  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                                                 |  8,924   99%  |              0  |      906  |
|  Run.measure(Benchmark)                                                                                                                                                                                                                |  8,924   99%  |              0  |      906  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                                                                     |  8,894   99%  |             13  |      903  |
|  Permute.benchmark()                                                                                                                                                                                                                   |  8,880   99%  |             49  |      901  |
|  Permute.permute(int)                                                                                                                                                                                                                  |  8,830   99%  |          5,166  |      896  |
|  Permute.swap(int, int)                                                                                                                                                                                                                |  3,664   41%  |          3,664  |      372  |
|  Run.printResult(long)                                                                                                                                                                                                                 |     30    0%  |              0  |        3  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                                                              |     26    0%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                                                                     |     26    0%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                                                                             |     26    0%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                                                                       |     26    0%  |              0  |        3  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                                                                          |     26    0%  |              0  |        3  |
|  com.yourkit.probes.builtin.Files.writeOnEnter(FileOutputStream, int) a                                                                                                                                                                |     19    0%  |              0  |        2  |
