Method list (CPU)

+---------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                      Method                                                                       |   Time (ms)    |  Own Time (ms)  |  Samples  |
+---------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                           |  27,377   99%  |              0  |    2,760  |
|  Run.doRuns(Benchmark)                                                                                                                            |  27,351   99%  |              0  |    2,759  |
|  Run.measure(Benchmark)                                                                                                                           |  27,351   99%  |              0  |    2,759  |
|  Run.runBenchmark()                                                                                                                               |  27,351   99%  |              0  |    2,759  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                |  27,321   99%  |          < 0.1  |    2,756  |
|  Richards.benchmark()                                                                                                                             |  27,211   99%  |          7,602  |    2,745  |
|  richards.Scheduler.start()                                                                                                                       |  19,090   70%  |              9  |    1,931  |
|  richards.Scheduler.schedule()                                                                                                                    |  18,679   68%  |            701  |    1,889  |
|  richards.TaskControlBlock.runTask()                                                                                                              |  17,169   63%  |         10,383  |    1,732  |
|  richards.Scheduler$$Lambda$15.0x00000008000c7978.apply(Packet, RBObject)                                                                         |   3,216   12%  |            893  |      325  |
|  richards.Scheduler.lambda$createHandler$1(Packet, RBObject)                                                                                      |   2,323    8%  |            209  |      235  |
|  richards.Scheduler$$Lambda$17.0x00000008000c7ba0.apply(Packet, RBObject)                                                                         |   2,250    8%  |          1,142  |      228  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                 |   1,567    6%  |            521  |      158  |
|  richards.RBObject.append(Packet, Packet)                                                                                                         |   1,165    4%  |            769  |      117  |
|  richards.Scheduler.lambda$createDevice$0(Packet, RBObject)                                                                                       |   1,107    4%  |            478  |      114  |
|  richards.Scheduler$$Lambda$12.0x00000008000c7528.apply(Packet, RBObject)                                                                         |     888    3%  |            250  |       87  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                      |     798    3%  |            798  |       83  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                           |     652    2%  |             66  |       67  |
|  richards.Scheduler.lambda$createIdler$2(Packet, RBObject)                                                                                        |     637    2%  |            189  |       62  |
|  richards.Scheduler.<init>()                                                                                                                      |     517    2%  |            517  |       52  |
|  richards.Scheduler$$Lambda$13.0x00000008000c7750.apply(Packet, RBObject)                                                                         |     480    2%  |            200  |       49  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                     |     424    2%  |            424  |       43  |
