Method list (CPU)

+---------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                      Method                                                                       |   Time (ms)   |  Own Time (ms)  |  Samples  |
+---------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                           |  3,793   99%  |              0  |      373  |
|  Run.runBenchmark()                                                                                                                               |  3,793   99%  |              0  |      373  |
|  Run.doRuns(Benchmark)                                                                                                                            |  3,757   99%  |              0  |      372  |
|  Run.measure(Benchmark)                                                                                                                           |  3,757   99%  |          < 0.1  |      372  |
|  DeltaBlue.innerBenchmarkLoop(int)                                                                                                                |  3,724   98%  |              0  |      368  |
|  som.Vector.forEach(ForEachInterface)                                                                                                             |  2,385   63%  |          1,518  |      235  |
|  deltablue.Planner.chainTest(int)                                                                                                                 |  2,080   55%  |          < 0.1  |      207  |
|  deltablue.Plan.execute()                                                                                                                         |  1,683   44%  |              0  |      166  |
|  deltablue.Planner.projectionTest(int)                                                                                                            |  1,644   43%  |             70  |      161  |
|  deltablue.Planner.change(Variable, int)                                                                                                          |  1,249   33%  |          < 0.1  |      122  |
|  deltablue.Planner.incrementalAdd(AbstractConstraint)                                                                                             |    845   22%  |             10  |       86  |
|  deltablue.AbstractConstraint.satisfy(int, Planner)                                                                                               |    834   22%  |            100  |       85  |
|  deltablue.AbstractConstraint.addConstraint(Planner)                                                                                              |    731   19%  |             22  |       75  |
|  deltablue.Planner.addPropagate(AbstractConstraint, int)                                                                                          |    674   18%  |            141  |       66  |
|  deltablue.AbstractConstraint.destroyConstraint(Planner)                                                                                          |    628   16%  |          < 0.1  |       63  |
|  deltablue.Planner.incrementalRemove(AbstractConstraint)                                                                                          |    607   16%  |          < 0.1  |       61  |
|  deltablue.UnaryConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                |    564   15%  |              9  |       56  |
|  deltablue.Plan$$Lambda$22.0x00000008000ccd88.apply(Object)                                                                                       |    499   13%  |            216  |       51  |
|  deltablue.Planner.removePropagateFrom(Variable)                                                                                                  |    410   11%  |          < 0.1  |       41  |
|  deltablue.EqualityConstraint.execute()                                                                                                           |    406   11%  |            378  |       39  |
|  deltablue.EditConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                 |    354    9%  |              0  |       33  |
|  deltablue.Plan.lambda$execute$0(AbstractConstraint)                                                                                              |    282    7%  |             54  |       29  |
|  deltablue.Planner.extractPlanFromConstraints(Vector)                                                                                             |    251    7%  |              0  |       22  |
|  deltablue.Planner.makePlan(Vector)                                                                                                               |    251    7%  |             20  |       22  |
|  deltablue.BinaryConstraint.recalculate()                                                                                                         |    251    7%  |          < 0.1  |       24  |
|  som.Vector.append(Object)                                                                                                                        |    246    6%  |            202  |       21  |
|  deltablue.Planner.constraintsConsuming(Variable, ForEachInterface)                                                                               |    239    6%  |              0  |       23  |
|  som.Vector.<init>(int)                                                                                                                           |    238    6%  |            238  |       26  |
|  deltablue.Variable.<init>()                                                                                                                      |    237    6%  |             38  |       25  |
|  deltablue.StayConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                 |    209    5%  |              0  |       23  |
|  som.Vector.with(Object)                                                                                                                          |    205    5%  |             39  |       21  |
|  deltablue.Planner.lambda$chainTest$7(int)                                                                                                        |    178    5%  |              0  |       19  |
|  deltablue.Planner$$Lambda$12.0x00000008000c66a0.apply(int)                                                                                       |    178    5%  |              0  |       19  |
|  java.util.Arrays.setAll(Object[], IntFunction) Arrays.java                                                                                       |    178    5%  |              0  |       19  |
|  deltablue.Planner.lambda$incrementalRemove$0(AbstractConstraint)                                                                                 |    165    4%  |              0  |       16  |
