Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                                            Method                                                                                                            |   Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                                      |  23,276   99%  |              0  |    2,345  |
|  Run.runBenchmark()                                                                                                                                                                                                          |  23,276   99%  |          < 0.1  |    2,345  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                                       |  23,237   99%  |              0  |    2,341  |
|  Run.measure(Benchmark)                                                                                                                                                                                                      |  23,237   99%  |          < 0.1  |    2,341  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                                                           |  23,227   99%  |              0  |    2,340  |
|  Json.benchmark()                                                                                                                                                                                                            |  23,227   99%  |          < 0.1  |    2,340  |
|  json.JsonPureStringParser.parse()                                                                                                                                                                                           |  23,214   99%  |          < 0.1  |    2,338  |
|  json.JsonPureStringParser.readObject()                                                                                                                                                                                      |  23,204   99%  |             72  |    2,337  |
|  json.JsonPureStringParser.readValue()                                                                                                                                                                                       |  23,204   99%  |            441  |    2,337  |
|  json.JsonPureStringParser.readArray()                                                                                                                                                                                       |  23,164   99%  |            338  |    2,333  |
|  json.JsonPureStringParser.read()                                                                                                                                                                                            |  13,467   58%  |          4,770  |    1,364  |
|  json.JsonPureStringParser.readStringInternal()                                                                                                                                                                              |   9,287   40%  |            984  |      939  |
|  java.lang.String.substring(int, int) String.java                                                                                                                                                                            |   7,443   32%  |          2,233  |      758  |
|  json.JsonPureStringParser.readString()                                                                                                                                                                                      |   6,425   28%  |            169  |      654  |
|  java.lang.String.equals(Object) String.java                                                                                                                                                                                 |   5,664   24%  |          5,664  |      566  |
|  java.lang.StringLatin1.newString(byte[], int, int) StringLatin1.java                                                                                                                                                        |   4,250   18%  |          1,614  |      433  |
|  json.JsonPureStringParser.readChar(String)                                                                                                                                                                                  |   4,122   18%  |            409  |      419  |
|  json.JsonPureStringParser.readNumber()                                                                                                                                                                                      |   3,987   17%  |            260  |      403  |
|  json.JsonPureStringParser.readName()                                                                                                                                                                                        |   3,111   13%  |              9  |      311  |
|  json.JsonPureStringParser.skipWhiteSpace()                                                                                                                                                                                  |   2,728   12%  |            204  |      276  |
|  json.JsonPureStringParser.isWhiteSpace()                                                                                                                                                                                    |   2,524   11%  |            463  |      256  |
|  json.JsonPureStringParser.readDigit()                                                                                                                                                                                       |   2,402   10%  |            127  |      242  |
|  java.lang.String.<init>(byte[], byte) String.java                                                                                                                                                                           |   1,832    8%  |          1,643  |      187  |
|  json.JsonPureStringParser.readNull()                                                                                                                                                                                        |   1,237    5%  |          < 0.1  |      122  |
|  java.lang.String.length() String.java                                                                                                                                                                                       |     884    4%  |            748  |       88  |
|  json.JsonPureStringParser.isDigit()                                                                                                                                                                                         |     881    4%  |            217  |       89  |
|  java.util.Arrays.copyOfRange(byte[], int, int) Arrays.java                                                                                                                                                                  |     793    3%  |            793  |       80  |
|  json.JsonArray.<init>()                                                                                                                                                                                                     |     738    3%  |            380  |       68  |
|  json.JsonPureStringParser.readRequiredChar(String)                                                                                                                                                                          |     734    3%  |              0  |       71  |
|  som.Vector.<init>()                                                                                                                                                                                                         |     321    1%  |            186  |       32  |
|  som.Vector.append(Object)                                                                                                                                                                                                   |     293    1%  |            283  |       30  |
|  json.JsonArray.add(JsonValue)                                                                                                                                                                                               |     234    1%  |              0  |       24  |
|  java.lang.String.checkBoundsBeginEnd(int, int, int) String.java                                                                                                                                                             |     219    1%  |            219  |       22  |
|  java.lang.Object.<init>() Object.java                                                                                                                                                                                       |     208    1%  |            208  |       21  |
|  java.lang.String.isLatin1() String.java                                                                                                                                                                                     |     188    1%  |            188  |       19  |
|  json.JsonObject.add(String, JsonValue)                                                                                                                                                                                      |     169    1%  |             49  |       17  |
|  json.JsonPureStringParser.endCapture()                                                                                                                                                                                      |     159    1%  |             89  |       16  |
