Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                                  Method                                                                                                  |   Time (ms)    |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                  |  11,475   99%  |          < 0.1  |    1,160  |
|  Run.runBenchmark()                                                                                                                                                                                      |  11,471   99%  |          < 0.1  |    1,158  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                   |  11,452   99%  |              0  |    1,156  |
|  Run.measure(Benchmark)                                                                                                                                                                                  |  11,452   99%  |          < 0.1  |    1,156  |
|  Mandelbrot.innerBenchmarkLoop(int)                                                                                                                                                                      |  11,434   99%  |              0  |    1,154  |
|  Mandelbrot.mandelbrot(int)                                                                                                                                                                              |  11,434   99%  |         11,434  |    1,154  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                                |      34    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                                       |      34    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                                               |      34    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                                         |      34    0%  |              0  |        6  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                                            |      34    0%  |              0  |        6  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                                                    |      32    0%  |              0  |        3  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                                                    |      32    0%  |              0  |        3  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                                                        |      30    0%  |              0  |        5  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                                                       |      30    0%  |              0  |        5  |
|  sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String) LauncherHelper.java                                                                                                                  |      30    0%  |              0  |        5  |
|  sun.launcher.LauncherHelper.loadMainClass(int, String) LauncherHelper.java                                                                                                                              |      30    0%  |              0  |        5  |
