Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  18,253   99%  |              0  |    1,821  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  18,253   99%  |              0  |    1,821  |
|  Run.measure(Benchmark)                                                                                                                                               |  18,253   99%  |              0  |    1,821  |
|  Run.runBenchmark()                                                                                                                                                   |  18,253   99%  |              0  |    1,821  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                    |  18,223   99%  |              0  |    1,818  |
|  Storage.benchmark()                                                                                                                                                  |  18,223   99%  |              9  |    1,818  |
|  java.util.Arrays.setAll(Object[], IntFunction) Arrays.java                                                                                                           |  18,204   99%  |          7,863  |    1,816  |
|  Storage.buildTreeDepth(int, Random)                                                                                                                                  |  18,204   99%  |          6,554  |    1,816  |
|  Storage.lambda$buildTreeDepth$0(int, Random, int)                                                                                                                    |  18,204   99%  |            737  |    1,816  |
|  Storage$$Lambda$12.0x00000008000c2aa0.apply(int)                                                                                                                     |  18,204   99%  |            108  |    1,816  |
|  som.Random.next()                                                                                                                                                    |   2,656   14%  |          2,656  |      266  |
|  java.lang.invoke.LambdaForm$DMH.0x00000008000c5400.newInvokeSpecial(Object, Object, int, Object) LambdaForm$DMH                                                      |     283    2%  |            210  |       26  |
|  java.lang.invoke.LambdaForm$MH.0x00000008000c5c00.linkToTargetMethod(Object, int, Object, Object) LambdaForm$MH                                                      |     283    2%  |              0  |       26  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                          |      75    0%  |              0  |        2  |
|  com.sun.management.GarbageCollectionNotificationInfo.<init>(CompositeData) GarbageCollectionNotificationInfo.java                                                    |      70    0%  |              0  |        1  |
|  com.sun.management.GarbageCollectionNotificationInfo.from(CompositeData) GarbageCollectionNotificationInfo.java                                                      |      70    0%  |              0  |        1  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.validateCompositeData(CompositeData) GarbageCollectionNotifInfoCompositeData.java                |      70    0%  |              0  |        1  |
|  com.yourkit.an.ar.invoke(Object, Object[]) a                                                                                                                         |      70    0%  |              0  |        1  |
