Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  28,275   99%  |              0  |    2,837  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  28,275   99%  |              0  |    2,837  |
|  Run.measure(Benchmark)                                                                                                                                               |  28,275   99%  |              0  |    2,837  |
|  Run.runBenchmark()                                                                                                                                                   |  28,275   99%  |              0  |    2,837  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                    |  28,256   99%  |          < 0.1  |    2,835  |
|  Richards.benchmark()                                                                                                                                                 |  28,186   99%  |          8,136  |    2,828  |
|  richards.Scheduler.start()                                                                                                                                           |  19,631   69%  |          < 0.1  |    1,973  |
|  richards.Scheduler.schedule()                                                                                                                                        |  19,042   67%  |            740  |    1,913  |
|  richards.TaskControlBlock.runTask()                                                                                                                                  |  17,366   61%  |         10,486  |    1,741  |
|  richards.Scheduler$$Lambda$14.0x00000008000c7970.apply(Packet, RBObject)                                                                                             |   3,404   12%  |            805  |      342  |
|  richards.Scheduler.lambda$createHandler$1(Packet, RBObject)                                                                                                          |   2,599    9%  |            269  |      262  |
|  richards.Scheduler$$Lambda$15.0x00000008000c7b98.apply(Packet, RBObject)                                                                                             |   2,047    7%  |          1,152  |      206  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                                     |   1,542    5%  |            510  |      156  |
|  richards.RBObject.append(Packet, Packet)                                                                                                                             |   1,261    4%  |            892  |      127  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                                          |     934    3%  |            934  |       97  |
|  richards.Scheduler.lambda$createDevice$0(Packet, RBObject)                                                                                                           |     894    3%  |            438  |       90  |
|  richards.Scheduler$$Lambda$12.0x00000008000c7520.apply(Packet, RBObject)                                                                                             |     889    3%  |            298  |       89  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                               |     799    3%  |             29  |       80  |
|  richards.Scheduler.lambda$createIdler$2(Packet, RBObject)                                                                                                            |     590    2%  |            220  |       59  |
|  richards.Scheduler$$Lambda$13.0x00000008000c7748.apply(Packet, RBObject)                                                                                             |     528    2%  |            240  |       54  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                                         |     528    2%  |            528  |       53  |
|  richards.Scheduler.<init>()                                                                                                                                          |     419    1%  |            419  |       41  |
|  richards.Packet.setLink(Packet)                                                                                                                                      |     389    1%  |            389  |       39  |
|  richards.Packet.<init>(Packet, int, int)                                                                                                                             |     382    1%  |            382  |       39  |
|  richards.Scheduler.createPacket(Packet, int, int)                                                                                                                    |     382    1%  |              0  |       39  |
|  richards.Scheduler.release(int)                                                                                                                                      |     330    1%  |             29  |       33  |
|  richards.Scheduler.findTask(int)                                                                                                                                     |     311    1%  |            311  |       31  |
|  richards.Scheduler.lambda$createWorker$3(Packet, RBObject)                                                                                                           |     288    1%  |            107  |       29  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                                   |     269    1%  |             39  |       27  |
|  richards.DeviceTaskDataRecord.getPending()                                                                                                                           |     155    1%  |            155  |       16  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                                     |     139    0%  |            139  |       14  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                                           |     130    0%  |            130  |       13  |
|  richards.TaskState.createWaitingWithPacket()                                                                                                                         |      79    0%  |             79  |        8  |
|  richards.TaskState.isWaitingWithPacket()                                                                                                                             |      79    0%  |             79  |        6  |
|  richards.TaskControlBlock.getPriority()                                                                                                                              |      68    0%  |             68  |        7  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object) Invokers$Holder                                                                                  |      65    0%  |             29  |        7  |
|  richards.Scheduler.createHandler(int, int, Packet, TaskState)                                                                                                        |      55    0%  |              0  |        6  |
|  richards.TaskState.<init>()                                                                                                                                          |      50    0%  |             29  |        5  |
|  richards.Scheduler.createIdler(int, int, Packet, TaskState)                                                                                                          |      49    0%  |              0  |        5  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                                          |      39    0%  |             39  |        4  |
|  richards.Scheduler.createTask(int, int, Packet, TaskState, ProcessFunction, RBObject)                                                                                |      39    0%  |              9  |        4  |
|  java.lang.invoke.DirectMethodHandle$Holder.newInvokeSpecial(Object, Object) DirectMethodHandle$Holder                                                                |      35    0%  |             35  |        4  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                     |      32    0%  |              0  |        4  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                    |      32    0%  |              0  |        4  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                             |      32    0%  |              0  |        4  |
|  java.security.AccessController.doPrivileged(PrivilegedExceptionAction, AccessControlContext) AccessController.java                                                   |      32    0%  |              0  |        4  |
|  java.security.AccessController.executePrivileged(PrivilegedExceptionAction, AccessControlContext, Class) AccessController.java                                       |      32    0%  |              0  |        4  |
|  java.util.jar.JarFile.<init>(File, boolean, int, Runtime$Version) JarFile.java                                                                                       |      32    0%  |              0  |        3  |
|  java.util.zip.ZipFile.<init>(File, int) ZipFile.java                                                                                                                 |      32    0%  |              0  |        3  |
|  java.util.zip.ZipFile.<init>(File, int, Charset) ZipFile.java                                                                                                        |      32    0%  |              0  |        3  |
