Method list (CPU)

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                        Method                                                                                        |   Time (ms)   |  Own Time (ms)  |  Samples  |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                              |  7,007   99%  |              0  |      708  |
|  Run.runBenchmark()                                                                                                                                                                  |  6,983   99%  |          < 0.1  |      707  |
|  Run.doRuns(Benchmark)                                                                                                                                                               |  6,978   99%  |              0  |      706  |
|  Run.measure(Benchmark)                                                                                                                                                              |  6,978   99%  |              0  |      706  |
|  NBody.innerBenchmarkLoop(int)                                                                                                                                                       |  6,952   99%  |             34  |      704  |
|  nbody.NBodySystem.advance(double)                                                                                                                                                   |  6,917   99%  |          3,051  |      700  |
|  nbody.Body.setVX(double)                                                                                                                                                            |  2,278   32%  |          2,278  |      229  |
|  nbody.Body.setVZ(double)                                                                                                                                                            |    556    8%  |            556  |       56  |
|  nbody.Body.getZ()                                                                                                                                                                   |    436    6%  |            436  |       45  |
|  nbody.Body.setVY(double)                                                                                                                                                            |    242    3%  |            242  |       26  |
|  nbody.Body.getX()                                                                                                                                                                   |     94    1%  |             94  |        9  |
|  nbody.Body.getY()                                                                                                                                                                   |     78    1%  |             78  |        7  |
|  nbody.Body.getVX()                                                                                                                                                                  |     66    1%  |             66  |        5  |
|  nbody.Body.setY(double)                                                                                                                                                             |     50    1%  |             50  |        5  |
|  nbody.Body.setZ(double)                                                                                                                                                             |     39    1%  |             39  |        4  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                            |     35    0%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                   |     35    0%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                           |     35    0%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                     |     35    0%  |              0  |        3  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                        |     35    0%  |              0  |        3  |
|  jdk.internal.loader.URLClassPath.getResource(String, boolean) URLClassPath.java                                                                                                     |     35    0%  |              0  |        3  |
|  Run.printResult(long)                                                                                                                                                               |     25    0%  |          < 0.1  |        2  |
|  Harness.processArguments(String[])                                                                                                                                                  |     24    0%  |              0  |        1  |
|  java.util.jar.JarFile.getEntry(String) JarFile.java                                                                                                                                 |     24    0%  |              0  |        1  |
|  java.util.jar.JarFile.getJarEntry(String) JarFile.java                                                                                                                              |     24    0%  |              0  |        1  |
