Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                             Method                                                                                             |   Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                        |  27,856  100%  |          < 0.1  |    2,818  |
|  Run.runBenchmark()                                                                                                                                                                            |  27,834   99%  |          < 0.1  |    2,817  |
|  Run.doRuns(Benchmark)                                                                                                                                                                         |  27,824   99%  |              0  |    2,814  |
|  Run.measure(Benchmark)                                                                                                                                                                        |  27,824   99%  |          < 0.1  |    2,814  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                             |  27,818   99%  |              0  |    2,813  |
|  Richards.benchmark()                                                                                                                                                                          |  27,813   99%  |          7,515  |    2,812  |
|  richards.Scheduler.start()                                                                                                                                                                    |  19,878   71%  |          < 0.1  |    2,018  |
|  richards.Scheduler.schedule()                                                                                                                                                                 |  19,308   69%  |            535  |    1,961  |
|  richards.TaskControlBlock.runTask()                                                                                                                                                           |  18,053   65%  |         10,800  |    1,827  |
|  richards.Scheduler$$Lambda$14.0x00000008000c7970.apply(Packet, RBObject)                                                                                                                      |   3,748   13%  |            930  |      379  |
|  richards.Scheduler.lambda$createHandler$1(Packet, RBObject)                                                                                                                                   |   2,817   10%  |             89  |      286  |
|  richards.Scheduler$$Lambda$15.0x00000008000c7b98.apply(Packet, RBObject)                                                                                                                      |   1,904    7%  |          1,187  |      194  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                                                              |   1,465    5%  |          1,395  |      148  |
|  richards.Scheduler$$Lambda$12.0x00000008000c7520.apply(Packet, RBObject)                                                                                                                      |     989    4%  |            339  |      101  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                                                        |     919    3%  |            108  |       94  |
|  richards.RBObject.append(Packet, Packet)                                                                                                                                                      |     897    3%  |            390  |       90  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                                                                   |     719    3%  |            719  |       76  |
|  richards.Scheduler.lambda$createDevice$0(Packet, RBObject)                                                                                                                                    |     717    3%  |            280  |       73  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                                                                  |     696    2%  |            359  |       71  |
|  richards.Scheduler.lambda$createIdler$2(Packet, RBObject)                                                                                                                                     |     650    2%  |            231  |       67  |
|  richards.Scheduler$$Lambda$13.0x00000008000c7748.apply(Packet, RBObject)                                                                                                                      |     640    2%  |            229  |       65  |
|  richards.Packet.setLink(Packet)                                                                                                                                                               |     536    2%  |            536  |       54  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                                                            |     529    2%  |             39  |       53  |
|  richards.Scheduler.lambda$createWorker$3(Packet, RBObject)                                                                                                                                    |     410    1%  |            233  |       42  |
