Method list (CPU)

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                                       Method                                                                                                       |   Time (ms)   |  Own Time (ms)  |  Samples  |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                            |  4,046   99%  |              0  |      389  |
|  Run.runBenchmark()                                                                                                                                                                                                |  4,046   99%  |              0  |      389  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                             |  4,003   98%  |              0  |      386  |
|  Run.measure(Benchmark)                                                                                                                                                                                            |  4,003   98%  |          < 0.1  |      386  |
|  DeltaBlue.innerBenchmarkLoop(int)                                                                                                                                                                                 |  3,952   97%  |          < 0.1  |      382  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                                                              |  2,418   59%  |          1,554  |      243  |
|  deltablue.Planner.chainTest(int)                                                                                                                                                                                  |  2,156   53%  |          < 0.1  |      209  |
|  deltablue.Planner.projectionTest(int)                                                                                                                                                                             |  1,796   44%  |             76  |      173  |
|  deltablue.Plan.execute()                                                                                                                                                                                          |  1,535   38%  |              4  |      156  |
|  deltablue.AbstractConstraint.satisfy(int, Planner)                                                                                                                                                                |  1,271   31%  |            321  |      117  |
|  deltablue.Planner.incrementalAdd(AbstractConstraint)                                                                                                                                                              |  1,271   31%  |              0  |      117  |
|  deltablue.Planner.change(Variable, int)                                                                                                                                                                           |  1,248   31%  |          < 0.1  |      124  |
|  deltablue.AbstractConstraint.addConstraint(Planner)                                                                                                                                                               |  1,193   29%  |              0  |      108  |
|  deltablue.Planner.addPropagate(AbstractConstraint, int)                                                                                                                                                           |    744   18%  |            191  |       76  |
|  deltablue.UnaryConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                                                                 |    731   18%  |              0  |       71  |
|  deltablue.AbstractConstraint.destroyConstraint(Planner)                                                                                                                                                           |    524   13%  |              0  |       53  |
|  deltablue.Planner.incrementalRemove(AbstractConstraint)                                                                                                                                                           |    474   12%  |          < 0.1  |       48  |
|  deltablue.EditConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                                                                  |    459   11%  |              0  |       43  |
|  deltablue.Planner.addConstraintsConsumingTo(Variable, Vector)                                                                                                                                                     |    416   10%  |              0  |       40  |
|  deltablue.Plan$$Lambda$32.0x00000008000ccd88.apply(Object)                                                                                                                                                        |    356    9%  |            132  |       35  |
|  deltablue.Planner.removePropagateFrom(Variable)                                                                                                                                                                   |    315    8%  |             12  |       31  |
|  deltablue.Planner.extractPlanFromConstraints(Vector)                                                                                                                                                              |    315    8%  |          < 0.1  |       32  |
|  deltablue.Planner.makePlan(Vector)                                                                                                                                                                                |    305    8%  |             29  |       31  |
|  som.Vector.<init>(int)                                                                                                                                                                                            |    298    7%  |            298  |       30  |
|  deltablue.ScaleConstraint.<init>(Variable, Variable, Variable, Variable, Strength$Sym, Planner)                                                                                                                   |    274    7%  |              9  |       27  |
|  deltablue.StayConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                                                                  |    272    7%  |              0  |       28  |
|  deltablue.EqualityConstraint.<init>(Variable, Variable, Strength$Sym, Planner)                                                                                                                                    |    255    6%  |              0  |       17  |
|  deltablue.Plan.lambda$execute$0(AbstractConstraint)                                                                                                                                                               |    223    5%  |             65  |       23  |
|  deltablue.Variable.<init>()                                                                                                                                                                                       |    189    5%  |             19  |       19  |
|  deltablue.Planner.lambda$chainTest$7(int)                                                                                                                                                                         |    189    5%  |              9  |       19  |
|  deltablue.Planner$$Lambda$12.0x00000008000c66a0.apply(int)                                                                                                                                                        |    189    5%  |              0  |       19  |
|  java.util.Arrays.setAll(Object[], IntFunction) Arrays.java                                                                                                                                                        |    189    5%  |              0  |       19  |
|  deltablue.Planner.constraintsConsuming(Variable, ForEachInterface)                                                                                                                                                |    162    4%  |              0  |       17  |
|  deltablue.Planner$$Lambda$19.0x00000008000cc000.apply(Object)                                                                                                                                                     |    159    4%  |             28  |       14  |
|  deltablue.BinaryConstraint.isSatisfied()                                                                                                                                                                          |    156    4%  |            156  |       14  |
|  deltablue.Planner.lambda$incrementalRemove$0(AbstractConstraint)                                                                                                                                                  |    138    3%  |              0  |       15  |
|  deltablue.Planner$$Lambda$50.0x00000008000cdae0.apply(Object)                                                                                                                                                     |    138    3%  |              0  |       15  |
|  deltablue.Planner.lambda$addConstraintsConsumingTo$2(AbstractConstraint, Vector, AbstractConstraint)                                                                                                              |    130    3%  |             39  |       13  |
|  deltablue.EqualityConstraint.execute()                                                                                                                                                                            |    119    3%  |            119  |       12  |
|  deltablue.ScaleConstraint.recalculate()                                                                                                                                                                           |    117    3%  |             24  |       12  |
|  deltablue.Planner$$Lambda$42.0x00000008000cd620.apply(Object)                                                                                                                                                     |    112    3%  |              9  |       12  |
|  deltablue.ScaleConstraint.execute()                                                                                                                                                                               |    108    3%  |             78  |       10  |
|  deltablue.Planner.lambda$constraintsConsuming$3(AbstractConstraint, ForEachInterface, AbstractConstraint)                                                                                                         |    102    3%  |             11  |       11  |
|  deltablue.BinaryConstraint.getOutput()                                                                                                                                                                            |     90    2%  |             90  |        9  |
|  deltablue.BinaryConstraint.inputsDo(ForEachInterface)                                                                                                                                                             |     86    2%  |             48  |        5  |
|  deltablue.Planner.lambda$removePropagateFrom$5(Vector, AbstractConstraint)                                                                                                                                        |     80    2%  |              5  |        9  |
|  deltablue.Planner$$Lambda$41.0x00000008000cd3f8.apply(Object)                                                                                                                                                     |     80    2%  |              0  |        9  |
|  som.Vector.with(Object)                                                                                                                                                                                           |     78    2%  |              0  |        8  |
|  deltablue.BinaryConstraint.chooseMethod(int)                                                                                                                                                                      |     77    2%  |             67  |        7  |
|  deltablue.AbstractConstraint.inputsKnown(int)                                                                                                                                                                     |     72    2%  |             53  |        8  |
|  deltablue.UnaryConstraint.removeFromGraph()                                                                                                                                                                       |     70    2%  |          < 0.1  |        7  |
|  deltablue.Planner.lambda$removePropagateFrom$4(Vector, AbstractConstraint)                                                                                                                                        |     66    2%  |             10  |        5  |
|  deltablue.Planner$$Lambda$40.0x00000008000cd1d0.apply(Object)                                                                                                                                                     |     66    2%  |              0  |        5  |
|  som.Vector.append(Object)                                                                                                                                                                                         |     64    2%  |             44  |        7  |
|  deltablue.BinaryConstraint.recalculate()                                                                                                                                                                          |     63    2%  |             33  |        7  |
|  deltablue.Variable.removeConstraint(AbstractConstraint)                                                                                                                                                           |     60    1%  |              0  |        6  |
|  som.Vector.remove(Object)                                                                                                                                                                                         |     60    1%  |              0  |        6  |
|  deltablue.AbstractConstraint.<init>(Strength$Sym)                                                                                                                                                                 |     58    1%  |              9  |        6  |
|  deltablue.ScaleConstraint.addToGraph()                                                                                                                                                                            |     55    1%  |             15  |        5  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                                                              |     50    1%  |              0  |        4  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                                                              |     50    1%  |              0  |        4  |
|  Run.printResult(long)                                                                                                                                                                                             |     50    1%  |              0  |        4  |
|  som.Vector.<init>()                                                                                                                                                                                               |     49    1%  |              0  |        5  |
|  deltablue.Strength.weaker(Strength)                                                                                                                                                                               |     49    1%  |             29  |        5  |
|  deltablue.Strength.of(Strength$Sym)                                                                                                                                                                               |     48    1%  |              0  |        5  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                                                                          |     48    1%  |             38  |        5  |
|  deltablue.Variable.addConstraint(AbstractConstraint)                                                                                                                                                              |     44    1%  |              0  |        5  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                                                                    |     43    1%  |              0  |        3  |
|  java.lang.invoke.BoundMethodHandle.<init>(MethodType, LambdaForm) BoundMethodHandle.java                                                                                                                          |     43    1%  |              0  |        3  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                                                                 |     43    1%  |              0  |        3  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                                                             |     43    1%  |              0  |        3  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                                                                 |     43    1%  |              0  |        3  |
|  java.lang.invoke.InvokerBytecodeGenerator.generateCustomizedCode(LambdaForm, MethodType) InvokerBytecodeGenerator.java                                                                                            |     43    1%  |              0  |        3  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                                                                           |     43    1%  |              0  |        3  |
|  java.lang.invoke.LambdaForm.compileToBytecode() LambdaForm.java                                                                                                                                                   |     43    1%  |              0  |        3  |
|  java.lang.invoke.LambdaForm.prepare() LambdaForm.java                                                                                                                                                             |     43    1%  |              0  |        3  |
|  java.lang.invoke.MethodHandle.<init>(MethodType, LambdaForm) MethodHandle.java                                                                                                                                    |     43    1%  |              0  |        3  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, int, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                                                                                 |     43    1%  |              0  |        3  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java                                                                         |     43    1%  |              0  |        3  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, List) StringConcatFactory.java                                                                                                              |     43    1%  |              0  |        3  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java                                                                 |     43    1%  |              0  |        3  |
|  som.Vector$$Lambda$39.0x00000008000ccfa8.apply(Object)                                                                                                                                                            |     40    1%  |             40  |        4  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                                                                                  |     40    1%  |              0  |        3  |
