Method list (CPU)

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                        Method                                                                                        |   Time (ms)   |  Own Time (ms)  |  Samples  |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                              |  6,206   99%  |              0  |      626  |
|  Run.runBenchmark()                                                                                                                                                                  |  6,188   99%  |          < 0.1  |      625  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                   |  6,180   99%  |              9  |      624  |
|  Run.doRuns(Benchmark)                                                                                                                                                               |  6,180   99%  |              0  |      624  |
|  Run.measure(Benchmark)                                                                                                                                                              |  6,180   99%  |              0  |      624  |
|  Queens.benchmark()                                                                                                                                                                  |  6,170   99%  |              0  |      623  |
|  Queens.queens()                                                                                                                                                                     |  6,170   99%  |             70  |      623  |
|  Queens.placeQueen(int)                                                                                                                                                              |  6,059   97%  |            851  |      612  |
|  Queens.getRowColumn(int, int)                                                                                                                                                       |  3,809   61%  |          3,809  |      383  |
|  Queens.setRowColumn(int, int, boolean)                                                                                                                                              |  1,398   22%  |          1,398  |      141  |
|  java.util.Arrays.fill(boolean[], boolean) Arrays.java                                                                                                                               |     39    1%  |             39  |        4  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                            |     31    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                   |     31    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                           |     31    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                     |     31    0%  |              0  |        5  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                        |     31    0%  |              0  |        5  |
|  jdk.internal.loader.URLClassPath.getLoader(int) URLClassPath.java                                                                                                                   |     31    0%  |              0  |        5  |
|  jdk.internal.loader.URLClassPath.getResource(String, boolean) URLClassPath.java                                                                                                     |     31    0%  |              0  |        5  |
|  Harness.processArguments(String[])                                                                                                                                                  |     17    0%  |              0  |        1  |
|  java.util.ArrayList.get(int) ArrayList.java                                                                                                                                         |     17    0%  |              0  |        1  |
|  java.util.Objects.checkIndex(int, int) Objects.java                                                                                                                                 |     17    0%  |             17  |        1  |
