Method list (CPU)

+---------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                         Method                                                                          |   Time (ms)    |  Own Time (ms)  |  Samples  |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                 |  27,034   99%  |          < 0.1  |    2,720  |
|  Run.doRuns(Benchmark)                                                                                                                                  |  27,019   99%  |              0  |    2,719  |
|  Run.measure(Benchmark)                                                                                                                                 |  27,019   99%  |              0  |    2,719  |
|  Run.runBenchmark()                                                                                                                                     |  27,019   99%  |              0  |    2,719  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                      |  26,999   99%  |              9  |    2,717  |
|  Richards.benchmark()                                                                                                                                   |  26,899   99%  |          7,331  |    2,707  |
|  richards.Scheduler.start()                                                                                                                             |  19,201   71%  |          < 0.1  |    1,938  |
|  richards.Scheduler.schedule()                                                                                                                          |  18,755   69%  |            667  |    1,893  |
|  richards.TaskControlBlock.runTask()                                                                                                                    |  17,255   64%  |         10,862  |    1,744  |
|  richards.Scheduler$$Lambda$14.0x00000008000c7970.apply(Packet, RBObject)                                                                               |   3,220   12%  |            824  |      326  |
|  richards.Scheduler.lambda$createHandler$1(Packet, RBObject)                                                                                            |   2,396    9%  |            314  |      242  |
|  richards.Scheduler$$Lambda$15.0x00000008000c7b98.apply(Packet, RBObject)                                                                               |   1,978    7%  |          1,026  |      200  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                       |   1,588    6%  |            596  |      159  |
|  richards.RBObject.append(Packet, Packet)                                                                                                               |   1,071    4%  |            795  |      108  |
|  richards.Scheduler.lambda$createDevice$0(Packet, RBObject)                                                                                             |     952    4%  |            425  |       96  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                            |     832    3%  |            832  |       83  |
|  richards.Scheduler$$Lambda$12.0x00000008000c7520.apply(Packet, RBObject)                                                                               |     828    3%  |            259  |       85  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                 |     622    2%  |             39  |       63  |
|  richards.Scheduler.lambda$createIdler$2(Packet, RBObject)                                                                                              |     568    2%  |            162  |       59  |
|  richards.Scheduler$$Lambda$13.0x00000008000c7748.apply(Packet, RBObject)                                                                               |     435    2%  |            148  |       45  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                           |     394    1%  |            394  |       40  |
|  richards.Scheduler.release(int)                                                                                                                        |     366    1%  |          < 0.1  |       38  |
|  richards.Scheduler.<init>()                                                                                                                            |     347    1%  |            347  |       35  |
|  richards.Scheduler.findTask(int)                                                                                                                       |     345    1%  |            345  |       35  |
|  richards.Packet.<init>(Packet, int, int)                                                                                                               |     310    1%  |            310  |       31  |
|  richards.Scheduler.createPacket(Packet, int, int)                                                                                                      |     310    1%  |              0  |       31  |
|  richards.Packet.setLink(Packet)                                                                                                                        |     305    1%  |            305  |       31  |
|  richards.Scheduler.lambda$createWorker$3(Packet, RBObject)                                                                                             |     286    1%  |            166  |       30  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                     |     189    1%  |            109  |       19  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                             |     169    1%  |            169  |       17  |
|  richards.DeviceTaskDataRecord.getPending()                                                                                                             |     149    1%  |            149  |       15  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                       |     138    1%  |            138  |       14  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                               |      53    0%  |              0  |        4  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                      |      53    0%  |              0  |        4  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                              |      53    0%  |              0  |        4  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                        |      53    0%  |              0  |        4  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                           |      53    0%  |              0  |        4  |
