Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                                            Method                                                                                                            |   Time (ms)   |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                                      |  5,107   99%  |              0  |      511  |
|  Run.runBenchmark()                                                                                                                                                                                                          |  5,107   99%  |              0  |      511  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                                       |  5,092   99%  |              0  |      509  |
|  Run.measure(Benchmark)                                                                                                                                                                                                      |  5,092   99%  |          < 0.1  |      509  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                                                           |  5,082   99%  |              0  |      508  |
|  Bounce.benchmark()                                                                                                                                                                                                          |  5,082   99%  |          3,414  |      508  |
|  Bounce$Ball.bounce()                                                                                                                                                                                                        |  1,572   31%  |          1,572  |      158  |
|  java.util.Arrays.setAll(Object[], IntFunction) Arrays.java                                                                                                                                                                  |     95    2%  |              9  |        7  |
|  Bounce.lambda$benchmark$0(Random, int)                                                                                                                                                                                      |     85    2%  |             10  |        6  |
|  Bounce$$Lambda$8.0x00000008000c6000.apply(int)                                                                                                                                                                              |     85    2%  |              0  |        6  |
|  Bounce$Ball.<init>(Random)                                                                                                                                                                                                  |     75    1%  |             55  |        5  |
|  som.Random.next()                                                                                                                                                                                                           |     19    0%  |             19  |        2  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                                                                            |     18    0%  |              0  |        5  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                                                                           |     18    0%  |              0  |        5  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                                                    |     18    0%  |              0  |        5  |
|  java.security.AccessController.doPrivileged(PrivilegedExceptionAction, AccessControlContext) AccessController.java                                                                                                          |     18    0%  |              0  |        5  |
|  java.security.AccessController.executePrivileged(PrivilegedExceptionAction, AccessControlContext, Class) AccessController.java                                                                                              |     18    0%  |              0  |        5  |
|  java.util.jar.JarFile.<init>(File, boolean, int, Runtime$Version) JarFile.java                                                                                                                                              |     18    0%  |              0  |        4  |
|  java.util.zip.ZipFile.<init>(File, int) ZipFile.java                                                                                                                                                                        |     18    0%  |              0  |        4  |
|  java.util.zip.ZipFile.<init>(File, int, Charset) ZipFile.java                                                                                                                                                               |     18    0%  |              0  |        4  |
|  java.util.zip.ZipFile$CleanableResource.<init>(ZipFile, ZipCoder, File, int) ZipFile.java                                                                                                                                   |     18    0%  |              0  |        4  |
|  java.util.zip.ZipFile$Source.get(File, boolean, ZipCoder) ZipFile.java                                                                                                                                                      |     18    0%  |              5  |        4  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                                                           |     18    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                                                                   |     18    0%  |              0  |        5  |
