Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                              Method                                                                              |   Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                          |  26,784   99%  |              0  |    2,695  |
|  Run.runBenchmark()                                                                                                                                              |  26,771   99%  |          < 0.1  |    2,694  |
|  Run.doRuns(Benchmark)                                                                                                                                           |  26,764   99%  |              0  |    2,693  |
|  Run.measure(Benchmark)                                                                                                                                          |  26,764   99%  |          < 0.1  |    2,693  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                               |  26,751   99%  |              0  |    2,691  |
|  Richards.benchmark()                                                                                                                                            |  26,660   99%  |          7,357  |    2,682  |
|  richards.Scheduler.start()                                                                                                                                      |  18,908   71%  |          < 0.1  |    1,903  |
|  richards.Scheduler.schedule()                                                                                                                                   |  18,461   69%  |            519  |    1,858  |
|  richards.TaskControlBlock.runTask()                                                                                                                             |  16,991   63%  |         10,731  |    1,704  |
|  richards.Scheduler$$Lambda$14.0x00000008000c7970.apply(Packet, RBObject)                                                                                        |   3,067   11%  |            853  |      308  |
|  richards.Scheduler.lambda$createHandler$1(Packet, RBObject)                                                                                                     |   2,213    8%  |            334  |      222  |
|  richards.Scheduler$$Lambda$15.0x00000008000c7b98.apply(Packet, RBObject)                                                                                        |   1,901    7%  |            929  |      190  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                                |   1,283    5%  |            459  |      129  |
|  richards.Scheduler.lambda$createDevice$0(Packet, RBObject)                                                                                                      |     972    4%  |            419  |       97  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                                     |     949    4%  |            949  |       98  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                          |     882    3%  |             69  |       88  |
|  richards.Scheduler$$Lambda$12.0x00000008000c7520.apply(Packet, RBObject)                                                                                        |     868    3%  |            254  |       88  |
|  richards.RBObject.append(Packet, Packet)                                                                                                                        |     866    3%  |            638  |       88  |
|  richards.Scheduler.lambda$createIdler$2(Packet, RBObject)                                                                                                       |     613    2%  |            180  |       62  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                                    |     543    2%  |            539  |       54  |
|  richards.Scheduler$$Lambda$13.0x00000008000c7748.apply(Packet, RBObject)                                                                                        |     496    2%  |            189  |       49  |
|  richards.Scheduler.release(int)                                                                                                                                 |     389    1%  |              9  |       39  |
|  richards.Scheduler.<init>()                                                                                                                                     |     384    1%  |            384  |       39  |
|  richards.Scheduler.findTask(int)                                                                                                                                |     359    1%  |            359  |       36  |
|  richards.Scheduler.lambda$createWorker$3(Packet, RBObject)                                                                                                      |     307    1%  |            167  |       30  |
|  richards.Packet.<init>(Packet, int, int)                                                                                                                        |     269    1%  |            269  |       27  |
|  richards.Scheduler.createPacket(Packet, int, int)                                                                                                               |     269    1%  |              0  |       27  |
|  richards.Packet.setLink(Packet)                                                                                                                                 |     268    1%  |            268  |       27  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                                      |     219    1%  |            219  |       22  |
|  richards.DeviceTaskDataRecord.getPending()                                                                                                                      |     187    1%  |            187  |       19  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                                |     102    0%  |            102  |       10  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                              |      68    0%  |             29  |        7  |
|  richards.TaskState.createWaitingWithPacket()                                                                                                                    |      59    0%  |             59  |        6  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                        |      52    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                               |      52    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                       |      52    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                 |      52    0%  |              0  |        6  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                    |      52    0%  |              0  |        6  |
|  richards.Scheduler.createIdler(int, int, Packet, TaskState)                                                                                                     |      49    0%  |              0  |        5  |
|  richards.Scheduler.createTask(int, int, Packet, TaskState, ProcessFunction, RBObject)                                                                           |      49    0%  |             39  |        5  |
|  java.lang.invoke.Invokers$Holder.linkToTargetMethod(Object, Object) Invokers$Holder                                                                             |      38    0%  |             38  |        4  |
|  richards.Scheduler.createHandler(int, int, Packet, TaskState)                                                                                                   |      38    0%  |              0  |        4  |
|  richards.TaskState.<init>()                                                                                                                                     |      38    0%  |              9  |        4  |
|  richards.HandlerTaskDataRecord.workIn(Packet)                                                                                                                   |      37    0%  |             37  |        4  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                                     |      33    0%  |             33  |        4  |
|  richards.TaskControlBlock.getPriority()                                                                                                                         |      29    0%  |             29  |        3  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                |      29    0%  |              0  |        4  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                               |      29    0%  |              0  |        4  |
|  java.security.AccessController.doPrivileged(PrivilegedExceptionAction, AccessControlContext) AccessController.java                                              |      29    0%  |              0  |        4  |
|  java.security.AccessController.executePrivileged(PrivilegedExceptionAction, AccessControlContext, Class) AccessController.java                                  |      29    0%  |              0  |        4  |
|  java.util.jar.JarFile.<init>(File, boolean, int, Runtime$Version) JarFile.java                                                                                  |      29    0%  |              0  |        3  |
|  java.util.zip.ZipFile.<init>(File, int) ZipFile.java                                                                                                            |      29    0%  |              0  |        3  |
|  java.util.zip.ZipFile.<init>(File, int, Charset) ZipFile.java                                                                                                   |      29    0%  |          < 0.1  |        3  |
|  jdk.internal.loader.URLClassPath.getLoader(int) URLClassPath.java                                                                                               |      29    0%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath.getLoader(URL) URLClassPath.java                                                                                               |      29    0%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath.getResource(String, boolean) URLClassPath.java                                                                                 |      29    0%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                                      |      29    0%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath$3.run() URLClassPath.java                                                                                                      |      29    0%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath$JarLoader.<init>(URL, URLStreamHandler, HashMap, AccessControlContext) URLClassPath.java                                       |      29    0%  |              0  |        3  |
|  jdk.internal.loader.URLClassPath$JarLoader.ensureOpen() URLClassPath.java                                                                                       |      29    0%  |              0  |        3  |
|  jdk.internal.loader.URLClassPath$JarLoader.getJarFile(URL) URLClassPath.java                                                                                    |      29    0%  |              0  |        3  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                            |      29    0%  |              0  |        3  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.run() URLClassPath.java                                                                                            |      29    0%  |              0  |        3  |
|  sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String) LauncherHelper.java                                                                          |      29    0%  |              0  |        4  |
|  sun.launcher.LauncherHelper.loadMainClass(int, String) LauncherHelper.java                                                                                      |      29    0%  |              0  |        4  |
|  richards.RBObject.<init>()                                                                                                                                      |      28    0%  |             28  |        3  |
|  richards.TaskState.createRunning()                                                                                                                              |      28    0%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.defineClass(String, Resource) BuiltinClassLoader.java                                                                    |      22    0%  |              0  |        2  |
|  java.util.zip.ZipFile$CleanableResource.<init>(ZipFile, ZipCoder, File, int) ZipFile.java                                                                       |      22    0%  |              0  |        2  |
|  java.util.zip.ZipFile$Source.get(File, boolean, ZipCoder) ZipFile.java                                                                                          |      22    0%  |              0  |        2  |
|  java.io.File.toPath() File.java                                                                                                                                 |      15    0%  |              0  |        1  |
|  java.net.URI.<init>(String) URI.java                                                                                                                            |      15    0%  |             15  |        1  |
|  java.net.URI.create(String) URI.java                                                                                                                            |      15    0%  |              0  |        1  |
