Method list (CPU)

+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                Method                                                                                 |   Time (ms)    |  Own Time (ms)  |  Samples  |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                               |  13,096   99%  |              0  |    1,326  |
|  Run.runBenchmark()                                                                                                                                                   |  13,096   99%  |          < 0.1  |    1,326  |
|  Run.doRuns(Benchmark)                                                                                                                                                |  13,061   99%  |              0  |    1,323  |
|  Run.measure(Benchmark)                                                                                                                                               |  13,061   99%  |          < 0.1  |    1,323  |
|  CD.benchmark(int)                                                                                                                                                    |  13,033   99%  |              0  |    1,320  |
|  CD.innerBenchmarkLoop(int)                                                                                                                                           |  13,033   99%  |              0  |    1,320  |
|  cd.CollisionDetector.handleNewFrame(Vector)                                                                                                                          |  12,806   97%  |              9  |    1,298  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                 |  11,208   85%  |              1  |    1,132  |
|  cd.CollisionDetector.reduceCollisionSet(Vector)                                                                                                                      |  10,465   80%  |          < 0.1  |    1,058  |
|  cd.CollisionDetector$$Lambda$15.0x00000008000cc000.apply(Object)                                                                                                     |   9,408   72%  |              4  |      947  |
|  cd.CollisionDetector.drawMotionOnVoxelMap(RedBlackTree, Motion)                                                                                                      |   9,403   71%  |          < 0.1  |      946  |
|  cd.CollisionDetector.lambda$reduceCollisionSet$4(RedBlackTree, Motion)                                                                                               |   9,403   71%  |              0  |      946  |
|  cd.CollisionDetector.recurse(RedBlackTree, RedBlackTree, Vector2D, Motion)                                                                                           |   9,394   71%  |          1,218  |      945  |
|  cd.CollisionDetector.putIntoMap(RedBlackTree, Vector2D, Motion)                                                                                                      |   4,040   31%  |             89  |      409  |
|  cd.RedBlackTree.put(Comparable, Object)                                                                                                                              |   4,010   30%  |            797  |      409  |
|  cd.CollisionDetector.isInVoxel(Vector2D, Motion)                                                                                                                     |   2,830   22%  |          2,830  |      285  |
|  cd.RedBlackTree.treeInsert(Comparable, Object)                                                                                                                       |   2,383   18%  |          1,848  |      245  |
|  cd.RedBlackTree.get(Comparable)                                                                                                                                      |   2,241   17%  |             37  |      227  |
|  cd.RedBlackTree.findNode(Comparable)                                                                                                                                 |   2,203   17%  |          1,245  |      223  |
|  cd.CollisionDetector$$Lambda$12.0x00000008000c6e88.apply(Object)                                                                                                     |   1,487   11%  |             37  |      151  |
|  cd.RedBlackTree.forEach(ForEachInterface)                                                                                                                            |   1,476   11%  |            657  |      153  |
|  cd.CollisionDetector.lambda$handleNewFrame$0(RedBlackTree, Vector, Aircraft)                                                                                         |   1,449   11%  |            236  |      150  |
|  cd.Vector2D.compareTo(Object)                                                                                                                                        |   1,437   11%  |             59  |      144  |
|  cd.Vector2D.compareTo(Vector2D)                                                                                                                                      |   1,377   10%  |            129  |      138  |
|  cd.Vector2D.compareNumbers(double, double)                                                                                                                           |   1,247    9%  |          1,247  |      125  |
