Method list (CPU)

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                        Method                                                                                        |   Time (ms)    |  Own Time (ms)  |  Samples  |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                              |  27,674   99%  |          < 0.1  |    2,775  |
|  Run.runBenchmark()                                                                                                                                                                  |  27,661   99%  |          < 0.1  |    2,772  |
|  Run.doRuns(Benchmark)                                                                                                                                                               |  27,646   99%  |              0  |    2,770  |
|  Run.measure(Benchmark)                                                                                                                                                              |  27,646   99%  |              0  |    2,770  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                   |  27,617   99%  |          < 0.1  |    2,767  |
|  Richards.benchmark()                                                                                                                                                                |  27,468   99%  |          7,409  |    2,752  |
|  richards.Scheduler.start()                                                                                                                                                          |  19,778   71%  |          < 0.1  |    1,980  |
|  richards.Scheduler.schedule()                                                                                                                                                       |  19,234   69%  |            484  |    1,927  |
|  richards.TaskControlBlock.runTask()                                                                                                                                                 |  17,780   64%  |         11,008  |    1,775  |
|  richards.Scheduler$$Lambda$14.0x00000008000c7970.apply(Packet, RBObject)                                                                                                            |   3,474   13%  |          1,178  |      344  |
|  richards.Scheduler.lambda$createHandler$1(Packet, RBObject)                                                                                                                         |   2,295    8%  |            348  |      225  |
|  richards.Scheduler$$Lambda$15.0x00000008000c7b98.apply(Packet, RBObject)                                                                                                            |   2,078    7%  |          1,107  |      210  |
|  richards.HandlerTaskDataRecord.workInAdd(Packet)                                                                                                                                    |   1,414    5%  |            434  |      138  |
|  richards.RBObject.append(Packet, Packet)                                                                                                                                            |   1,099    4%  |            879  |      107  |
|  richards.Scheduler.lambda$createDevice$0(Packet, RBObject)                                                                                                                          |     970    3%  |            298  |       98  |
|  richards.TaskState.isTaskHoldingOrWaiting()                                                                                                                                         |     969    3%  |            969  |       99  |
|  richards.Scheduler$$Lambda$12.0x00000008000c7520.apply(Packet, RBObject)                                                                                                            |     834    3%  |            290  |       81  |
|  richards.Scheduler.queuePacket(Packet)                                                                                                                                              |     749    3%  |             70  |       76  |
|  richards.Scheduler.lambda$createIdler$2(Packet, RBObject)                                                                                                                           |     544    2%  |            118  |       52  |
|  richards.Scheduler$$Lambda$13.0x00000008000c7748.apply(Packet, RBObject)                                                                                                            |     524    2%  |            191  |       54  |
|  richards.Scheduler.findTask(int)                                                                                                                                                    |     418    2%  |            418  |       40  |
|  richards.Scheduler.release(int)                                                                                                                                                     |     395    1%  |              9  |       37  |
|  richards.TaskControlBlock.addInputAndCheckPriority(Packet, TaskControlBlock)                                                                                                        |     385    1%  |            385  |       39  |
|  richards.Packet.<init>(Packet, int, int)                                                                                                                                            |     349    1%  |            349  |       35  |
|  richards.Scheduler.createPacket(Packet, int, int)                                                                                                                                   |     349    1%  |              0  |       35  |
|  richards.Scheduler.lambda$createWorker$3(Packet, RBObject)                                                                                                                          |     332    1%  |            115  |       34  |
|  richards.Scheduler.<init>()                                                                                                                                                         |     281    1%  |            271  |       28  |
|  richards.Packet.setLink(Packet)                                                                                                                                                     |     260    1%  |            260  |       26  |
|  richards.DeviceTaskDataRecord.getPending()                                                                                                                                          |     218    1%  |            218  |       22  |
|  richards.TaskState.setTaskHolding(boolean)                                                                                                                                          |     210    1%  |            210  |       21  |
|  richards.DeviceTaskDataRecord.setPending(Packet)                                                                                                                                    |     190    1%  |            190  |       19  |
|  richards.HandlerTaskDataRecord.deviceInAdd(Packet)                                                                                                                                  |     179    1%  |             59  |       18  |
|  richards.TaskState.createWaitingWithPacket()                                                                                                                                        |      91    0%  |             91  |        9  |
|  richards.Scheduler.createIdler(int, int, Packet, TaskState)                                                                                                                         |      72    0%  |              0  |        6  |
|  richards.Scheduler.createTask(int, int, Packet, TaskState, ProcessFunction, RBObject)                                                                                               |      59    0%  |             39  |        6  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                            |      48    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                   |      48    0%  |          < 0.1  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                           |      48    0%  |              0  |        6  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                     |      48    0%  |              0  |        6  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                        |      48    0%  |              0  |        6  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                                    |      42    0%  |              0  |        4  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                                   |      42    0%  |              0  |        4  |
|  sun.launcher.LauncherHelper.checkAndLoadMain(boolean, int, String) LauncherHelper.java                                                                                              |      42    0%  |              0  |        4  |
|  sun.launcher.LauncherHelper.loadMainClass(int, String) LauncherHelper.java                                                                                                          |      42    0%  |              0  |        4  |
|  richards.WorkerTaskDataRecord.getCount()                                                                                                                                            |      39    0%  |             39  |        4  |
|  jdk.internal.loader.URLClassPath.getLoader(int) URLClassPath.java                                                                                                                   |      30    0%  |              0  |        4  |
|  jdk.internal.loader.URLClassPath.getResource(String, boolean) URLClassPath.java                                                                                                     |      30    0%  |              0  |        4  |
|  richards.IdleTaskDataRecord.setControl(int)                                                                                                                                         |      29    0%  |             29  |        3  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                                |      28    0%  |              0  |        3  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                                |      28    0%  |          < 0.1  |        3  |
|  Run.printResult(long)                                                                                                                                                               |      28    0%  |              0  |        3  |
|  java.security.AccessController.doPrivileged(PrivilegedExceptionAction, AccessControlContext) AccessController.java                                                                  |      25    0%  |              0  |        3  |
|  java.security.AccessController.executePrivileged(PrivilegedExceptionAction, AccessControlContext, Class) AccessController.java                                                      |      25    0%  |              0  |        3  |
