Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                                         Method                                                                                                         |   Time (ms)    |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                                                |  45,297   99%  |          < 0.1  |    4,558  |
|  Run.runBenchmark()                                                                                                                                                                                                    |  45,290   99%  |              0  |    4,557  |
|  Run.doRuns(Benchmark)                                                                                                                                                                                                 |  45,281   99%  |              0  |    4,556  |
|  Run.measure(Benchmark)                                                                                                                                                                                                |  45,281   99%  |              0  |    4,556  |
|  Havlak.innerBenchmarkLoop(int)                                                                                                                                                                                        |  45,236   99%  |              0  |    4,551  |
|  havlak.LoopTesterApp.main(int, int, int, int, int)                                                                                                                                                                    |  45,236   99%  |             16  |    4,551  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                                                                  |  34,062   75%  |            888  |    3,417  |
|  havlak.LoopTesterApp.findLoops(LoopStructureGraph)                                                                                                                                                                    |  26,653   59%  |              9  |    2,692  |
|  havlak.HavlakLoopFinder.findLoops()                                                                                                                                                                                   |  26,504   58%  |          2,622  |    2,677  |
|  havlak.LoopStructureGraph.calculateNestingLevel()                                                                                                                                                                     |  18,409   41%  |              0  |    1,844  |
|  som.Set.add(Object)                                                                                                                                                                                                   |  18,325   40%  |          < 0.1  |    1,835  |
|  havlak.LoopStructureGraph$$Lambda$87.0x00000008000cd340.apply(Object)                                                                                                                                                 |  17,876   39%  |            298  |    1,790  |
|  som.Set.hasSome(TestInterface)                                                                                                                                                                                        |  17,858   39%  |            111  |    1,788  |
|  som.Vector.hasSome(TestInterface)                                                                                                                                                                                     |  17,746   39%  |            669  |    1,777  |
|  som.IdentitySet.contains(Object)                                                                                                                                                                                      |  17,737   39%  |          < 0.1  |    1,776  |
|  havlak.LoopStructureGraph.lambda$calculateNestingLevel$0(SimpleLoop)                                                                                                                                                  |  17,577   39%  |            109  |    1,760  |
|  havlak.SimpleLoop.setParent(SimpleLoop)                                                                                                                                                                               |  17,518   39%  |            199  |    1,754  |
|  havlak.SimpleLoop.addChildLoop(SimpleLoop)                                                                                                                                                                            |  17,318   38%  |              0  |    1,734  |
|  som.IdentitySet.lambda$contains$0(Object, Object)                                                                                                                                                                     |  17,059   38%  |         17,059  |    1,708  |
|  som.IdentitySet$$Lambda$24.0x00000008000ccef0.test(Object)                                                                                                                                                            |  17,059   38%  |              0  |    1,708  |
