Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                             Method                                                                                             |   Time (ms)   |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                        |  5,188   99%  |              0  |      526  |
|  Run.runBenchmark()                                                                                                                                                                            |  5,188   99%  |          < 0.1  |      526  |
|  Run.doRuns(Benchmark)                                                                                                                                                                         |  5,160   99%  |              0  |      524  |
|  Run.measure(Benchmark)                                                                                                                                                                        |  5,160   99%  |          < 0.1  |      524  |
|  DeltaBlue.innerBenchmarkLoop(int)                                                                                                                                                             |  5,112   98%  |              0  |      521  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                                          |  3,746   72%  |          2,143  |      383  |
|  deltablue.Planner.chainTest(int)                                                                                                                                                              |  3,268   63%  |          < 0.1  |      331  |
|  deltablue.Plan.execute()                                                                                                                                                                      |  2,914   56%  |              0  |      295  |
|  deltablue.Planner.projectionTest(int)                                                                                                                                                         |  1,843   35%  |             49  |      190  |
|  deltablue.Planner.change(Variable, int)                                                                                                                                                       |  1,210   23%  |          < 0.1  |      128  |
|  deltablue.Plan$$Lambda$22.0x00000008000ccd88.apply(Object)                                                                                                                                    |  1,146   22%  |            662  |      116  |
|  deltablue.AbstractConstraint.addConstraint(Planner)                                                                                                                                           |  1,016   19%  |             16  |       98  |
|  deltablue.Planner.incrementalAdd(AbstractConstraint)                                                                                                                                          |    950   18%  |             12  |       92  |
|  deltablue.AbstractConstraint.satisfy(int, Planner)                                                                                                                                            |    927   18%  |            139  |       89  |
|  deltablue.AbstractConstraint.destroyConstraint(Planner)                                                                                                                                       |    612   12%  |              0  |       66  |
|  deltablue.UnaryConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                                             |    606   12%  |              9  |       59  |
|  deltablue.Planner.incrementalRemove(AbstractConstraint)                                                                                                                                       |    551   11%  |          < 0.1  |       60  |
|  deltablue.Planner.addPropagate(AbstractConstraint, int)                                                                                                                                       |    495    9%  |            139  |       49  |
