Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                             Method                                                                                             |   Time (ms)   |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                        |  7,059  100%  |              0  |      717  |
|  Run.runBenchmark()                                                                                                                                                                            |  7,054   99%  |              0  |      715  |
|  Run.doRuns(Benchmark)                                                                                                                                                                         |  7,051   99%  |              0  |      714  |
|  Run.measure(Benchmark)                                                                                                                                                                        |  7,051   99%  |          < 0.1  |      714  |
|  NBody.innerBenchmarkLoop(int)                                                                                                                                                                 |  7,014   99%  |             19  |      710  |
|  nbody.NBodySystem.advance(double)                                                                                                                                                             |  6,968   99%  |          3,286  |      705  |
|  nbody.Body.setVX(double)                                                                                                                                                                      |  1,790   25%  |          1,790  |      180  |
|  nbody.Body.setVZ(double)                                                                                                                                                                      |    579    8%  |            579  |       58  |
|  nbody.Body.setVY(double)                                                                                                                                                                      |    411    6%  |            411  |       42  |
|  nbody.Body.getZ()                                                                                                                                                                             |    386    5%  |            386  |       39  |
|  nbody.Body.getY()                                                                                                                                                                             |    185    3%  |            185  |       19  |
|  nbody.Body.getX()                                                                                                                                                                             |     82    1%  |             82  |        8  |
|  nbody.Body.setY(double)                                                                                                                                                                       |     80    1%  |             80  |        8  |
|  nbody.Body.setX(double)                                                                                                                                                                       |     49    1%  |             49  |        5  |
|  nbody.Body.getVX()                                                                                                                                                                            |     41    1%  |             41  |        5  |
|  Run.printResult(long)                                                                                                                                                                         |     36    1%  |          < 0.1  |        4  |
|  nbody.Body.getVZ()                                                                                                                                                                            |     29    0%  |             29  |        3  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                                          |     29    0%  |              0  |        3  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                                          |     29    0%  |              0  |        3  |
|  nbody.Body.setZ(double)                                                                                                                                                                       |     23    0%  |             23  |        3  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                      |     20    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.defineClass(String, Resource) BuiltinClassLoader.java                                                                                                  |     20    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                             |     20    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                                     |     20    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                               |     20    0%  |              0  |        5  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                                  |     20    0%  |              0  |        5  |
|  nbody.Body.getMass()                                                                                                                                                                          |     19    0%  |             19  |        2  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                                                                |     19    0%  |              0  |        2  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                                                          |     19    0%  |              0  |        2  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                                                        |     19    0%  |          < 0.1  |        2  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                                                              |     19    0%  |              0  |        2  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                                                                  |     19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                                                                     |     19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                                                                 |     19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.writeBytes() StreamEncoder.java                                                                                                                                      |     19    0%  |              0  |        2  |
|  java.util.jar.Attributes.putValue(String, String) Attributes.java                                                                                                                             |     14    0%  |             14  |        1  |
|  java.util.jar.Attributes.read(Manifest$FastInputStream, byte[], String, int) Attributes.java                                                                                                  |     14    0%  |              0  |        1  |
|  java.util.jar.JarFile.getManifest() JarFile.java                                                                                                                                              |     14    0%  |              0  |        1  |
|  java.util.jar.JarFile.getManifestFromReference() JarFile.java                                                                                                                                 |     14    0%  |              0  |        1  |
|  java.util.jar.Manifest.<init>(JarVerifier, InputStream, String) Manifest.java                                                                                                                 |     14    0%  |              0  |        1  |
|  java.util.jar.Manifest.<init>(InputStream, String) Manifest.java                                                                                                                              |     14    0%  |              0  |        1  |
|  java.util.jar.Manifest.read(InputStream, String) Manifest.java                                                                                                                                |     14    0%  |              0  |        1  |
|  jdk.internal.loader.URLClassPath$JarLoader$2.getManifest() URLClassPath.java                                                                                                                  |     14    0%  |              0  |        1  |
|  com.yourkit.probes.Table.createRow(int) a                                                                                                                                                     |     12    0%  |              0  |        2  |
|  com.yourkit.probes.Table.createRow() a                                                                                                                                                        |     12    0%  |             12  |        2  |
|  java.io.FileOutputStream.writeBytes(byte[], int, int, boolean) FileOutputStream.java (native)                                                                                                 |      9    0%  |              9  |        1  |
|  com.yourkit.probes.builtin.Files.writeOnEnter(FileOutputStream, int) a                                                                                                                        |      9    0%  |              0  |        1  |
|  com.yourkit.probes.builtin.Files$FileOutputStream_write_arrayRange_Probe.onEnter(FileOutputStream, int) a                                                                                     |      9    0%  |              0  |        1  |
|  java.io.BufferedWriter.write(String, int, int) BufferedWriter.java                                                                                                                            |      9    0%  |              9  |        1  |
|  java.io.Writer.write(String) Writer.java                                                                                                                                                      |      9    0%  |              0  |        1  |
|  nbody.NBodySystem.energy()                                                                                                                                                                    |      9    0%  |              9  |        1  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                                                |      7    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle.<init>(MethodType, LambdaForm) BoundMethodHandle.java                                                                                                      |      7    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLLLL.copyWithExtendL(MethodType, LambdaForm, Object) java/lang/invoke/BoundMethodHandle$Species_LLLLLL                                           |      7    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL.<init>(MethodType, LambdaForm, Object, Object, Object, Object, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLLLLLL  |      7    0%  |              0  |        1  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL.make(MethodType, LambdaForm, Object, Object, Object, Object, Object, Object, Object) java/lang/invoke/BoundMethodHandle$Species_LLLLLLL    |      7    0%  |              0  |        1  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                                             |      7    0%  |              0  |        1  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                                         |      7    0%  |              0  |        1  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                                             |      7    0%  |              0  |        1  |
