Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                              Method                                                                              |   Time (ms)   |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                          |  7,066  100%  |              0  |      717  |
|  Run.runBenchmark()                                                                                                                                              |  7,066  100%  |              0  |      717  |
|  Run.doRuns(Benchmark)                                                                                                                                           |  7,056   99%  |              0  |      716  |
|  Run.measure(Benchmark)                                                                                                                                          |  7,056   99%  |              0  |      716  |
|  NBody.innerBenchmarkLoop(int)                                                                                                                                   |  7,008   99%  |             29  |      712  |
|  nbody.NBodySystem.advance(double)                                                                                                                               |  6,978   99%  |          3,020  |      709  |
|  nbody.Body.setVX(double)                                                                                                                                        |  1,873   27%  |          1,873  |      191  |
|  nbody.Body.setVZ(double)                                                                                                                                        |    660    9%  |            660  |       68  |
|  nbody.Body.setVY(double)                                                                                                                                        |    564    8%  |            564  |       57  |
|  nbody.Body.getZ()                                                                                                                                               |    392    6%  |            392  |       39  |
|  nbody.Body.getY()                                                                                                                                               |    158    2%  |            158  |       16  |
|  nbody.Body.getX()                                                                                                                                               |     79    1%  |             79  |        8  |
|  nbody.Body.setZ(double)                                                                                                                                         |     59    1%  |             59  |        6  |
|  nbody.Body.getMass()                                                                                                                                            |     49    1%  |             49  |        5  |
|  Run.printResult(long)                                                                                                                                           |     48    1%  |          < 0.1  |        4  |
|  nbody.Body.setY(double)                                                                                                                                         |     39    1%  |             39  |        4  |
|  nbody.Body.setX(double)                                                                                                                                         |     38    1%  |             38  |        4  |
|  java.lang.invoke.InvokerBytecodeGenerator.generateCustomizedCode(LambdaForm, MethodType) InvokerBytecodeGenerator.java                                          |     28    0%  |              0  |        2  |
|  java.lang.invoke.LambdaForm.compileToBytecode() LambdaForm.java                                                                                                 |     28    0%  |              0  |        2  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, int, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                               |     28    0%  |              0  |        2  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java                       |     28    0%  |              0  |        2  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                            |     19    0%  |              0  |        2  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                            |     19    0%  |              0  |        2  |
|  nbody.Body.getVZ()                                                                                                                                              |     19    0%  |             19  |        3  |
|  java.lang.ClassLoader.defineClass0(ClassLoader, Class, String, byte[], int, int, ProtectionDomain, boolean, int, Object) ClassLoader.java (native)              |     18    0%  |              0  |        1  |
|  java.lang.invoke.InvokerBytecodeGenerator.loadMethod(byte[]) InvokerBytecodeGenerator.java                                                                      |     18    0%  |              0  |        1  |
|  java.lang.invoke.Invokers.callSiteForm(MethodType, boolean) Invokers.java                                                                                       |     18    0%  |              0  |        1  |
|  java.lang.invoke.Invokers.linkToTargetMethod(MethodType) Invokers.java                                                                                          |     18    0%  |              0  |        1  |
|  java.lang.invoke.LambdaForm$MH.0x00000008000c7800.<clinit>() LambdaForm$MH                                                                                      |     18    0%  |             18  |        1  |
|  java.lang.invoke.MethodHandles$Lookup$ClassDefiner.defineClass(boolean, Object) MethodHandles.java                                                              |     18    0%  |              0  |        1  |
|  java.lang.System$2.defineClass(ClassLoader, Class, String, byte[], ProtectionDomain, boolean, int, Object) System.java                                          |     18    0%  |              0  |        1  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                                  |      9    0%  |              0  |        1  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                            |      9    0%  |              0  |        1  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                          |      9    0%  |              0  |        1  |
|  java.io.FileOutputStream.writeBytes(byte[], int, int, boolean) FileOutputStream.java (native)                                                                   |      9    0%  |              9  |        1  |
