Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                             Method                                                                                             |   Time (ms)   |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                        |  4,985   99%  |              0  |      493  |
|  Run.runBenchmark()                                                                                                                                                                            |  4,962   99%  |          < 0.1  |      492  |
|  Run.doRuns(Benchmark)                                                                                                                                                                         |  4,952   99%  |              0  |      490  |
|  Run.measure(Benchmark)                                                                                                                                                                        |  4,952   99%  |              0  |      490  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                             |  4,908   98%  |             29  |      485  |
|  Bounce.benchmark()                                                                                                                                                                            |  4,879   98%  |          3,263  |      482  |
|  Bounce$Ball.bounce()                                                                                                                                                                          |  1,596   32%  |          1,596  |      158  |
|  Run.printResult(long)                                                                                                                                                                         |     43    1%  |          < 0.1  |        5  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                      |     37    1%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                             |     37    1%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                                     |     37    1%  |              0  |        3  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                               |     37    1%  |              0  |        3  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                                  |     37    1%  |              0  |        3  |
|  com.yourkit.probes.builtin.Files.readOnEnter(RandomAccessFile) a                                                                                                                              |     23    0%  |              0  |        1  |
|  com.yourkit.probes.builtin.Files$RandomAccessFile_read_array_Probe.onEnter(RandomAccessFile) a                                                                                                |     23    0%  |              0  |        1  |
|  com.yourkit.probes.Table.createRow(int) a                                                                                                                                                     |     23    0%  |              0  |        1  |
|  com.yourkit.probes.Table.createRow() a                                                                                                                                                        |     23    0%  |             23  |        1  |
|  Harness.processArguments(String[])                                                                                                                                                            |     23    0%  |              0  |        1  |
|  java.io.RandomAccessFile.read(byte[], int, int) RandomAccessFile.java                                                                                                                         |     23    0%  |              0  |        1  |
|  java.io.RandomAccessFile.readFully(byte[], int, int) RandomAccessFile.java                                                                                                                    |     23    0%  |              0  |        1  |
|  java.util.zip.InflaterInputStream.read(byte[], int, int) InflaterInputStream.java                                                                                                             |     23    0%  |              0  |        1  |
|  java.util.zip.ZipFile$Source.readFullyAt(byte[], int, int, long) ZipFile.java                                                                                                                 |     23    0%  |              0  |        1  |
|  java.util.zip.ZipFile$ZipFileInflaterInputStream.fill() ZipFile.java                                                                                                                          |     23    0%  |              0  |        1  |
|  java.util.zip.ZipFile$ZipFileInputStream.initDataOffset() ZipFile.java                                                                                                                        |     23    0%  |              0  |        1  |
|  java.util.zip.ZipFile$ZipFileInputStream.read(byte[], int, int) ZipFile.java                                                                                                                  |     23    0%  |              0  |        1  |
|  jdk.internal.loader.BuiltinClassLoader.defineClass(String, Resource) BuiltinClassLoader.java                                                                                                  |     23    0%  |              0  |        1  |
|  jdk.internal.loader.Resource.getBytes() Resource.java                                                                                                                                         |     23    0%  |              0  |        1  |
|  jdk.internal.loader.URLClassPath$JarLoader$2.getBytes() URLClassPath.java                                                                                                                     |     23    0%  |              0  |        1  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                                                                |     23    0%  |              0  |        4  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                                                             |     23    0%  |              0  |        4  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                                                         |     23    0%  |              0  |        4  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                                                             |     23    0%  |              0  |        4  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                                                       |     23    0%  |              0  |        4  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, int, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                                                             |     23    0%  |              0  |        4  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java                                                     |     23    0%  |              0  |        4  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, List) StringConcatFactory.java                                                                                          |     23    0%  |          < 0.1  |        4  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java                                             |     23    0%  |              0  |        4  |
|  java.io.BufferedOutputStream.flush() BufferedOutputStream.java                                                                                                                                |     19    0%  |              0  |        2  |
|  java.io.BufferedOutputStream.flushBuffer() BufferedOutputStream.java                                                                                                                          |     19    0%  |              0  |        2  |
|  java.io.FileOutputStream.write(byte[], int, int) FileOutputStream.java                                                                                                                        |     19    0%  |              0  |        2  |
|  java.io.OutputStreamWriter.flushBuffer() OutputStreamWriter.java                                                                                                                              |     19    0%  |              0  |        2  |
|  java.io.PrintStream.println(String) PrintStream.java                                                                                                                                          |     19    0%  |              0  |        2  |
|  java.io.PrintStream.write(byte[], int, int) PrintStream.java                                                                                                                                  |     19    0%  |              0  |        2  |
|  java.io.PrintStream.writeln(String) PrintStream.java                                                                                                                                          |     19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.flushBuffer() StreamEncoder.java                                                                                                                                     |     19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.implFlushBuffer() StreamEncoder.java                                                                                                                                 |     19    0%  |              0  |        2  |
|  sun.nio.cs.StreamEncoder.writeBytes() StreamEncoder.java                                                                                                                                      |     19    0%  |              0  |        2  |
|  Bounce.lambda$benchmark$0(Random, int)                                                                                                                                                        |     19    0%  |              0  |        2  |
|  Bounce$$Lambda$8.0x00000008000c6000.apply(int)                                                                                                                                                |     19    0%  |              0  |        2  |
|  Bounce$Ball.<init>(Random)                                                                                                                                                                    |     19    0%  |             19  |        2  |
|  java.util.Arrays.setAll(Object[], IntFunction) Arrays.java                                                                                                                                    |     19    0%  |              0  |        2  |
|  java.lang.Class.forName(String, boolean, ClassLoader) Class.java                                                                                                                              |     14    0%  |              0  |        2  |
|  java.lang.Class.forName0(String, boolean, ClassLoader, Class) Class.java (native)                                                                                                             |     14    0%  |              0  |        2  |
|  java.security.AccessController.doPrivileged(PrivilegedExceptionAction, AccessControlContext) AccessController.java                                                                            |     14    0%  |              0  |        2  |
|  java.security.AccessController.executePrivileged(PrivilegedExceptionAction, AccessControlContext, Class) AccessController.java                                                                |     14    0%  |              0  |        2  |
|  java.util.jar.JarFile.<init>(File, boolean, int, Runtime$Version) JarFile.java                                                                                                                |     14    0%  |              0  |        2  |
|  java.util.zip.ZipFile.<init>(File, int) ZipFile.java                                                                                                                                          |     14    0%  |              0  |        2  |
|  java.util.zip.ZipFile.<init>(File, int, Charset) ZipFile.java                                                                                                                                 |     14    0%  |              0  |        2  |
