Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|                                                                                   Method                                                                                   |   Time (ms)    |  Own Time (ms)  |  Samples  |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                    |  18,222   99%  |          < 0.1  |    1,844  |
|  Run.runBenchmark()                                                                                                                                                        |  18,220   99%  |          < 0.1  |    1,843  |
|  Run.doRuns(Benchmark)                                                                                                                                                     |  18,196   99%  |              0  |    1,839  |
|  Run.measure(Benchmark)                                                                                                                                                    |  18,196   99%  |          < 0.1  |    1,839  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                         |  18,166   99%  |             19  |    1,836  |
|  Storage.benchmark()                                                                                                                                                       |  18,146   99%  |              9  |    1,834  |
|  Storage.buildTreeDepth(int, Random)                                                                                                                                       |  18,131   99%  |          6,358  |    1,832  |
|  java.util.Arrays.setAll(Object[], IntFunction) Arrays.java                                                                                                                |  18,128   99%  |          7,931  |    1,831  |
|  Storage$$Lambda$8.0x00000008000c2a98.apply(int)                                                                                                                           |  18,108   99%  |            109  |    1,829  |
|  Storage.lambda$buildTreeDepth$0(int, Random, int)                                                                                                                         |  18,088   99%  |            578  |    1,827  |
|  som.Random.next()                                                                                                                                                         |   2,891   16%  |          2,891  |      288  |
|  java.lang.invoke.LambdaForm$DMH.0x00000008000c5400.newInvokeSpecial(Object, Object, int, Object) LambdaForm$DMH                                                           |     258    1%  |            156  |       26  |
|  java.lang.invoke.LambdaForm$MH.0x00000008000c5c00.linkToTargetMethod(Object, int, Object, Object) LambdaForm$MH                                                           |     258    1%  |              0  |       26  |
|  java.lang.invoke.DirectMethodHandle.allocateInstance(Object) DirectMethodHandle.java                                                                                      |      90    0%  |             62  |        7  |
|  com.sun.management.internal.GarbageCollectorExtImpl.createGCNotification(long, String, String, String, GcInfo) GarbageCollectorExtImpl.java                               |      44    0%  |              0  |        4  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                  |      43    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                 |      43    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                           |      43    0%  |              0  |        5  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                              |      43    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                         |      41    0%  |              0  |        4  |
|  Storage$$Lambda$8.0x00000008000c2a98.<init>(Storage, int, Random)                                                                                                         |      39    0%  |             39  |        4  |
|  com.sun.management.GarbageCollectionNotificationInfo.<init>(CompositeData) GarbageCollectionNotificationInfo.java                                                         |      38    0%  |          < 0.1  |        2  |
