Method list (CPU)

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                        Method                                                                                        |   Time (ms)   |  Own Time (ms)  |  Samples  |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                              |  3,854   99%  |              0  |      387  |
|  Run.runBenchmark()                                                                                                                                                                  |  3,854   99%  |          < 0.1  |      387  |
|  Run.doRuns(Benchmark)                                                                                                                                                               |  3,847   98%  |              0  |      386  |
|  Run.measure(Benchmark)                                                                                                                                                              |  3,847   98%  |              0  |      386  |
|  DeltaBlue.innerBenchmarkLoop(int)                                                                                                                                                   |  3,821   98%  |              0  |      381  |
|  deltablue.Planner.chainTest(int)                                                                                                                                                    |  2,130   54%  |          < 0.1  |      211  |
|  deltablue.Planner.projectionTest(int)                                                                                                                                               |  1,691   43%  |             29  |      170  |
|  som.Vector.forEach(ForEachInterface)                                                                                                                                                |  1,594   41%  |            694  |      154  |
|  deltablue.Planner.change(Variable, int)                                                                                                                                             |  1,256   32%  |          < 0.1  |      125  |
|  deltablue.AbstractConstraint.satisfy(int, Planner)                                                                                                                                  |    916   23%  |            283  |       89  |
|  deltablue.Planner.incrementalAdd(AbstractConstraint)                                                                                                                                |    916   23%  |              0  |       89  |
|  deltablue.EqualityConstraint.<init>(Variable, Variable, Strength$Sym, Planner)                                                                                                      |    853   22%  |              0  |       87  |
|  deltablue.AbstractConstraint.addConstraint(Planner)                                                                                                                                 |    806   21%  |          < 0.1  |       82  |
|  deltablue.Plan.execute()                                                                                                                                                            |    779   20%  |              0  |       75  |
|  deltablue.AbstractConstraint.<init>(Strength$Sym)                                                                                                                                   |    753   19%  |            165  |       77  |
|  deltablue.BinaryConstraint.<init>(Variable, Variable, Strength$Sym, Planner)                                                                                                        |    733   19%  |              0  |       75  |
|  deltablue.AbstractConstraint.destroyConstraint(Planner)                                                                                                                             |    675   17%  |          < 0.1  |       66  |
|  deltablue.Planner.incrementalRemove(AbstractConstraint)                                                                                                                             |    615   16%  |          < 0.1  |       60  |
|  deltablue.Strength.of(Strength$Sym)                                                                                                                                                 |    587   15%  |              9  |       60  |
|  som.Dictionary.at(Dictionary$CustomHash)                                                                                                                                            |    577   15%  |             39  |       59  |
|  som.Dictionary.getBucket(int)                                                                                                                                                       |    537   14%  |            527  |       55  |
|  deltablue.UnaryConstraint.<init>(Variable, Strength$Sym, Planner)                                                                                                                   |    480   12%  |             29  |       49  |
