Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                           Method                                                                           |   Time (ms)   |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                    |  8,885   99%  |              0  |      891  |
|  Run.runBenchmark()                                                                                                                                        |  8,885   99%  |          < 0.1  |      891  |
|  Run.doRuns(Benchmark)                                                                                                                                     |  8,872   99%  |              0  |      889  |
|  Run.measure(Benchmark)                                                                                                                                    |  8,872   99%  |              0  |      889  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                         |  8,867   99%  |              0  |      888  |
|  Permute.benchmark()                                                                                                                                       |  8,867   99%  |             19  |      888  |
|  Permute.permute(int)                                                                                                                                      |  8,847   99%  |          4,937  |      886  |
|  Permute.swap(int, int)                                                                                                                                    |  3,909   44%  |          3,909  |      390  |
|  java.lang.invoke.BootstrapMethodInvoker.invoke(Class, MethodHandle, String, Object, Object, Class) BootstrapMethodInvoker.java                            |     18    0%  |              0  |        3  |
|  java.lang.invoke.CallSite.makeSite(MethodHandle, String, MethodType, Object, Class) CallSite.java                                                         |     18    0%  |              0  |        3  |
|  java.lang.invoke.DelegatingMethodHandle$Holder.delegate(Object, Object, Object, Object, Object, Object) DelegatingMethodHandle$Holder                     |     18    0%  |              0  |        3  |
|  java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(Object, Object, Object, Object, Object, Object) DirectMethodHandle$Holder                         |     18    0%  |              0  |        3  |
|  java.lang.invoke.Invokers$Holder.invokeExact_MT(Object, Object, Object, Object, Object, Object, Object) Invokers$Holder                                   |     18    0%  |              0  |        3  |
|  java.lang.invoke.MethodHandleNatives.linkCallSite(Object, int, Object, Object, Object, Object, Object[]) MethodHandleNatives.java                         |     18    0%  |              0  |        3  |
|  java.lang.invoke.MethodHandleNatives.linkCallSiteImpl(Class, MethodHandle, String, MethodType, Object, Object[]) MethodHandleNatives.java                 |     18    0%  |              0  |        3  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, List) StringConcatFactory.java                                                      |     18    0%  |          < 0.1  |        3  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java         |     18    0%  |              0  |        3  |
|  java.lang.invoke.MethodHandles.argumentsWithCombiner(boolean, MethodHandle, int, MethodHandle, int[]) MethodHandles.java                                  |     18    0%  |              0  |        3  |
