Method list (CPU)

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|                                                                                             Method                                                                                             |   Time (ms)   |  Own Time (ms)  |  Samples  |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+-----------------+-----------+
|  Harness.main(String[])                                                                                                                                                                        |  8,277   99%  |              0  |      840  |
|  Run.runBenchmark()                                                                                                                                                                            |  8,271   99%  |          < 0.1  |      839  |
|  Run.doRuns(Benchmark)                                                                                                                                                                         |  8,256   99%  |              0  |      837  |
|  Run.measure(Benchmark)                                                                                                                                                                        |  8,256   99%  |              0  |      837  |
|  Benchmark.innerBenchmarkLoop(int)                                                                                                                                                             |  8,243   99%  |              0  |      836  |
|  Towers.benchmark()                                                                                                                                                                            |  8,243   99%  |             19  |      836  |
|  Towers.moveDisks(int, int, int)                                                                                                                                                               |  8,213   99%  |            666  |      833  |
|  Towers.moveTopDisk(int, int)                                                                                                                                                                  |  7,556   91%  |            686  |      767  |
|  Towers.pushDisk(Towers$TowersDisk, int)                                                                                                                                                       |  3,479   42%  |          2,463  |      352  |
|  Towers.popDiskFrom(int)                                                                                                                                                                       |  3,390   41%  |          2,526  |      344  |
|  Towers$TowersDisk.setNext(Towers$TowersDisk)                                                                                                                                                  |  1,715   21%  |          1,705  |      171  |
|  Towers$TowersDisk.getSize()                                                                                                                                                                   |    164    2%  |            164  |       16  |
|  java.lang.ClassLoader.loadClass(String) ClassLoader.java                                                                                                                                      |     38    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(String) BuiltinClassLoader.java                                                                                             |     38    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClass(String, boolean) BuiltinClassLoader.java                                                                                                     |     38    0%  |              0  |        5  |
|  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull(String, boolean) BuiltinClassLoader.java                                                                                               |     38    0%  |              0  |        5  |
|  jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass(String, boolean) ClassLoaders.java                                                                                                  |     38    0%  |              0  |        5  |
